,The Democrat,Stormy Sanz,Beast Mode,Lesya,Just Tiger,Sharmey,Kenya Nz,No Nukes Skipper Nz,Kivik,We Salute You,Beam Me Up Chopper
0,"[datetime.datetime(2022, 11, 27, 20, 32, 37, 300107), 26.0, 38.0]","[datetime.datetime(2022, 11, 27, 20, 32, 37, 300107), 3.2, 4.2]","[datetime.datetime(2022, 11, 27, 20, 32, 37, 300107), 7.0, 9.8]","[datetime.datetime(2022, 11, 27, 20, 32, 37, 300107), 9.0, 13.0]","[datetime.datetime(2022, 11, 27, 20, 32, 37, 300107), 5.0, 7.2]","[datetime.datetime(2022, 11, 27, 20, 32, 37, 300107), 8.0, 11.0]","[datetime.datetime(2022, 11, 27, 20, 32, 37, 300107), 19.0, 99999]","[datetime.datetime(2022, 11, 27, 20, 32, 37, 300107), 20.0, 99999]","[datetime.datetime(2022, 11, 27, 20, 32, 37, 300107), 21.0, 32.0]","[datetime.datetime(2022, 11, 27, 20, 32, 37, 300107), 11.0, 13.5]","[datetime.datetime(2022, 11, 27, 20, 32, 37, 300107), 8.5, 10.5]"
1,"[datetime.datetime(2022, 11, 27, 20, 32, 38, 591047), 26.0, 38.0]","[datetime.datetime(2022, 11, 27, 20, 32, 38, 591047), 3.2, 4.4]","[datetime.datetime(2022, 11, 27, 20, 32, 38, 591047), 7.0, 9.8]","[datetime.datetime(2022, 11, 27, 20, 32, 38, 591047), 9.0, 13.0]","[datetime.datetime(2022, 11, 27, 20, 32, 38, 591047), 5.0, 7.2]","[datetime.datetime(2022, 11, 27, 20, 32, 38, 591047), 8.0, 11.0]","[datetime.datetime(2022, 11, 27, 20, 32, 38, 591047), 19.0, 99999]","[datetime.datetime(2022, 11, 27, 20, 32, 38, 591047), 20.0, 99999]","[datetime.datetime(2022, 11, 27, 20, 32, 38, 591047), 21.0, 32.0]","[datetime.datetime(2022, 11, 27, 20, 32, 38, 591047), 11.0, 13.5]","[datetime.datetime(2022, 11, 27, 20, 32, 38, 591047), 8.5, 10.5]"
2,"[datetime.datetime(2022, 11, 27, 20, 32, 39, 958017), 26.0, 38.0]","[datetime.datetime(2022, 11, 27, 20, 32, 39, 958017), 3.2, 4.4]","[datetime.datetime(2022, 11, 27, 20, 32, 39, 958017), 7.0, 9.8]","[datetime.datetime(2022, 11, 27, 20, 32, 39, 958017), 9.0, 13.0]","[datetime.datetime(2022, 11, 27, 20, 32, 39, 958017), 5.0, 7.2]","[datetime.datetime(2022, 11, 27, 20, 32, 39, 958017), 8.0, 11.0]","[datetime.datetime(2022, 11, 27, 20, 32, 39, 958017), 19.0, 99999]","[datetime.datetime(2022, 11, 27, 20, 32, 39, 958017), 20.0, 99999]","[datetime.datetime(2022, 11, 27, 20, 32, 39, 958017), 21.0, 32.0]","[datetime.datetime(2022, 11, 27, 20, 32, 39, 958017), 11.0, 13.5]","[datetime.datetime(2022, 11, 27, 20, 32, 39, 958017), 8.5, 10.0]"
3,"[datetime.datetime(2022, 11, 27, 20, 32, 41, 247166), 26.0, 38.0]","[datetime.datetime(2022, 11, 27, 20, 32, 41, 247166), 3.2, 4.4]","[datetime.datetime(2022, 11, 27, 20, 32, 41, 247166), 7.0, 9.8]","[datetime.datetime(2022, 11, 27, 20, 32, 41, 247166), 9.0, 13.0]","[datetime.datetime(2022, 11, 27, 20, 32, 41, 247166), 5.0, 7.2]","[datetime.datetime(2022, 11, 27, 20, 32, 41, 247166), 8.0, 11.0]","[datetime.datetime(2022, 11, 27, 20, 32, 41, 247166), 19.0, 99999]","[datetime.datetime(2022, 11, 27, 20, 32, 41, 247166), 20.0, 99999]","[datetime.datetime(2022, 11, 27, 20, 32, 41, 247166), 21.0, 32.0]","[datetime.datetime(2022, 11, 27, 20, 32, 41, 247166), 11.0, 13.5]","[datetime.datetime(2022, 11, 27, 20, 32, 41, 247166), 8.5, 10.0]"
4,"[datetime.datetime(2022, 11, 27, 20, 32, 42, 555083), 26.0, 38.0]","[datetime.datetime(2022, 11, 27, 20, 32, 42, 555083), 3.2, 4.4]","[datetime.datetime(2022, 11, 27, 20, 32, 42, 555083), 7.0, 9.8]","[datetime.datetime(2022, 11, 27, 20, 32, 42, 555083), 9.0, 12.0]","[datetime.datetime(2022, 11, 27, 20, 32, 42, 555083), 5.0, 7.2]","[datetime.datetime(2022, 11, 27, 20, 32, 42, 555083), 8.0, 11.0]","[datetime.datetime(2022, 11, 27, 20, 32, 42, 555083), 19.0, 99999]","[datetime.datetime(2022, 11, 27, 20, 32, 42, 555083), 20.0, 99999]","[datetime.datetime(2022, 11, 27, 20, 32, 42, 555083), 21.0, 32.0]","[datetime.datetime(2022, 11, 27, 20, 32, 42, 555083), 11.0, 13.5]","[datetime.datetime(2022, 11, 27, 20, 32, 42, 555083), 8.5, 10.0]"
5,"[datetime.datetime(2022, 11, 27, 20, 32, 43, 846227), 26.0, 38.0]","[datetime.datetime(2022, 11, 27, 20, 32, 43, 846227), 3.2, 4.4]","[datetime.datetime(2022, 11, 27, 20, 32, 43, 846227), 7.0, 9.8]","[datetime.datetime(2022, 11, 27, 20, 32, 43, 846227), 9.0, 12.0]","[datetime.datetime(2022, 11, 27, 20, 32, 43, 846227), 5.0, 7.2]","[datetime.datetime(2022, 11, 27, 20, 32, 43, 846227), 8.0, 11.0]","[datetime.datetime(2022, 11, 27, 20, 32, 43, 846227), 19.0, 99999]","[datetime.datetime(2022, 11, 27, 20, 32, 43, 846227), 20.0, 99999]","[datetime.datetime(2022, 11, 27, 20, 32, 43, 846227), 21.0, 32.0]","[datetime.datetime(2022, 11, 27, 20, 32, 43, 846227), 11.0, 13.5]","[datetime.datetime(2022, 11, 27, 20, 32, 43, 846227), 8.5, 10.0]"
6,"[datetime.datetime(2022, 11, 27, 20, 32, 45, 114025), 26.0, 38.0]","[datetime.datetime(2022, 11, 27, 20, 32, 45, 114025), 3.2, 4.4]","[datetime.datetime(2022, 11, 27, 20, 32, 45, 114025), 7.0, 9.8]","[datetime.datetime(2022, 11, 27, 20, 32, 45, 114025), 9.0, 12.0]","[datetime.datetime(2022, 11, 27, 20, 32, 45, 114025), 5.0, 7.2]","[datetime.datetime(2022, 11, 27, 20, 32, 45, 114025), 8.0, 10.5]","[datetime.datetime(2022, 11, 27, 20, 32, 45, 114025), 19.0, 99999]","[datetime.datetime(2022, 11, 27, 20, 32, 45, 114025), 20.0, 99999]","[datetime.datetime(2022, 11, 27, 20, 32, 45, 114025), 21.0, 32.0]","[datetime.datetime(2022, 11, 27, 20, 32, 45, 114025), 11.0, 13.5]","[datetime.datetime(2022, 11, 27, 20, 32, 45, 114025), 8.5, 10.5]"
7,"[datetime.datetime(2022, 11, 27, 20, 32, 46, 365059), 26.0, 38.0]","[datetime.datetime(2022, 11, 27, 20, 32, 46, 365059), 3.2, 4.4]","[datetime.datetime(2022, 11, 27, 20, 32, 46, 365059), 7.0, 9.8]","[datetime.datetime(2022, 11, 27, 20, 32, 46, 365059), 9.0, 12.0]","[datetime.datetime(2022, 11, 27, 20, 32, 46, 365059), 5.0, 7.2]","[datetime.datetime(2022, 11, 27, 20, 32, 46, 365059), 8.0, 10.5]","[datetime.datetime(2022, 11, 27, 20, 32, 46, 365059), 19.0, 99999]","[datetime.datetime(2022, 11, 27, 20, 32, 46, 365059), 20.0, 99999]","[datetime.datetime(2022, 11, 27, 20, 32, 46, 365059), 21.0, 32.0]","[datetime.datetime(2022, 11, 27, 20, 32, 46, 365059), 11.0, 13.5]","[datetime.datetime(2022, 11, 27, 20, 32, 46, 365059), 8.5, 10.5]"
8,"[datetime.datetime(2022, 11, 27, 20, 32, 47, 619133), 26.0, 38.0]","[datetime.datetime(2022, 11, 27, 20, 32, 47, 619133), 3.2, 4.4]","[datetime.datetime(2022, 11, 27, 20, 32, 47, 619133), 7.0, 9.8]","[datetime.datetime(2022, 11, 27, 20, 32, 47, 619133), 9.0, 12.0]","[datetime.datetime(2022, 11, 27, 20, 32, 47, 619133), 5.0, 7.2]","[datetime.datetime(2022, 11, 27, 20, 32, 47, 619133), 8.0, 10.5]","[datetime.datetime(2022, 11, 27, 20, 32, 47, 619133), 19.0, 99999]","[datetime.datetime(2022, 11, 27, 20, 32, 47, 619133), 20.0, 99999]","[datetime.datetime(2022, 11, 27, 20, 32, 47, 619133), 21.0, 32.0]","[datetime.datetime(2022, 11, 27, 20, 32, 47, 619133), 11.0, 13.5]","[datetime.datetime(2022, 11, 27, 20, 32, 47, 619133), 8.5, 10.5]"
9,"[datetime.datetime(2022, 11, 27, 20, 32, 48, 952759), 26.0, 38.0]","[datetime.datetime(2022, 11, 27, 20, 32, 48, 952759), 3.2, 4.4]","[datetime.datetime(2022, 11, 27, 20, 32, 48, 952759), 7.0, 9.8]","[datetime.datetime(2022, 11, 27, 20, 32, 48, 952759), 9.0, 12.0]","[datetime.datetime(2022, 11, 27, 20, 32, 48, 952759), 5.0, 7.2]","[datetime.datetime(2022, 11, 27, 20, 32, 48, 952759), 8.0, 10.0]","[datetime.datetime(2022, 11, 27, 20, 32, 48, 952759), 19.0, 99999]","[datetime.datetime(2022, 11, 27, 20, 32, 48, 952759), 20.0, 99999]","[datetime.datetime(2022, 11, 27, 20, 32, 48, 952759), 21.0, 32.0]","[datetime.datetime(2022, 11, 27, 20, 32, 48, 952759), 11.0, 13.0]","[datetime.datetime(2022, 11, 27, 20, 32, 48, 952759), 8.5, 10.0]"
