,Datetime,Horse,Type,Location,Price,Midpoint Price,Venue,Midpoint Percentage,SELECTION_NAME,WIN_LOSE,BSP,Turnover
142,08-12-2022,Lumin,RaceType.HORSE_RACE,AUS,10.0,9.68,Warrnambool,0.968,Lumin,0,14.5,68.96551724137932
143,08-12-2022,Maxima,RaceType.GREYHOUND_RACE,AUS,10.0,9.433333333333334,Addington,0.9433333333333334,Maxima,0,8.940850447,111.84618352894367
144,08-12-2022,Midas Prince,RaceType.HORSE_RACE,AUS,5.5,5.66875,Warrnambool,1.0306818181818183,Midas Prince,0,5.0457966,109.0016192884192
145,08-12-2022,Mistys Fool,RaceType.HORSE_RACE,USA,5.5,4.845454545454546,Remington Park,0.8809917355371901,Mistys Fool,0,3.9,141.02564102564102
146,08-12-2022,Musical Millie,RaceType.HORSE_RACE,USA,5.5,5.5,Remington Park,1.0,Musical Millie,0,3.983350918858196,138.07470423862486
147,08-12-2022,Mustangmagna,RaceType.HORSE_RACE,USA,6.5,6.2,Remington Park,0.9538461538461539,Mustangmagna,0,5.946302478702856,109.3116272386118
148,08-12-2022,Opawa Kyle,RaceType.GREYHOUND_RACE,AUS,5.5,5.18,Addington,0.9418181818181818,Opawa Kyle,1,5.452516000729894,100.87086400596989
149,08-12-2022,Playing It Safe,RaceType.HORSE_RACE,AUS,8.0,7.770588235294118,Warrnambool,0.9713235294117647,Playing It Safe,0,7.611422618556535,105.10518730750962
150,08-12-2022,Quick Entry,RaceType.HORSE_RACE,USA,5.0,4.714285714285714,Mountaineer Park,0.9428571428571428,Quick Entry,0,5.6,89.28571428571429
151,08-12-2022,Red October,RaceType.HORSE_RACE,USA,4.4,4.25,Delta Downs,0.9659090909090908,Red October,0,3.881812272,113.34911870256461
152,08-12-2022,Sassolino,RaceType.HORSE_RACE,AUS,4.6,4.493142857142857,Warrnambool,0.9767701863354038,Sassolino,1,5.0,92.0
