,Zipping Noelle,One For Luck,Cruzin Ace,Witch Earner,War Hammer,Sankey,Lend The Moose,Poppy Bluey
11-01-2023 12:40:37.559011,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.692307692307693)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:40:38.683270,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.692307692307693)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:40:39.771411,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.692307692307693)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:40:40.886037,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.692307692307693)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:40:42.141399,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.692307692307693)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:40:43.412420,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.692307692307693)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:40:44.532721,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.692307692307693)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:40:45.812197,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.692307692307693)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:40:47.240630,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.692307692307693)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:40:48.512564,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 20.5)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
