,Liverpool Street,Whisky Nip,Smiling Sapphire,Angry Betty,Bora Burst,Spring Martini,Prince Of Melton,Operatic Blue
16-12-2022 15:41:31.399119,"(51.0, 440.0, 336.6666666666667)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 27.666666666666664)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 9.6)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:41:32.630686,"(51.0, 480.0, 336.6666666666667)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 27.666666666666664)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 9.6)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:41:33.856384,"(51.0, 480.0, 336.6666666666667)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 27.666666666666664)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 7.5874999999999995)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:41:35.053184,"(51.0, 480.0, 336.6666666666667)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 27.666666666666664)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 7.5874999999999995)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:41:36.243864,"(51.0, 480.0, 336.6666666666667)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 27.666666666666664)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 7.5874999999999995)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:41:37.406789,"(51.0, 480.0, 336.6666666666667)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 27.666666666666664)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 7.5874999999999995)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:41:38.477788,"(51.0, 480.0, 336.6666666666667)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 27.666666666666664)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 7.5874999999999995)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:41:39.546673,"(51.0, 480.0, 336.6666666666667)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 27.666666666666664)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 9.6)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:41:40.638571,"(51.0, 480.0, 336.6666666666667)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 27.666666666666664)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 9.6)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:41:41.717459,"(51.0, 480.0, 336.6666666666667)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 27.666666666666664)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 9.6)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:41:42.846058,"(51.0, 480.0, 336.6666666666667)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 27.666666666666664)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 9.6)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:41:43.930528,"(51.0, 480.0, 336.6666666666667)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 27.666666666666664)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 9.6)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:41:45.000205,"(51.0, 490.0, 270.0)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 31.38888888888889)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 11.589473684210526)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:41:46.081675,"(51.0, 490.0, 270.0)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 31.38888888888889)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 7.5874999999999995)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:41:47.128295,"(51.0, 490.0, 270.0)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 31.38888888888889)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 7.5874999999999995)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:41:48.227652,"(51.0, 490.0, 270.0)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 31.38888888888889)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 7.5874999999999995)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:41:49.242025,"(51.0, 490.0, 270.0)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 35.625)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 7.5874999999999995)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:41:50.256733,"(51.0, 490.0, 270.0)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 35.625)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 7.5874999999999995)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:41:51.348742,"(51.0, 490.0, 270.0)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 35.625)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 7.5874999999999995)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:41:52.423989,"(51.0, 490.0, 270.0)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 35.625)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 7.5874999999999995)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:41:53.453290,"(51.0, 490.0, 270.0)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 35.625)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 7.5874999999999995)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:41:54.437231,"(51.0, 490.0, 270.0)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 35.625)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 7.5874999999999995)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:41:55.460912,"(51.0, 490.0, 270.0)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 35.625)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 7.5874999999999995)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:41:56.467162,"(51.0, 490.0, 270.0)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 31.11111111111111)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 7.5874999999999995)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:41:57.482183,"(51.0, 490.0, 270.0)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 31.11111111111111)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 7.5874999999999995)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:41:58.459014,"(51.0, 490.0, 270.0)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 31.11111111111111)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 7.5874999999999995)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:41:59.417337,"(51.0, 490.0, 270.0)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 31.11111111111111)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 7.5874999999999995)","(91.0, 650.0, 555.8333333333334)"
16-12-2022 15:42:00.463217,"(51.0, 490.0, 270.0)","(4.8, 8.0, 6.561111111111112)","(6.0, 10.5, 7.275)","(18.0, 50.0, 31.11111111111111)","(2.0, 2.94, 2.6553846153846155)","(4.6, 8.2, 5.7)","(7.0, 14.5, 7.5874999999999995)","(91.0, 650.0, 555.8333333333334)"
