,Al Be Purple,Town Beach,El Caballo,Cherokee Cherry,Curracabundi,Deltora,Gracious Gracie,Crashnbash
0,"[datetime.datetime(2022, 11, 28, 12, 21, 20, 757216), 26.0, 100.0]","[datetime.datetime(2022, 11, 28, 12, 21, 20, 757216), 51.0, 340.0]","[datetime.datetime(2022, 11, 28, 12, 21, 20, 757216), 14.0, 27.0]","[datetime.datetime(2022, 11, 28, 12, 21, 20, 757216), 2.3, 3.2]","[datetime.datetime(2022, 11, 28, 12, 21, 20, 757216), 3.6, 4.0]","[datetime.datetime(2022, 11, 28, 12, 21, 20, 757216), 18.0, 60.0]","[datetime.datetime(2022, 11, 28, 12, 21, 20, 757216), 4.8, 6.8]","[datetime.datetime(2022, 11, 28, 12, 21, 20, 757216), 6.0, 8.8]"
1,"[datetime.datetime(2022, 11, 28, 12, 21, 21, 882567), 26.0, 100.0]","[datetime.datetime(2022, 11, 28, 12, 21, 21, 882567), 51.0, 340.0]","[datetime.datetime(2022, 11, 28, 12, 21, 21, 882567), 14.0, 27.0]","[datetime.datetime(2022, 11, 28, 12, 21, 21, 882567), 2.3, 3.2]","[datetime.datetime(2022, 11, 28, 12, 21, 21, 882567), 3.6, 4.0]","[datetime.datetime(2022, 11, 28, 12, 21, 21, 882567), 18.0, 60.0]","[datetime.datetime(2022, 11, 28, 12, 21, 21, 882567), 4.8, 6.8]","[datetime.datetime(2022, 11, 28, 12, 21, 21, 882567), 6.0, 8.8]"
2,"[datetime.datetime(2022, 11, 28, 12, 21, 23, 7526), 26.0, 100.0]","[datetime.datetime(2022, 11, 28, 12, 21, 23, 7526), 51.0, 340.0]","[datetime.datetime(2022, 11, 28, 12, 21, 23, 7526), 14.0, 27.0]","[datetime.datetime(2022, 11, 28, 12, 21, 23, 7526), 2.3, 3.2]","[datetime.datetime(2022, 11, 28, 12, 21, 23, 7526), 3.6, 4.0]","[datetime.datetime(2022, 11, 28, 12, 21, 23, 7526), 18.0, 60.0]","[datetime.datetime(2022, 11, 28, 12, 21, 23, 7526), 4.8, 6.8]","[datetime.datetime(2022, 11, 28, 12, 21, 23, 7526), 6.0, 8.8]"
3,"[datetime.datetime(2022, 11, 28, 12, 21, 24, 131675), 26.0, 100.0]","[datetime.datetime(2022, 11, 28, 12, 21, 24, 131675), 51.0, 340.0]","[datetime.datetime(2022, 11, 28, 12, 21, 24, 131675), 14.0, 27.0]","[datetime.datetime(2022, 11, 28, 12, 21, 24, 131675), 2.3, 3.2]","[datetime.datetime(2022, 11, 28, 12, 21, 24, 131675), 3.6, 4.0]","[datetime.datetime(2022, 11, 28, 12, 21, 24, 131675), 18.0, 60.0]","[datetime.datetime(2022, 11, 28, 12, 21, 24, 131675), 4.8, 6.8]","[datetime.datetime(2022, 11, 28, 12, 21, 24, 131675), 6.0, 8.8]"
4,"[datetime.datetime(2022, 11, 28, 12, 21, 25, 263871), 26.0, 100.0]","[datetime.datetime(2022, 11, 28, 12, 21, 25, 263871), 51.0, 340.0]","[datetime.datetime(2022, 11, 28, 12, 21, 25, 263871), 14.0, 27.0]","[datetime.datetime(2022, 11, 28, 12, 21, 25, 263871), 2.3, 3.2]","[datetime.datetime(2022, 11, 28, 12, 21, 25, 263871), 3.6, 4.0]","[datetime.datetime(2022, 11, 28, 12, 21, 25, 263871), 18.0, 60.0]","[datetime.datetime(2022, 11, 28, 12, 21, 25, 263871), 4.8, 6.8]","[datetime.datetime(2022, 11, 28, 12, 21, 25, 263871), 6.0, 8.8]"
5,"[datetime.datetime(2022, 11, 28, 12, 21, 26, 388206), 26.0, 100.0]","[datetime.datetime(2022, 11, 28, 12, 21, 26, 388206), 51.0, 340.0]","[datetime.datetime(2022, 11, 28, 12, 21, 26, 388206), 14.0, 27.0]","[datetime.datetime(2022, 11, 28, 12, 21, 26, 388206), 2.3, 3.2]","[datetime.datetime(2022, 11, 28, 12, 21, 26, 388206), 3.6, 4.0]","[datetime.datetime(2022, 11, 28, 12, 21, 26, 388206), 18.0, 60.0]","[datetime.datetime(2022, 11, 28, 12, 21, 26, 388206), 4.8, 6.8]","[datetime.datetime(2022, 11, 28, 12, 21, 26, 388206), 6.0, 8.8]"
6,"[datetime.datetime(2022, 11, 28, 12, 21, 27, 520429), 26.0, 100.0]","[datetime.datetime(2022, 11, 28, 12, 21, 27, 520429), 51.0, 340.0]","[datetime.datetime(2022, 11, 28, 12, 21, 27, 520429), 14.0, 27.0]","[datetime.datetime(2022, 11, 28, 12, 21, 27, 520429), 2.3, 3.2]","[datetime.datetime(2022, 11, 28, 12, 21, 27, 520429), 3.6, 4.0]","[datetime.datetime(2022, 11, 28, 12, 21, 27, 520429), 18.0, 60.0]","[datetime.datetime(2022, 11, 28, 12, 21, 27, 520429), 4.8, 6.8]","[datetime.datetime(2022, 11, 28, 12, 21, 27, 520429), 6.0, 8.8]"
7,"[datetime.datetime(2022, 11, 28, 12, 21, 28, 654074), 26.0, 100.0]","[datetime.datetime(2022, 11, 28, 12, 21, 28, 654074), 51.0, 340.0]","[datetime.datetime(2022, 11, 28, 12, 21, 28, 654074), 14.0, 27.0]","[datetime.datetime(2022, 11, 28, 12, 21, 28, 654074), 2.3, 3.2]","[datetime.datetime(2022, 11, 28, 12, 21, 28, 654074), 3.6, 4.0]","[datetime.datetime(2022, 11, 28, 12, 21, 28, 654074), 18.0, 60.0]","[datetime.datetime(2022, 11, 28, 12, 21, 28, 654074), 4.8, 6.8]","[datetime.datetime(2022, 11, 28, 12, 21, 28, 654074), 6.0, 8.8]"
8,"[datetime.datetime(2022, 11, 28, 12, 21, 29, 784784), 26.0, 100.0]","[datetime.datetime(2022, 11, 28, 12, 21, 29, 784784), 51.0, 340.0]","[datetime.datetime(2022, 11, 28, 12, 21, 29, 784784), 14.0, 27.0]","[datetime.datetime(2022, 11, 28, 12, 21, 29, 784784), 2.3, 3.2]","[datetime.datetime(2022, 11, 28, 12, 21, 29, 784784), 3.6, 4.0]","[datetime.datetime(2022, 11, 28, 12, 21, 29, 784784), 18.0, 60.0]","[datetime.datetime(2022, 11, 28, 12, 21, 29, 784784), 4.8, 6.8]","[datetime.datetime(2022, 11, 28, 12, 21, 29, 784784), 6.0, 8.8]"
9,"[datetime.datetime(2022, 11, 28, 12, 21, 30, 909229), 26.0, 100.0]","[datetime.datetime(2022, 11, 28, 12, 21, 30, 909229), 51.0, 340.0]","[datetime.datetime(2022, 11, 28, 12, 21, 30, 909229), 14.0, 27.0]","[datetime.datetime(2022, 11, 28, 12, 21, 30, 909229), 2.3, 3.2]","[datetime.datetime(2022, 11, 28, 12, 21, 30, 909229), 3.6, 4.0]","[datetime.datetime(2022, 11, 28, 12, 21, 30, 909229), 18.0, 60.0]","[datetime.datetime(2022, 11, 28, 12, 21, 30, 909229), 4.8, 6.8]","[datetime.datetime(2022, 11, 28, 12, 21, 30, 909229), 6.0, 8.8]"
