,Phantom Divine,Mister Hemsworth,Bucks Party,Sir Tom,Competition,Rabairneach,Ranhita,Highland Cathedral,Stella Simone,Luisana,Golden Honour,Dhyani,Diaco
07-01-2023 15:06:25.019799,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 23.3125)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:26.370073,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:27.825351,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:29.429245,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:30.892457,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:32.281269,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:33.701431,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:35.086067,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:36.563824,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:37.945133,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:39.287961,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:40.730278,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:42.022071,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:43.362489,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:44.939635,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:46.307803,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:47.637829,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:49.042622,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:50.413678,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:51.763007,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:53.161295,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:54.477555,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:55.869944,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:57.156243,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:58.471237,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:59.915914,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
