,Free To Move,Beaufort Park,Blesk,Comanche Brave,Saucey Horsey,Kiss Me If You Can,Lovin Laughs,Lafargue,Standoff,Ceasar,Marketing,Worsfold
07-12-2022 18:19:41.306814,"(18.0, 99999, 99990)","(9.0, 11.5, 11.333333333333334)","(21.0, 34.0, 32.08247422680412)","(19.0, 32.0, 30.903225806451612)","(5.5, 6.8, 6.717543859649123)","(31.0, 55.0, 51.1)","(20.0, 32.0, 37.2)","(7.5, 9.4, 9.176470588235293)","(26.0, 38.0, 36.9)","(3.6, 4.0, 3.9772770853307766)","(51.0, 55.0, 54.89795918367347)","(4.4, 4.8, 4.656818181818182)"
07-12-2022 18:19:42.875781,"(18.0, 99999, 99990)","(9.0, 11.5, 11.333333333333334)","(21.0, 34.0, 32.09090909090909)","(19.0, 32.0, 30.903225806451612)","(5.5, 6.8, 6.717543859649123)","(31.0, 55.0, 51.1)","(20.0, 38.0, 36.375)","(7.5, 9.2, 9.176470588235293)","(26.0, 38.0, 36.9)","(3.6, 4.0, 3.974547023295945)","(51.0, 60.0, 55.21739130434783)","(4.4, 4.7, 4.657541899441341)"
07-12-2022 18:19:44.437933,"(18.0, 99999, 99990)","(9.0, 11.5, 11.333333333333334)","(21.0, 34.0, 32.303030303030305)","(19.0, 32.0, 30.903225806451612)","(5.5, 6.8, 6.717543859649123)","(31.0, 55.0, 51.1)","(20.0, 38.0, 36.5)","(7.5, 9.2, 9.176470588235293)","(26.0, 38.0, 36.9)","(3.6, 4.0, 3.974547023295945)","(51.0, 60.0, 55.21739130434783)","(4.4, 4.7, 4.678030303030303)"
07-12-2022 18:19:45.895596,"(18.0, 99999, 99990)","(9.0, 11.5, 11.333333333333334)","(21.0, 34.0, 32.303030303030305)","(19.0, 32.0, 31.02857142857143)","(5.5, 6.8, 6.717543859649123)","(31.0, 55.0, 51.1)","(20.0, 38.0, 36.94117647058823)","(7.5, 9.2, 9.155555555555555)","(26.0, 38.0, 37.022222222222226)","(3.6, 4.0, 3.974547023295945)","(51.0, 60.0, 55.21739130434783)","(4.4, 4.7, 4.678030303030303)"
07-12-2022 18:19:47.288785,"(18.0, 99999, 99990)","(9.0, 11.5, 11.333333333333334)","(21.0, 34.0, 32.303030303030305)","(19.0, 32.0, 31.02857142857143)","(5.5, 6.8, 6.75764705882353)","(31.0, 55.0, 50.859375)","(20.0, 38.0, 37.21739130434783)","(7.5, 9.2, 9.155555555555555)","(26.0, 38.0, 37.022222222222226)","(3.6, 4.0, 3.974547023295945)","(51.0, 60.0, 55.21739130434783)","(4.4, 4.7, 4.678030303030303)"
07-12-2022 18:19:48.750663,"(18.0, 99999, 99990)","(9.0, 11.5, 11.333333333333334)","(21.0, 34.0, 31.666666666666668)","(19.0, 32.0, 31.02857142857143)","(5.5, 6.8, 6.75764705882353)","(31.0, 55.0, 50.859375)","(20.0, 38.0, 37.21739130434783)","(7.5, 9.2, 9.166666666666666)","(26.0, 38.0, 37.022222222222226)","(3.6, 4.0, 3.974547023295945)","(51.0, 60.0, 50.8)","(4.4, 4.7, 4.753333333333333)"
07-12-2022 18:19:50.294757,"(18.0, 99999, 99990)","(9.0, 11.5, 11.333333333333334)","(21.0, 34.0, 31.60919540229885)","(19.0, 32.0, 31.02857142857143)","(5.5, 6.8, 6.894117647058823)","(31.0, 55.0, 50.859375)","(20.0, 38.0, 36.8)","(7.5, 9.2, 9.166666666666666)","(26.0, 38.0, 37.022222222222226)","(3.6, 4.0, 3.9727608494921514)","(51.0, 55.0, 49.4)","(4.4, 4.8, 4.742635658914729)"
07-12-2022 18:19:51.736011,"(18.0, 99999, 99990)","(9.0, 11.5, 11.333333333333334)","(21.0, 34.0, 31.60919540229885)","(19.0, 32.0, 31.02857142857143)","(5.5, 7.0, 6.9)","(31.0, 55.0, 50.859375)","(20.0, 38.0, 35.38461538461539)","(7.5, 9.2, 9.166666666666666)","(26.0, 38.0, 37.022222222222226)","(3.6, 4.0, 3.9727608494921514)","(51.0, 55.0, 49.86666666666667)","(4.4, 4.8, 4.742635658914729)"
07-12-2022 18:19:53.208506,"(18.0, 99999, 99990)","(9.0, 11.5, 11.320512820512821)","(21.0, 34.0, 31.60919540229885)","(19.0, 32.0, 30.434782608695652)","(5.5, 7.0, 6.9)","(31.0, 55.0, 50.859375)","(20.0, 36.0, 35.38461538461539)","(7.5, 9.2, 9.166666666666666)","(26.0, 38.0, 37.022222222222226)","(3.6, 4.0, 3.9727608494921514)","(51.0, 55.0, 51.18181818181818)","(4.4, 4.8, 4.742635658914729)"
07-12-2022 18:19:54.702170,"(18.0, 99999, 99990)","(9.0, 11.5, 11.320512820512821)","(21.0, 34.0, 31.60919540229885)","(19.0, 32.0, 30.434782608695652)","(5.5, 7.0, 6.9)","(31.0, 55.0, 50.859375)","(20.0, 36.0, 35.2)","(7.5, 9.2, 9.166666666666666)","(26.0, 38.0, 37.022222222222226)","(3.6, 4.0, 3.9727608494921514)","(51.0, 55.0, 51.36363636363637)","(4.4, 4.8, 4.742635658914729)"
07-12-2022 18:19:56.123979,"(18.0, 99999, 99990)","(9.0, 11.5, 11.320512820512821)","(21.0, 34.0, 31.60919540229885)","(19.0, 32.0, 30.434782608695652)","(5.5, 7.0, 6.9)","(31.0, 55.0, 50.859375)","(20.0, 36.0, 36.26086956521739)","(7.5, 9.2, 9.166666666666666)","(26.0, 38.0, 37.266666666666666)","(3.6, 4.0, 3.9727608494921514)","(51.0, 55.0, 51.36363636363637)","(4.4, 4.8, 4.742635658914729)"
