,Florey Bale,Ivanka Tea,Ten Dollar Slaps,Who Told Mel,Lifes Gal,Our Girls Shout,Dynamo Dash,Zipping Tula
06-01-2023 16:44:28.830137,"(2.0, 2.32, 2.0866666666666664)","(10.0, 50.0, 25.31111111111111)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 56.875)","(8.0, 20.0, 14.2)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:44:30.039265,"(2.0, 2.32, 2.0866666666666664)","(10.0, 50.0, 25.31111111111111)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 56.875)","(8.0, 20.0, 14.2)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:44:31.319960,"(2.0, 2.32, 2.0866666666666664)","(10.0, 50.0, 25.31111111111111)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 56.875)","(8.0, 20.0, 14.2)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:44:32.463373,"(2.0, 2.32, 2.0866666666666664)","(10.0, 50.0, 25.31111111111111)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 56.875)","(8.0, 20.0, 14.2)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:44:33.666841,"(2.0, 2.3, 2.055)","(10.0, 50.0, 25.31111111111111)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 56.875)","(8.0, 20.0, 14.2)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:44:34.934723,"(2.0, 2.3, 2.055)","(10.0, 50.0, 25.31111111111111)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 56.875)","(8.0, 20.0, 14.2)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:44:36.172928,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 25.31111111111111)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 56.875)","(8.0, 20.0, 14.2)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:44:37.350974,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 25.31111111111111)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 56.875)","(8.0, 20.0, 14.2)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:44:38.581924,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 18.57142857142857)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 56.875)","(8.0, 20.0, 14.2)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:44:39.830337,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 18.57142857142857)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 56.875)","(8.0, 20.0, 14.2)","(8.0, 22.0, 16.545454545454547)"
