,Under Study,Jackey Moon,Ambrose Bale,Yasmin Belle,Mepunga Web,Georges Fancy,Catch Me Nero,Ravers Army
09-01-2023 17:14:26.806356,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 250.0, 97.14285714285714)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:14:28.132607,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 250.0, 97.14285714285714)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:14:29.560267,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 250.0, 97.14285714285714)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:14:30.804995,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 250.0, 97.14285714285714)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:14:32.115072,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 250.0, 97.14285714285714)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:14:33.572307,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 250.0, 97.14285714285714)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:14:34.980338,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 250.0, 97.14285714285714)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:14:36.431428,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 250.0, 97.14285714285714)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:14:37.795299,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 131.66666666666669)","(41.0, 250.0, 97.14285714285714)","(8.0, 16.0, 9.0)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:14:39.046209,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 250.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:14:40.369857,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:14:41.883031,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:14:43.141116,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:14:44.379179,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:14:45.578123,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:14:46.829955,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:14:48.121343,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:14:49.431120,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:14:50.644450,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:14:51.893325,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:14:53.244011,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:14:54.554510,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:14:55.785871,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:14:57.134176,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:14:58.524950,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:14:59.787387,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:01.037189,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:02.277272,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:03.561464,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:04.792768,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:06.110980,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:07.392570,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:08.707478,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:09.998986,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:11.290641,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:12.791516,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:14.391561,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 104.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
