,Jessore,Under Study,Velocity Zaylia,On The Tequila,Cyclone Jane,Jax Bale
04-01-2023 14:02:49.995938,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:02:51.089187,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:02:52.030030,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:02:53.128354,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:02:54.226801,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:02:55.301698,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:02:56.302039,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:02:57.324287,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:02:58.382248,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:02:59.445924,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
