,Whiskey Chaser,Call Me Jim,Deadly Ambition,Jills A Star,Kelseys Girl,Blue Scotch Boy,Brooklyn Star,Smug Doug
04-01-2023 13:35:10.223547,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 42.5)","(26.0, 260.0, 92.85714285714286)","(18.0, 44.0, 29.75)","(5.5, 24.0, 12.923076923076923)","(2.5, 3.85, 2.92)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 20.11111111111111)"
04-01-2023 13:35:11.431888,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 42.5)","(26.0, 260.0, 92.85714285714286)","(18.0, 44.0, 29.75)","(5.5, 24.0, 12.923076923076923)","(2.5, 3.8, 2.5194444444444444)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 20.11111111111111)"
04-01-2023 13:35:12.739227,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 42.5)","(26.0, 260.0, 92.85714285714286)","(18.0, 44.0, 29.75)","(5.5, 24.0, 12.923076923076923)","(2.5, 3.9, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 20.11111111111111)"
04-01-2023 13:35:13.950351,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 42.5)","(26.0, 260.0, 92.85714285714286)","(18.0, 44.0, 29.75)","(5.5, 24.0, 12.923076923076923)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 20.11111111111111)"
04-01-2023 13:35:15.120181,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 42.5)","(26.0, 260.0, 92.85714285714286)","(18.0, 44.0, 29.75)","(5.5, 24.0, 12.923076923076923)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 20.11111111111111)"
04-01-2023 13:35:16.299318,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 42.5)","(26.0, 260.0, 92.85714285714286)","(18.0, 44.0, 29.75)","(5.5, 24.0, 12.923076923076923)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 20.11111111111111)"
04-01-2023 13:35:17.602437,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 42.5)","(26.0, 260.0, 92.85714285714286)","(18.0, 44.0, 29.75)","(5.5, 24.0, 13.857142857142858)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 20.11111111111111)"
04-01-2023 13:35:18.931660,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 42.5)","(26.0, 260.0, 92.85714285714286)","(18.0, 44.0, 29.75)","(5.5, 24.0, 13.857142857142858)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 20.11111111111111)"
04-01-2023 13:35:20.297446,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 42.5)","(26.0, 260.0, 92.85714285714286)","(18.0, 44.0, 29.75)","(5.5, 24.0, 13.857142857142858)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 20.11111111111111)"
04-01-2023 13:35:21.710981,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 42.5)","(26.0, 260.0, 92.85714285714286)","(18.0, 44.0, 29.75)","(5.5, 24.0, 13.857142857142858)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 20.11111111111111)"
04-01-2023 13:35:23.108081,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 42.5)","(26.0, 260.0, 92.85714285714286)","(18.0, 44.0, 29.75)","(5.5, 24.0, 13.857142857142858)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 20.11111111111111)"
04-01-2023 13:35:24.488498,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 42.5)","(26.0, 260.0, 92.85714285714286)","(18.0, 44.0, 29.75)","(5.5, 24.0, 13.857142857142858)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 20.11111111111111)"
04-01-2023 13:35:25.786241,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 42.5)","(26.0, 260.0, 92.85714285714286)","(18.0, 44.0, 29.75)","(5.5, 24.0, 13.857142857142858)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 20.11111111111111)"
04-01-2023 13:35:27.110065,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 42.5)","(26.0, 260.0, 92.85714285714286)","(18.0, 44.0, 29.75)","(5.5, 24.0, 13.857142857142858)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 20.11111111111111)"
04-01-2023 13:35:28.332182,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 42.5)","(26.0, 260.0, 92.85714285714286)","(18.0, 44.0, 29.75)","(5.5, 24.0, 13.857142857142858)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 20.11111111111111)"
04-01-2023 13:35:29.591710,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 42.5)","(26.0, 260.0, 92.85714285714286)","(18.0, 44.0, 29.75)","(5.5, 24.0, 13.857142857142858)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 20.11111111111111)"
04-01-2023 13:35:30.871998,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 42.5)","(26.0, 260.0, 92.85714285714286)","(18.0, 44.0, 29.75)","(5.5, 24.0, 13.857142857142858)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 20.11111111111111)"
04-01-2023 13:35:32.157365,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 42.5)","(26.0, 260.0, 92.85714285714286)","(18.0, 44.0, 29.75)","(5.5, 24.0, 13.857142857142858)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 20.11111111111111)"
04-01-2023 13:35:33.391559,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 42.5)","(26.0, 260.0, 92.85714285714286)","(18.0, 44.0, 29.75)","(5.5, 24.0, 13.857142857142858)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 20.11111111111111)"
04-01-2023 13:35:34.600896,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 42.5)","(26.0, 260.0, 92.85714285714286)","(18.0, 44.0, 29.75)","(5.5, 24.0, 13.857142857142858)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 20.11111111111111)"
04-01-2023 13:35:35.768653,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 42.5)","(26.0, 260.0, 92.85714285714286)","(18.0, 44.0, 29.75)","(5.5, 24.0, 13.857142857142858)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 20.11111111111111)"
04-01-2023 13:35:37.025062,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 42.5)","(26.0, 260.0, 92.85714285714286)","(18.0, 44.0, 29.75)","(5.5, 24.0, 13.857142857142858)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 20.11111111111111)"
04-01-2023 13:35:38.248984,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 42.5)","(26.0, 260.0, 92.85714285714286)","(18.0, 44.0, 29.75)","(5.5, 24.0, 13.857142857142858)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 20.11111111111111)"
04-01-2023 13:35:39.367275,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 42.5)","(26.0, 260.0, 92.85714285714286)","(18.0, 44.0, 29.75)","(5.5, 24.0, 13.857142857142858)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 20.11111111111111)"
04-01-2023 13:35:40.497081,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 42.5)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 13.857142857142858)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:35:41.726903,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 13.857142857142858)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:35:42.916300,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 13.857142857142858)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:35:44.159814,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 13.857142857142858)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:35:45.345512,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 13.857142857142858)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:35:46.581759,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 13.857142857142858)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:35:47.881447,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 14.25)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:35:49.242227,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 14.799999999999999)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:35:50.943111,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 12.5625)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:35:52.450694,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 8.833333333333332)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:35:53.785182,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 9.0)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:35:55.188224,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 9.0)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:35:56.616921,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 9.0)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:35:58.045083,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 9.0)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:35:59.538654,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 9.0)","(2.5, 3.85, 2.7083333333333335)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:00.924309,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 9.0)","(2.5, 3.85, 2.5815384615384613)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:02.331947,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 9.0)","(2.5, 3.8, 2.621111111111111)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:03.727092,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 9.0)","(2.5, 3.75, 2.9033333333333333)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:05.017888,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 9.0)","(2.5, 3.75, 2.621111111111111)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:06.360127,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 9.0)","(2.5, 3.75, 2.621111111111111)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:07.639696,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 9.0)","(2.5, 3.75, 2.621111111111111)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:08.883713,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 9.0)","(2.5, 3.75, 2.621111111111111)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:10.282551,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 9.0)","(2.5, 3.75, 2.9033333333333333)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:11.694096,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 9.0)","(2.5, 3.75, 2.5194444444444444)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:13.027021,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 9.0)","(2.5, 3.9, 2.5815384615384613)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:14.707483,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 9.0)","(2.5, 3.8, 2.5815384615384613)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:16.394510,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 9.0)","(2.5, 3.8, 2.5815384615384613)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:17.792361,"(3.1, 4.7, 4.11875)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 17.48148148148148)","(2.5, 3.8, 2.5815384615384613)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:19.176570,"(3.1, 4.7, 3.95)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 10.615384615384615)","(2.5, 3.8, 2.868235294117647)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:20.475508,"(3.1, 4.7, 3.95)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 13.375)","(2.5, 3.8, 2.76)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:21.777145,"(3.1, 4.7, 3.95)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 14.555555555555555)","(2.5, 3.8, 3.22)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:23.015314,"(3.1, 4.7, 3.95)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 14.555555555555555)","(2.5, 3.7, 3.22)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:24.252332,"(3.1, 4.7, 3.95)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 14.555555555555555)","(2.5, 3.7, 3.22)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
