,Thrill,Lollipop Ed,Custodial,Zambora Blaster,Cantata,Handsome Harry,Nokosi,Whisky In Rio
0,"[datetime.datetime(2022, 11, 28, 19, 8, 36, 843165), 2.8, 3.7]","[datetime.datetime(2022, 11, 28, 19, 8, 36, 843165), 3.6, 5.2]","[datetime.datetime(2022, 11, 28, 19, 8, 36, 843165), 4.8, 12.0]","[datetime.datetime(2022, 11, 28, 19, 8, 36, 843165), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 19, 8, 36, 843165), 14.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 8, 36, 843165), 26.0, 230.0]","[datetime.datetime(2022, 11, 28, 19, 8, 36, 843165), 18.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 36, 843165), 3.8, 5.8]"
1,"[datetime.datetime(2022, 11, 28, 19, 8, 37, 995900), 2.8, 3.7]","[datetime.datetime(2022, 11, 28, 19, 8, 37, 995900), 3.6, 5.2]","[datetime.datetime(2022, 11, 28, 19, 8, 37, 995900), 4.8, 12.5]","[datetime.datetime(2022, 11, 28, 19, 8, 37, 995900), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 19, 8, 37, 995900), 14.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 8, 37, 995900), 26.0, 230.0]","[datetime.datetime(2022, 11, 28, 19, 8, 37, 995900), 18.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 37, 995900), 3.8, 5.8]"
2,"[datetime.datetime(2022, 11, 28, 19, 8, 39, 151385), 2.8, 3.7]","[datetime.datetime(2022, 11, 28, 19, 8, 39, 151385), 3.6, 5.2]","[datetime.datetime(2022, 11, 28, 19, 8, 39, 151385), 4.8, 12.5]","[datetime.datetime(2022, 11, 28, 19, 8, 39, 151385), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 19, 8, 39, 151385), 14.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 8, 39, 151385), 26.0, 230.0]","[datetime.datetime(2022, 11, 28, 19, 8, 39, 151385), 18.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 39, 151385), 3.8, 5.8]"
3,"[datetime.datetime(2022, 11, 28, 19, 8, 40, 295359), 2.8, 3.7]","[datetime.datetime(2022, 11, 28, 19, 8, 40, 295359), 3.6, 5.2]","[datetime.datetime(2022, 11, 28, 19, 8, 40, 295359), 4.8, 12.5]","[datetime.datetime(2022, 11, 28, 19, 8, 40, 295359), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 19, 8, 40, 295359), 14.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 8, 40, 295359), 26.0, 230.0]","[datetime.datetime(2022, 11, 28, 19, 8, 40, 295359), 18.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 40, 295359), 3.8, 5.8]"
4,"[datetime.datetime(2022, 11, 28, 19, 8, 41, 424296), 2.8, 3.7]","[datetime.datetime(2022, 11, 28, 19, 8, 41, 424296), 3.6, 5.2]","[datetime.datetime(2022, 11, 28, 19, 8, 41, 424296), 4.8, 12.5]","[datetime.datetime(2022, 11, 28, 19, 8, 41, 424296), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 19, 8, 41, 424296), 14.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 8, 41, 424296), 26.0, 230.0]","[datetime.datetime(2022, 11, 28, 19, 8, 41, 424296), 18.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 41, 424296), 3.8, 5.8]"
5,"[datetime.datetime(2022, 11, 28, 19, 8, 42, 569558), 2.8, 3.7]","[datetime.datetime(2022, 11, 28, 19, 8, 42, 569558), 3.6, 5.2]","[datetime.datetime(2022, 11, 28, 19, 8, 42, 569558), 4.8, 12.0]","[datetime.datetime(2022, 11, 28, 19, 8, 42, 569558), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 19, 8, 42, 569558), 14.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 8, 42, 569558), 26.0, 230.0]","[datetime.datetime(2022, 11, 28, 19, 8, 42, 569558), 18.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 42, 569558), 3.8, 5.8]"
6,"[datetime.datetime(2022, 11, 28, 19, 8, 43, 697163), 2.8, 3.7]","[datetime.datetime(2022, 11, 28, 19, 8, 43, 697163), 3.6, 5.2]","[datetime.datetime(2022, 11, 28, 19, 8, 43, 697163), 4.8, 12.0]","[datetime.datetime(2022, 11, 28, 19, 8, 43, 697163), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 19, 8, 43, 697163), 14.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 8, 43, 697163), 26.0, 230.0]","[datetime.datetime(2022, 11, 28, 19, 8, 43, 697163), 18.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 43, 697163), 3.8, 5.8]"
7,"[datetime.datetime(2022, 11, 28, 19, 8, 44, 832634), 2.8, 3.7]","[datetime.datetime(2022, 11, 28, 19, 8, 44, 832634), 3.6, 5.2]","[datetime.datetime(2022, 11, 28, 19, 8, 44, 832634), 4.8, 12.0]","[datetime.datetime(2022, 11, 28, 19, 8, 44, 832634), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 19, 8, 44, 832634), 14.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 8, 44, 832634), 26.0, 230.0]","[datetime.datetime(2022, 11, 28, 19, 8, 44, 832634), 18.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 44, 832634), 3.8, 5.8]"
8,"[datetime.datetime(2022, 11, 28, 19, 8, 45, 976577), 2.8, 3.7]","[datetime.datetime(2022, 11, 28, 19, 8, 45, 976577), 3.6, 5.2]","[datetime.datetime(2022, 11, 28, 19, 8, 45, 976577), 4.8, 12.0]","[datetime.datetime(2022, 11, 28, 19, 8, 45, 976577), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 19, 8, 45, 976577), 14.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 8, 45, 976577), 26.0, 230.0]","[datetime.datetime(2022, 11, 28, 19, 8, 45, 976577), 18.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 45, 976577), 3.8, 5.8]"
9,"[datetime.datetime(2022, 11, 28, 19, 8, 47, 111386), 2.8, 3.7]","[datetime.datetime(2022, 11, 28, 19, 8, 47, 111386), 3.6, 5.2]","[datetime.datetime(2022, 11, 28, 19, 8, 47, 111386), 4.8, 12.0]","[datetime.datetime(2022, 11, 28, 19, 8, 47, 111386), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 19, 8, 47, 111386), 14.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 8, 47, 111386), 26.0, 230.0]","[datetime.datetime(2022, 11, 28, 19, 8, 47, 111386), 18.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 47, 111386), 3.8, 5.8]"
