,Aston Charlie,Chilli On Ice,Fizzy Crest,Gable,Woodside Gracie,Stella Star
04-01-2023 10:08:57.355919,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.699999999999999)","(9.0, 19.5, 15.3375)"
04-01-2023 10:08:58.246282,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.699999999999999)","(9.0, 19.5, 15.3375)"
04-01-2023 10:08:59.211234,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.699999999999999)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:00.142816,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.699999999999999)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:01.044173,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.699999999999999)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:01.944581,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.699999999999999)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:02.864069,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.699999999999999)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:03.747475,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.699999999999999)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:04.612650,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.699999999999999)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:05.473787,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.699999999999999)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:06.335191,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.699999999999999)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:07.166113,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.25)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:08.017969,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:08.856465,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:09.677736,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:10.527744,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:11.439807,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:12.295631,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:13.202625,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:14.078782,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:15.045602,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:15.951886,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:16.803468,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:17.700712,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:18.539563,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:19.416934,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:20.279696,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:21.148472,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:21.999716,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:22.839749,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:23.665919,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:24.569099,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:25.433116,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:26.283584,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:27.168282,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:28.042989,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:28.964997,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:29.852421,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
