,Bello Beau,Russian Roni,Royal And Tough,Happy Clan,Sharmas Last,Cornelian Bay,Froland,Geegees Gemstone,Jaguar Stone
06-01-2023 16:04:10.445978,"(1.95, 2.08, 2.047816091954023)","(2.35, 2.94, 2.7933333333333334)","(10.0, 24.0, 18.25)","(91.0, 140.0, 122.85714285714286)","(20.0, 38.0, 31.0)","(91.0, 220.0, 193.0)","(101.0, 630.0, 463.3333333333333)","(101.0, 190.0, 171.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:11.776885,"(1.95, 2.08, 2.047816091954023)","(2.35, 2.94, 2.7933333333333334)","(10.0, 23.0, 18.25)","(91.0, 140.0, 122.85714285714286)","(20.0, 48.0, 31.0)","(91.0, 220.0, 193.0)","(101.0, 630.0, 463.3333333333333)","(101.0, 190.0, 171.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:13.065276,"(1.95, 2.08, 2.047816091954023)","(2.35, 2.94, 2.788421052631579)","(10.0, 23.0, 18.25)","(91.0, 140.0, 122.85714285714286)","(20.0, 48.0, 31.0)","(91.0, 220.0, 193.0)","(101.0, 630.0, 463.3333333333333)","(101.0, 190.0, 171.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:14.425726,"(1.95, 2.08, 2.047816091954023)","(2.35, 2.94, 2.7750000000000004)","(10.0, 23.0, 20.0)","(91.0, 140.0, 122.85714285714286)","(20.0, 48.0, 32.61904761904762)","(91.0, 220.0, 193.0)","(101.0, 630.0, 505.0)","(101.0, 190.0, 171.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:15.658468,"(1.95, 2.08, 2.0583783783783782)","(2.35, 2.94, 2.9122105263157896)","(10.0, 23.0, 20.0)","(91.0, 140.0, 122.85714285714286)","(20.0, 48.0, 32.61904761904762)","(91.0, 220.0, 193.0)","(101.0, 630.0, 505.0)","(101.0, 190.0, 171.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:17.003767,"(1.95, 2.08, 2.0583783783783782)","(2.35, 2.94, 2.9122105263157896)","(10.0, 24.0, 17.333333333333332)","(91.0, 140.0, 122.85714285714286)","(20.0, 48.0, 32.61904761904762)","(91.0, 220.0, 193.0)","(101.0, 630.0, 505.0)","(101.0, 190.0, 171.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:18.242056,"(1.95, 2.08, 2.0583783783783782)","(2.35, 2.94, 2.9122105263157896)","(10.0, 24.0, 17.333333333333332)","(91.0, 140.0, 122.85714285714286)","(20.0, 48.0, 32.61904761904762)","(91.0, 220.0, 193.0)","(101.0, 630.0, 505.0)","(101.0, 190.0, 171.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:19.561938,"(1.95, 2.08, 2.0583783783783782)","(2.35, 2.94, 2.9122105263157896)","(10.0, 24.0, 17.333333333333332)","(91.0, 140.0, 122.85714285714286)","(20.0, 48.0, 32.61904761904762)","(91.0, 220.0, 193.0)","(101.0, 630.0, 505.0)","(101.0, 190.0, 171.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:20.922156,"(1.95, 2.24, 2.1647058823529415)","(2.35, 2.94, 2.9122105263157896)","(10.0, 24.0, 17.333333333333332)","(91.0, 140.0, 122.85714285714286)","(20.0, 48.0, 32.61904761904762)","(91.0, 220.0, 193.0)","(101.0, 630.0, 505.0)","(101.0, 190.0, 171.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:22.346896,"(1.95, 2.22, 2.1500000000000004)","(2.35, 2.92, 2.910804597701149)","(10.0, 24.0, 17.333333333333332)","(91.0, 140.0, 122.85714285714286)","(20.0, 48.0, 32.61904761904762)","(91.0, 220.0, 193.0)","(101.0, 630.0, 505.0)","(101.0, 190.0, 171.0)","(11.0, 16.0, 15.0)"
