,Dr Kye,Midnight Breeze,Say You Will,Fuse To Burn,Enraged,Wagner Bale
12-01-2023 17:36:26.798257,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 43.9375)","(3.4, 5.5, 4.2926829268292686)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:27.765372,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 43.9375)","(3.4, 5.5, 4.2926829268292686)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:28.856374,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 43.9375)","(3.4, 5.5, 4.2926829268292686)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:29.912997,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 43.9375)","(3.4, 5.5, 4.2926829268292686)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:30.821544,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 43.9375)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:31.682631,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 43.9375)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:32.633379,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 43.9375)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:33.539155,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 43.9375)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:34.528399,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 43.9375)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:35.540822,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 43.9375)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:36.453096,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 43.9375)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:37.399530,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 43.9375)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:38.338223,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 40.0)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:39.291239,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 40.0)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:40.173075,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 40.0)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:41.095590,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 40.0)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:42.052624,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 40.0)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:42.977818,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 40.0)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:44.019298,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.0)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:44.963912,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.0)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:45.825592,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.0)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:46.766088,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.0)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:47.692364,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.0)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:48.656553,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.0)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:49.599491,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.0)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:50.454555,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.0)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:51.340183,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.0)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:52.331905,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.0)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:53.401187,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.0)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:54.401083,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.0)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:55.239531,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.0)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
