,Willy Can Do,Rose Danae,Why Not Jules,Still In Love,Why Not Lilah,Forever A Dream
10-01-2023 15:45:34.951256,"(2.05, 3.35, 2.1883333333333335)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:45:35.943440,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:45:36.949523,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:45:37.973063,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:45:38.949466,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:45:39.894374,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:45:40.858812,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:45:41.833928,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:45:42.867627,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:45:43.801918,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:45:44.721323,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:45:45.760848,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:45:46.779871,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:45:47.648791,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:45:48.665839,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
