,Frankntank,Yoursnmine,Mytime,Spring Delight,Hes A Modern Boy,Amphijet,Micton Mouse,Filcarlo
10-01-2023 17:38:30.261991,"(21.0, 40.0, 25.666666666666668)","(4.8, 7.8, 6.1)","(6.0, 9.4, 8.700000000000001)","(2.4, 3.5, 2.915)","(61.0, 180.0, 183.33333333333334)","(3.1, 4.7, 4.39)","(8.5, 15.0, 12.0)","(101.0, 190.0, 165.71428571428572)"
10-01-2023 17:38:31.528627,"(21.0, 46.0, 32.25)","(4.8, 7.6, 7.199999999999999)","(6.0, 9.8, 8.700000000000001)","(2.4, 3.45, 2.915)","(61.0, 210.0, 183.33333333333334)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 180.0, 165.71428571428572)"
10-01-2023 17:38:32.789905,"(21.0, 46.0, 32.25)","(4.8, 7.6, 7.199999999999999)","(6.0, 9.8, 8.700000000000001)","(2.4, 3.45, 2.915)","(61.0, 210.0, 183.33333333333334)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 180.0, 165.71428571428572)"
10-01-2023 17:38:34.001967,"(21.0, 46.0, 32.25)","(4.8, 7.6, 7.199999999999999)","(6.0, 9.8, 8.700000000000001)","(2.4, 3.45, 2.915)","(61.0, 210.0, 183.33333333333334)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 180.0, 165.71428571428572)"
10-01-2023 17:38:35.275565,"(21.0, 46.0, 32.25)","(4.8, 7.6, 7.199999999999999)","(6.0, 9.8, 8.700000000000001)","(2.4, 3.45, 2.915)","(61.0, 210.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 180.0, 165.71428571428572)"
10-01-2023 17:38:36.559516,"(21.0, 44.0, 27.0)","(4.8, 7.6, 7.199999999999999)","(6.0, 9.6, 7.92)","(2.4, 3.45, 2.915)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 180.0, 165.71428571428572)"
10-01-2023 17:38:37.837742,"(21.0, 44.0, 27.0)","(4.8, 7.6, 7.199999999999999)","(6.0, 9.6, 7.92)","(2.4, 3.45, 2.915)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 180.0, 165.71428571428572)"
10-01-2023 17:38:39.158531,"(21.0, 44.0, 27.0)","(4.8, 7.6, 7.199999999999999)","(6.0, 9.6, 7.92)","(2.4, 3.45, 2.915)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 180.0, 165.71428571428572)"
10-01-2023 17:38:40.413805,"(21.0, 44.0, 27.0)","(4.8, 7.6, 7.199999999999999)","(6.0, 9.6, 7.92)","(2.4, 3.45, 2.915)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 180.0, 165.71428571428572)"
10-01-2023 17:38:41.668773,"(21.0, 44.0, 27.0)","(4.8, 7.6, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.45, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 180.0, 147.5)"
