,Blue Vein,Belles Echo,Heidi Belle,Elcheikhali,Clickety Click,Tobias,Horlistic
12-01-2023 10:44:57.119982,"(4.0, 6.4, 5.376923076923077)","(3.6, 4.6, 3.909090909090909)","(4.2, 6.0, 5.35)","(4.4, 8.6, 6.8)","(11.0, 20.0, 12.714285714285714)","(21.0, 140.0, 127.0)","(6.5, 14.0, 12.92)"
12-01-2023 10:44:58.199319,"(4.0, 6.4, 5.376923076923077)","(3.6, 4.6, 3.909090909090909)","(4.2, 6.0, 5.35)","(4.4, 8.6, 6.8)","(11.0, 20.0, 12.714285714285714)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:44:59.290986,"(4.0, 6.4, 5.376923076923077)","(3.6, 4.6, 3.909090909090909)","(4.2, 6.0, 5.35)","(4.4, 8.6, 6.8)","(11.0, 20.0, 12.714285714285714)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:00.397774,"(4.0, 6.4, 5.376923076923077)","(3.6, 4.6, 3.909090909090909)","(4.2, 6.0, 5.35)","(4.4, 8.6, 6.8)","(11.0, 20.0, 12.714285714285714)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:01.570802,"(4.0, 6.4, 5.376923076923077)","(3.6, 4.6, 3.909090909090909)","(4.2, 6.0, 5.35)","(4.4, 8.6, 6.8)","(11.0, 20.0, 12.714285714285714)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:02.624097,"(4.0, 6.4, 5.376923076923077)","(3.6, 4.6, 3.909090909090909)","(4.2, 6.0, 5.35)","(4.4, 8.6, 6.8)","(11.0, 20.0, 12.714285714285714)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:03.692998,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 12.714285714285714)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:04.702110,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 12.714285714285714)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:05.761462,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 12.714285714285714)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:06.789857,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 12.714285714285714)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:07.817860,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 12.714285714285714)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:08.842237,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 12.714285714285714)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:10.018570,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 12.714285714285714)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:11.120299,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 12.714285714285714)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:12.144851,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 12.714285714285714)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:13.128291,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 15.363636363636363)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:14.149929,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.666666666666666)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:15.119542,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:16.141313,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:17.186937,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:18.216443,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.4, 3.8545454545454545)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:19.207378,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.4, 3.8545454545454545)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:20.231971,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.4, 3.8545454545454545)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:21.220398,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.4, 3.8545454545454545)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:22.542260,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.4, 3.8545454545454545)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:23.608044,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.4, 3.8545454545454545)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:24.584319,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.4, 3.8545454545454545)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:25.587154,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.4, 3.8545454545454545)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:26.728573,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:28.042161,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:29.160378,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:30.338588,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:31.410485,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:32.487157,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:33.506150,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:34.604276,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:35.643765,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:36.834879,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:37.949423,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:39.257687,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:40.437580,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:41.552663,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.5, 3.8461538461538463)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:42.690831,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.4, 3.8545454545454545)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:43.814336,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.4, 3.8545454545454545)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:44.793316,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.4, 3.8545454545454545)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:45.863887,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.4, 3.8545454545454545)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:46.964851,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.4, 3.8545454545454545)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:48.035999,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.4, 3.8545454545454545)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:49.136404,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.4, 3.8545454545454545)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:50.213649,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.7, 3.9363636363636365)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:51.293001,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.9)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:52.314411,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 15.363636363636363)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:53.347463,"(4.0, 6.2, 5.228571428571429)","(3.6, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.4, 8.6, 6.8)","(11.0, 20.0, 14.666666666666666)","(21.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
