,Graces Pace,Eura Northern Sky,Mo Silver,Fly Condor,Forever Lights,Gotothewindow,Indian Aces
16-12-2022 12:14:05.738617,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 6.4941176470588236)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.55)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:06.709864,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 6.4941176470588236)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.55)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:07.663273,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 6.4941176470588236)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.55)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:08.710671,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 6.4941176470588236)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.418235294117647)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:09.630815,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 6.276923076923077)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.418235294117647)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:10.680643,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.418235294117647)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:11.632914,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.418235294117647)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:12.606556,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.418235294117647)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:13.569795,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.315)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:14.560605,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.315)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:15.527383,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.315)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:16.459874,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.315)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:17.371727,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.315)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:18.300245,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.315)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:19.183932,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.315)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
