,Catch The King,Inga Izzy,Crooked Shadows,Inga Sid,Little Linton,Fletcher Flash,Chasing Barbie,Tamborine Girl
09-01-2023 14:17:12.415448,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:13.705021,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:15.165763,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:16.621027,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:17.820916,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:18.948005,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:20.083060,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:21.178538,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:22.519275,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:23.862347,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
