,Crimosa,Man In Motion,Eastern Breeze,Mr Brown Fox,Prophets Daughter,Nans Obsession,Bint Alqamar,Zoulon,Rich Velvet,Beejays Hero
10-01-2023 16:13:25.033367,"(3.5, 4.4, 4.271428571428571)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.2552631578947366)","(13.0, 18.5, 16.423076923076923)","(31.0, 65.0, 56.714285714285715)","(6.5, 8.4, 8.123076923076923)","(31.0, 48.0, 40.8)","(91.0, 220.0, 197.27272727272725)"
10-01-2023 16:13:26.565142,"(3.5, 4.4, 4.271428571428571)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.2552631578947366)","(13.0, 18.5, 16.423076923076923)","(31.0, 65.0, 56.714285714285715)","(6.5, 8.4, 8.123076923076923)","(31.0, 48.0, 40.8)","(91.0, 220.0, 197.27272727272725)"
10-01-2023 16:13:28.079973,"(3.5, 4.4, 4.271428571428571)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.2552631578947366)","(13.0, 18.5, 16.423076923076923)","(31.0, 65.0, 56.714285714285715)","(6.5, 8.4, 8.123076923076923)","(31.0, 48.0, 40.8)","(91.0, 220.0, 197.27272727272725)"
10-01-2023 16:13:29.676890,"(3.5, 4.4, 4.300000000000001)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.2552631578947366)","(13.0, 18.5, 16.423076923076923)","(31.0, 65.0, 56.714285714285715)","(6.5, 8.4, 8.16)","(31.0, 48.0, 40.8)","(91.0, 220.0, 197.27272727272725)"
10-01-2023 16:13:31.222080,"(3.5, 4.4, 4.300000000000001)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.2552631578947366)","(13.0, 18.5, 16.423076923076923)","(31.0, 65.0, 56.714285714285715)","(6.5, 8.4, 8.16)","(31.0, 48.0, 40.8)","(91.0, 220.0, 197.27272727272725)"
10-01-2023 16:13:32.879678,"(3.5, 4.4, 4.271428571428571)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.2552631578947366)","(13.0, 18.5, 16.423076923076923)","(31.0, 65.0, 56.714285714285715)","(6.5, 8.4, 8.16)","(31.0, 48.0, 40.8)","(91.0, 220.0, 197.27272727272725)"
10-01-2023 16:13:34.475182,"(3.5, 4.4, 4.271428571428571)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.2552631578947366)","(13.0, 18.5, 16.423076923076923)","(31.0, 65.0, 56.714285714285715)","(6.5, 8.4, 8.16)","(31.0, 48.0, 40.8)","(91.0, 220.0, 197.27272727272725)"
10-01-2023 16:13:36.066789,"(3.5, 4.4, 4.271428571428571)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.2552631578947366)","(13.0, 18.5, 16.423076923076923)","(31.0, 65.0, 56.714285714285715)","(6.5, 8.4, 8.16)","(31.0, 48.0, 40.8)","(91.0, 220.0, 197.27272727272725)"
10-01-2023 16:13:37.668225,"(3.5, 4.4, 4.271428571428571)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 16.833333333333332)","(31.0, 65.0, 56.714285714285715)","(6.5, 8.4, 8.16)","(31.0, 48.0, 42.31578947368421)","(91.0, 220.0, 197.27272727272725)"
10-01-2023 16:13:39.321990,"(3.5, 4.1, 3.957142857142857)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 16.833333333333332)","(31.0, 65.0, 56.714285714285715)","(6.5, 8.4, 8.16)","(31.0, 48.0, 42.31578947368421)","(91.0, 220.0, 197.27272727272725)"
10-01-2023 16:13:40.767386,"(3.5, 4.1, 3.94)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 16.833333333333332)","(31.0, 65.0, 56.714285714285715)","(6.5, 8.4, 8.16)","(31.0, 48.0, 42.31578947368421)","(91.0, 220.0, 197.27272727272725)"
10-01-2023 16:13:42.224996,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 16.833333333333332)","(31.0, 65.0, 56.714285714285715)","(6.5, 8.4, 8.16)","(31.0, 48.0, 42.31578947368421)","(91.0, 220.0, 197.27272727272725)"
10-01-2023 16:13:43.659505,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.5)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(91.0, 220.0, 160.0)"
10-01-2023 16:13:45.182630,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(91.0, 220.0, 160.0)"
10-01-2023 16:13:46.657693,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(91.0, 220.0, 160.0)"
10-01-2023 16:13:48.132773,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(91.0, 220.0, 160.0)"
10-01-2023 16:13:49.487194,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.941176470588236)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(91.0, 220.0, 160.0)"
10-01-2023 16:13:50.777250,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.941176470588236)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(91.0, 220.0, 160.0)"
10-01-2023 16:13:52.060837,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.941176470588236)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(91.0, 220.0, 160.0)"
10-01-2023 16:13:53.349842,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.941176470588236)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(91.0, 220.0, 160.0)"
10-01-2023 16:13:54.576592,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 23.15625)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(91.0, 220.0, 160.0)"
10-01-2023 16:13:55.837466,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.875)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(91.0, 220.0, 160.0)"
10-01-2023 16:13:57.079343,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.875)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(91.0, 220.0, 160.0)"
10-01-2023 16:13:58.317524,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.875)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(91.0, 220.0, 160.0)"
10-01-2023 16:13:59.586737,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.875)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(91.0, 220.0, 160.0)"
10-01-2023 16:14:00.841532,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.875)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(91.0, 220.0, 160.0)"
10-01-2023 16:14:02.111560,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.875)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(101.0, 220.0, 160.0)"
10-01-2023 16:14:03.360302,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.875)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(101.0, 220.0, 160.0)"
10-01-2023 16:14:04.615895,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.875)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(101.0, 220.0, 160.0)"
10-01-2023 16:14:06.045549,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.875)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(101.0, 220.0, 160.0)"
10-01-2023 16:14:07.354284,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.875)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(101.0, 220.0, 160.0)"
10-01-2023 16:14:08.675309,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.875)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(101.0, 220.0, 160.0)"
10-01-2023 16:14:10.020468,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.875)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(101.0, 220.0, 160.0)"
10-01-2023 16:14:11.398566,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.875)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(101.0, 220.0, 160.0)"
10-01-2023 16:14:12.798800,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.875)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(101.0, 220.0, 160.0)"
10-01-2023 16:14:14.175321,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.875)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(101.0, 220.0, 160.0)"
10-01-2023 16:14:15.569366,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.875)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.275)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.088888888888889)","(31.0, 48.0, 39.0)","(101.0, 220.0, 160.0)"
10-01-2023 16:14:17.003475,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.29)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.2, 8.16)","(31.0, 48.0, 39.0)","(101.0, 220.0, 160.0)"
10-01-2023 16:14:18.354244,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.29)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(101.0, 220.0, 160.0)"
10-01-2023 16:14:19.675435,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.29)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(101.0, 220.0, 160.0)"
10-01-2023 16:14:20.995105,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.29)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 39.0)","(101.0, 220.0, 160.0)"
10-01-2023 16:14:22.325989,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.29)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 41.57142857142857)","(101.0, 220.0, 160.0)"
10-01-2023 16:14:23.703221,"(3.5, 4.0, 3.9363636363636365)","(17.0, 24.0, 22.3125)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.29)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 41.57142857142857)","(101.0, 220.0, 160.0)"
10-01-2023 16:14:25.111305,"(3.5, 4.0, 3.9045454545454548)","(17.0, 24.0, 22.615384615384617)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.29)","(13.0, 18.5, 17.818181818181817)","(31.0, 65.0, 58.55555555555556)","(6.5, 8.4, 8.16)","(31.0, 48.0, 41.57142857142857)","(101.0, 220.0, 160.0)"
10-01-2023 16:14:26.380307,"(3.5, 4.0, 3.9045454545454548)","(17.0, 24.0, 22.615384615384617)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.29)","(13.0, 18.5, 16.18918918918919)","(31.0, 65.0, 57.285714285714285)","(6.5, 8.4, 8.16)","(31.0, 48.0, 42.705882352941174)","(101.0, 220.0, 160.0)"
10-01-2023 16:14:27.663549,"(3.5, 4.0, 3.9045454545454548)","(17.0, 24.0, 22.615384615384617)","(4.8, 7.8, 8.3)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.29)","(13.0, 17.0, 15.75)","(31.0, 65.0, 59.0)","(6.5, 8.4, 8.16)","(31.0, 48.0, 42.705882352941174)","(101.0, 220.0, 160.0)"
10-01-2023 16:14:28.969586,"(3.5, 4.0, 3.9125)","(17.0, 24.0, 22.615384615384617)","(4.8, 9.8, 8.933333333333334)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.29)","(13.0, 17.0, 15.75)","(31.0, 65.0, 59.0)","(6.5, 8.4, 8.16)","(31.0, 48.0, 42.705882352941174)","(101.0, 220.0, 160.0)"
10-01-2023 16:14:30.354074,"(3.5, 4.0, 3.9125)","(17.0, 24.0, 22.3125)","(4.8, 9.4, 8.56)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.2625)","(13.0, 17.0, 15.75)","(31.0, 65.0, 59.0)","(6.5, 8.4, 8.16)","(31.0, 48.0, 42.705882352941174)","(101.0, 220.0, 160.0)"
10-01-2023 16:14:31.658965,"(3.5, 4.0, 3.9125)","(17.0, 24.0, 22.3125)","(4.8, 9.4, 8.56)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.2625)","(13.0, 17.0, 15.75)","(31.0, 65.0, 59.0)","(6.5, 8.4, 8.16)","(31.0, 48.0, 41.45454545454545)","(101.0, 220.0, 160.0)"
