,Tick And Flick,Free From Desire,Tokin Beach,Cash Strap,Step Up,Burnt Me,Baby Thor,Shonas Fury
14-12-2022 19:16:57.563019,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:16:58.669240,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:16:59.778276,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:00.953158,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:02.092717,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:03.262922,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:04.406116,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:05.568204,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:06.666047,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:07.789827,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:08.873549,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:10.038257,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:11.225026,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:12.420066,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:13.674997,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:14.869876,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:16.004994,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:17.084984,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:18.155274,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:19.229253,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:20.371074,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:21.514357,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:22.640502,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:23.788350,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:24.885358,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:26.029350,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:27.097392,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:28.208330,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:29.351455,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:30.605125,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:31.770452,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:32.913548,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:34.023887,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:35.037195,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:36.118468,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 13.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:37.228731,"(5.0, 8.8, 7.5)","(31.0, 210.0, 93.64285714285714)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 33.81818181818181)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:38.396697,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:39.593235,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:40.822556,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:42.047370,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:43.235779,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:44.341361,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:45.341205,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:46.394704,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:47.587581,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:48.701182,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:49.851239,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:50.937725,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:52.050768,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:53.118901,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:54.213550,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
