,Asva,Okay Cupid,Preferral,Kaisa,Pioneer Lass,Gleefilly,Lutine Belle
07-01-2023 11:52:30.002746,"(1.55, 1.74, 1.704)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:31.019430,"(1.55, 1.74, 1.704)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:31.998063,"(1.55, 1.74, 1.704)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:32.923263,"(1.55, 1.74, 1.704)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:33.896092,"(1.55, 1.74, 1.704)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:34.995144,"(1.55, 1.74, 1.704)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:36.045119,"(1.55, 1.74, 1.704)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:37.141975,"(1.55, 1.74, 1.704)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:38.114758,"(1.55, 1.74, 1.704)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:39.151956,"(1.55, 1.74, 1.704)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:40.228335,"(1.55, 1.74, 1.704)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:41.237935,"(1.55, 1.74, 1.704)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:42.395934,"(1.55, 1.74, 1.704)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:43.373587,"(1.55, 1.74, 1.704)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:44.354908,"(1.55, 1.74, 1.704)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:45.351555,"(1.55, 1.74, 1.704)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:46.397011,"(1.55, 1.74, 1.704)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:47.436029,"(1.55, 1.74, 1.704)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:48.353297,"(1.55, 1.74, 1.704)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:49.393001,"(1.55, 1.74, 1.704)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:50.397329,"(1.55, 1.74, 1.704)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:51.552866,"(1.55, 1.74, 1.704)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:52.660683,"(1.55, 1.74, 1.704)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:53.670284,"(1.55, 1.74, 1.704)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:54.659856,"(1.55, 1.74, 1.704)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:55.619094,"(1.55, 1.74, 1.704)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:56.655332,"(1.55, 1.74, 1.7314960629921259)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:57.695388,"(1.55, 1.74, 1.731219512195122)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:58.656932,"(1.55, 1.74, 1.731219512195122)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:52:59.676756,"(1.55, 1.74, 1.731219512195122)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:00.683388,"(1.55, 1.74, 1.731219512195122)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:01.763071,"(1.55, 1.74, 1.731219512195122)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:02.822911,"(1.55, 1.74, 1.731219512195122)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:03.822054,"(1.55, 1.74, 1.731219512195122)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:04.811890,"(1.55, 1.74, 1.731219512195122)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:05.759223,"(1.55, 1.74, 1.731219512195122)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:06.753946,"(1.55, 1.74, 1.731219512195122)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:07.757492,"(1.55, 1.74, 1.731219512195122)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:08.708768,"(1.55, 1.74, 1.731219512195122)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
