,Bella Rouge,Coco Rox,Vaccine,Very Intoxicating,Amathuba,Carartie,Olentia,Hellavadancer,Xtra Gear,Parisian Lady,Latakia
07-01-2023 15:34:18.457826,"(3.9, 4.4, 4.343373493975903)","(13.0, 15.5, 15.277777777777779)","(21.0, 32.0, 30.253968253968253)","(26.0, 46.0, 43.0)","(12.0, 17.5, 17.017241379310345)","(61.0, 80.0, 76.66666666666667)","(2.0, 2.26, 2.248141592920354)","(21.0, 34.0, 33.083333333333336)","(51.0, 120.0, 109.47368421052632)","(101.0, 630.0, 550.0)","(9.0, 11.0, 10.681818181818182)"
07-01-2023 15:34:19.901809,"(3.9, 4.4, 4.343373493975903)","(13.0, 15.5, 15.277777777777779)","(21.0, 32.0, 30.28125)","(26.0, 46.0, 43.333333333333336)","(12.0, 17.5, 17.033333333333335)","(61.0, 80.0, 77.14285714285714)","(2.0, 2.26, 2.2496923076923077)","(21.0, 34.0, 33.12)","(51.0, 120.0, 109.47368421052632)","(101.0, 630.0, 550.0)","(9.0, 11.0, 10.539473684210526)"
07-01-2023 15:34:21.213826,"(3.9, 4.4, 4.348913043478261)","(13.0, 15.5, 15.30952380952381)","(21.0, 32.0, 30.28125)","(26.0, 46.0, 43.333333333333336)","(12.0, 17.5, 17.094202898550726)","(61.0, 80.0, 77.5)","(2.0, 2.26, 2.248141592920354)","(21.0, 34.0, 33.3125)","(51.0, 120.0, 110.0)","(101.0, 630.0, 550.0)","(9.0, 11.0, 10.65)"
07-01-2023 15:34:22.582476,"(3.9, 4.4, 4.330601092896175)","(13.0, 15.5, 15.333333333333334)","(21.0, 32.0, 30.450704225352112)","(26.0, 46.0, 43.6)","(12.0, 17.5, 17.094202898550726)","(61.0, 80.0, 77.5)","(2.0, 2.26, 2.248141592920354)","(21.0, 34.0, 33.3125)","(51.0, 120.0, 118.18181818181819)","(101.0, 630.0, 550.0)","(9.0, 11.0, 10.659574468085106)"
07-01-2023 15:34:23.963266,"(3.9, 4.4, 4.330601092896175)","(13.0, 15.5, 15.333333333333334)","(21.0, 32.0, 30.333333333333332)","(26.0, 46.0, 43.6)","(12.0, 17.5, 17.464285714285715)","(61.0, 80.0, 77.5)","(2.0, 2.26, 2.248141592920354)","(21.0, 34.0, 33.3125)","(51.0, 120.0, 118.18181818181819)","(101.0, 630.0, 550.0)","(9.0, 11.0, 10.744)"
07-01-2023 15:34:25.458306,"(3.9, 4.4, 4.3304347826086955)","(13.0, 15.5, 15.333333333333334)","(21.0, 32.0, 30.333333333333332)","(26.0, 46.0, 43.6)","(12.0, 17.5, 17.486486486486488)","(61.0, 80.0, 77.5)","(2.0, 2.26, 2.248141592920354)","(21.0, 34.0, 33.3125)","(51.0, 120.0, 118.18181818181819)","(101.0, 630.0, 550.0)","(9.0, 11.0, 10.664285714285715)"
07-01-2023 15:34:26.982866,"(3.9, 4.4, 4.327683615819209)","(13.0, 15.5, 15.23913043478261)","(21.0, 32.0, 30.333333333333332)","(26.0, 46.0, 43.6)","(12.0, 18.5, 18.2)","(61.0, 80.0, 77.5)","(2.0, 2.26, 2.248141592920354)","(21.0, 34.0, 33.3125)","(51.0, 120.0, 118.18181818181819)","(101.0, 630.0, 550.0)","(9.0, 11.0, 10.664285714285715)"
07-01-2023 15:34:28.524662,"(3.9, 4.4, 4.327683615819209)","(13.0, 15.5, 15.23913043478261)","(21.0, 32.0, 30.333333333333332)","(26.0, 46.0, 43.6)","(12.0, 18.5, 18.2)","(61.0, 80.0, 77.5)","(2.0, 2.26, 2.248141592920354)","(21.0, 34.0, 33.3125)","(51.0, 120.0, 118.18181818181819)","(101.0, 630.0, 550.0)","(9.0, 11.0, 10.664285714285715)"
07-01-2023 15:34:30.048327,"(3.9, 4.4, 4.327683615819209)","(13.0, 15.5, 15.23913043478261)","(21.0, 32.0, 30.333333333333332)","(26.0, 46.0, 43.6)","(12.0, 18.5, 18.2)","(61.0, 80.0, 77.5)","(2.0, 2.26, 2.2473584905660378)","(21.0, 34.0, 33.3125)","(51.0, 120.0, 118.18181818181819)","(101.0, 630.0, 550.0)","(9.0, 11.0, 10.664285714285715)"
07-01-2023 15:34:31.492550,"(3.9, 4.4, 4.327683615819209)","(13.0, 15.5, 15.23913043478261)","(21.0, 32.0, 30.333333333333332)","(26.0, 46.0, 43.6)","(12.0, 18.5, 18.2)","(61.0, 80.0, 77.5)","(2.0, 2.26, 2.2473584905660378)","(21.0, 34.0, 33.3125)","(51.0, 120.0, 118.18181818181819)","(101.0, 630.0, 550.0)","(9.0, 11.0, 10.664285714285715)"
07-01-2023 15:34:32.991188,"(3.9, 4.4, 4.327683615819209)","(13.0, 15.5, 15.23913043478261)","(21.0, 32.0, 30.333333333333332)","(26.0, 46.0, 43.6)","(12.0, 18.5, 18.2)","(61.0, 80.0, 77.5)","(2.0, 2.26, 2.2473584905660378)","(21.0, 34.0, 33.3125)","(51.0, 120.0, 118.18181818181819)","(101.0, 630.0, 550.0)","(9.0, 11.0, 10.664285714285715)"
07-01-2023 15:34:34.386022,"(3.9, 4.4, 4.327683615819209)","(13.0, 15.5, 15.23913043478261)","(21.0, 32.0, 30.333333333333332)","(26.0, 46.0, 45.5)","(12.0, 18.5, 18.2)","(61.0, 80.0, 79.16666666666667)","(2.0, 2.26, 2.2416810344827587)","(21.0, 34.0, 35.833333333333336)","(51.0, 120.0, 127.14285714285714)","(101.0, 630.0, 550.0)","(9.0, 11.0, 10.628378378378379)"
07-01-2023 15:34:35.832119,"(3.9, 4.5, 4.421224489795919)","(13.0, 16.0, 15.86111111111111)","(21.0, 32.0, 30.225806451612904)","(26.0, 46.0, 45.89473684210526)","(12.0, 18.5, 17.76923076923077)","(61.0, 80.0, 77.94117647058823)","(2.0, 2.26, 2.2248275862068967)","(21.0, 38.0, 36.0)","(51.0, 130.0, 135.71428571428572)","(101.0, 630.0, 430.0)","(9.0, 11.0, 10.457317073170731)"
07-01-2023 15:34:37.212021,"(3.9, 4.5, 4.392035398230089)","(13.0, 16.0, 15.976744186046512)","(21.0, 32.0, 30.225806451612904)","(26.0, 46.0, 45.89473684210526)","(12.0, 18.5, 17.76923076923077)","(61.0, 85.0, 78.2258064516129)","(2.0, 2.24, 2.2248275862068967)","(21.0, 38.0, 36.0)","(51.0, 140.0, 137.0)","(101.0, 630.0, 430.0)","(9.0, 10.5, 10.457317073170731)"
07-01-2023 15:34:38.518361,"(3.9, 4.5, 4.392035398230089)","(13.0, 16.0, 15.976744186046512)","(21.0, 32.0, 30.225806451612904)","(26.0, 46.0, 45.89473684210526)","(12.0, 18.5, 17.76923076923077)","(61.0, 85.0, 78.2258064516129)","(2.0, 2.24, 2.2248275862068967)","(21.0, 38.0, 36.0)","(51.0, 140.0, 137.0)","(101.0, 630.0, 544.0)","(9.0, 10.5, 10.457317073170731)"
07-01-2023 15:34:39.809802,"(3.9, 4.5, 4.392035398230089)","(13.0, 16.0, 15.976744186046512)","(21.0, 32.0, 30.06896551724138)","(26.0, 46.0, 45.89473684210526)","(12.0, 18.5, 17.76923076923077)","(61.0, 85.0, 78.2258064516129)","(2.0, 2.24, 2.2248275862068967)","(21.0, 38.0, 36.0)","(51.0, 140.0, 137.0)","(101.0, 630.0, 420.0)","(9.0, 10.5, 10.462962962962964)"
07-01-2023 15:34:41.185435,"(3.9, 4.5, 4.392035398230089)","(13.0, 16.0, 15.976744186046512)","(21.0, 32.0, 30.06896551724138)","(26.0, 46.0, 45.89473684210526)","(12.0, 18.5, 17.76923076923077)","(61.0, 85.0, 78.2258064516129)","(2.0, 2.24, 2.2248275862068967)","(21.0, 38.0, 36.0)","(51.0, 140.0, 137.0)","(101.0, 630.0, 420.0)","(9.0, 10.5, 10.462962962962964)"
07-01-2023 15:34:42.515818,"(3.9, 4.5, 4.392035398230089)","(13.0, 16.0, 15.976744186046512)","(21.0, 32.0, 30.06896551724138)","(26.0, 46.0, 45.89473684210526)","(12.0, 18.5, 17.76923076923077)","(61.0, 85.0, 78.2258064516129)","(2.0, 2.24, 2.2248275862068967)","(21.0, 38.0, 36.0)","(51.0, 140.0, 137.0)","(101.0, 630.0, 420.0)","(9.0, 10.5, 10.462962962962964)"
07-01-2023 15:34:43.845352,"(3.9, 4.5, 4.392035398230089)","(13.0, 16.0, 15.976744186046512)","(21.0, 32.0, 30.06896551724138)","(26.0, 46.0, 45.89473684210526)","(12.0, 18.5, 17.9375)","(61.0, 85.0, 78.2258064516129)","(2.0, 2.24, 2.2248275862068967)","(21.0, 38.0, 36.0)","(51.0, 140.0, 137.0)","(101.0, 630.0, 420.0)","(9.0, 10.5, 10.462962962962964)"
07-01-2023 15:34:45.236382,"(3.9, 4.5, 4.392035398230089)","(13.0, 16.0, 15.976744186046512)","(21.0, 32.0, 30.06896551724138)","(26.0, 46.0, 45.63636363636363)","(12.0, 18.0, 17.833333333333332)","(61.0, 85.0, 79.16666666666667)","(2.0, 2.24, 2.2248275862068967)","(21.0, 38.0, 36.0)","(51.0, 140.0, 128.0)","(101.0, 630.0, 420.0)","(9.0, 10.5, 10.422535211267606)"
07-01-2023 15:34:46.568040,"(3.9, 4.5, 4.392035398230089)","(13.0, 16.0, 15.976744186046512)","(21.0, 32.0, 30.06896551724138)","(26.0, 46.0, 45.63636363636363)","(12.0, 18.0, 17.833333333333332)","(61.0, 80.0, 79.16666666666667)","(2.0, 2.24, 2.2265502183406114)","(21.0, 38.0, 36.3448275862069)","(51.0, 130.0, 128.0)","(101.0, 630.0, 420.0)","(9.0, 10.5, 10.422535211267606)"
07-01-2023 15:34:47.946979,"(3.9, 4.5, 4.392035398230089)","(13.0, 16.0, 15.976744186046512)","(21.0, 32.0, 30.06896551724138)","(26.0, 46.0, 45.63636363636363)","(12.0, 18.0, 17.833333333333332)","(61.0, 80.0, 79.16666666666667)","(2.0, 2.24, 2.208519855595668)","(21.0, 38.0, 36.3448275862069)","(51.0, 130.0, 137.0)","(101.0, 630.0, 420.0)","(9.0, 10.5, 10.422535211267606)"
07-01-2023 15:34:49.331633,"(3.9, 4.5, 4.392035398230089)","(13.0, 16.0, 15.976744186046512)","(21.0, 32.0, 30.28125)","(26.0, 46.0, 45.63636363636363)","(12.0, 18.0, 17.833333333333332)","(61.0, 80.0, 79.16666666666667)","(2.0, 2.24, 2.215526315789474)","(21.0, 38.0, 36.3448275862069)","(51.0, 140.0, 137.0)","(101.0, 630.0, 420.0)","(9.0, 10.5, 10.422535211267606)"
07-01-2023 15:34:50.712563,"(3.9, 4.5, 4.392035398230089)","(13.0, 16.0, 15.976744186046512)","(21.0, 32.0, 30.28125)","(26.0, 46.0, 45.63636363636363)","(12.0, 18.0, 17.833333333333332)","(61.0, 80.0, 79.16666666666667)","(2.0, 2.22, 2.215526315789474)","(21.0, 38.0, 36.3448275862069)","(51.0, 140.0, 137.0)","(101.0, 630.0, 420.0)","(9.0, 10.5, 10.422535211267606)"
07-01-2023 15:34:52.100357,"(3.9, 4.5, 4.392035398230089)","(13.0, 16.0, 15.976744186046512)","(21.0, 32.0, 30.28125)","(26.0, 46.0, 45.63636363636363)","(12.0, 18.0, 17.833333333333332)","(61.0, 80.0, 79.16666666666667)","(2.0, 2.22, 2.215526315789474)","(21.0, 38.0, 36.3448275862069)","(51.0, 140.0, 137.0)","(101.0, 630.0, 420.0)","(9.0, 10.5, 10.422535211267606)"
07-01-2023 15:34:53.654203,"(3.8, 4.5, 4.392035398230089)","(13.0, 16.0, 15.976744186046512)","(21.0, 32.0, 30.28125)","(26.0, 46.0, 45.63636363636363)","(12.0, 18.0, 17.833333333333332)","(51.0, 80.0, 79.16666666666667)","(2.05, 2.22, 2.208519855595668)","(21.0, 38.0, 36.3448275862069)","(51.0, 140.0, 137.0)","(101.0, 630.0, 420.0)","(8.5, 10.5, 10.422535211267606)"
