,Eagles Forever,Getouttheway,Max Fire,Im Kenny,Diamonds Are,Festival Of Light,Bunjil,Shema,Spy Colonel
07-01-2023 13:58:48.599481,"(7.0, 9.2, 9.066666666666666)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.6, 3.6043478260869564)","(20.0, 30.0, 28.833333333333332)","(11.0, 15.0, 14.277777777777779)","(31.0, 60.0, 52.5)","(3.5, 5.0, 4.85)","(26.0, 42.0, 38.75)","(10.0, 13.0, 12.523809523809524)"
07-01-2023 13:58:49.954501,"(7.0, 9.2, 9.066666666666666)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.65, 3.6043478260869564)","(20.0, 30.0, 28.833333333333332)","(11.0, 14.5, 14.277777777777779)","(31.0, 60.0, 52.5)","(3.5, 5.0, 4.85)","(26.0, 42.0, 38.75)","(10.0, 13.0, 12.411764705882353)"
07-01-2023 13:58:51.574075,"(7.0, 9.2, 9.066666666666666)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.65, 3.6043478260869564)","(20.0, 30.0, 28.833333333333332)","(11.0, 14.5, 14.277777777777779)","(31.0, 60.0, 52.5)","(3.5, 5.0, 4.85)","(26.0, 42.0, 38.75)","(10.0, 13.0, 12.411764705882353)"
07-01-2023 13:58:53.119313,"(7.0, 9.2, 9.066666666666666)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.65, 3.6043478260869564)","(20.0, 30.0, 28.833333333333332)","(11.0, 14.5, 14.277777777777779)","(31.0, 60.0, 50.18181818181818)","(3.5, 5.0, 4.85)","(26.0, 42.0, 38.75)","(10.0, 13.0, 12.411764705882353)"
07-01-2023 13:58:54.521438,"(7.0, 9.2, 9.066666666666666)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.65, 3.6043478260869564)","(20.0, 30.0, 28.833333333333332)","(11.0, 14.5, 14.277777777777779)","(31.0, 60.0, 50.18181818181818)","(3.5, 5.0, 4.85)","(26.0, 42.0, 38.75)","(10.0, 13.0, 12.411764705882353)"
07-01-2023 13:58:55.813360,"(7.0, 9.2, 9.133333333333333)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.65, 3.6043478260869564)","(20.0, 30.0, 28.833333333333332)","(11.0, 14.5, 14.277777777777779)","(31.0, 60.0, 52.285714285714285)","(3.5, 5.0, 4.85)","(26.0, 42.0, 38.75)","(10.0, 13.0, 12.411764705882353)"
07-01-2023 13:58:57.181547,"(7.0, 9.2, 9.133333333333333)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.65, 3.6043478260869564)","(20.0, 30.0, 27.75)","(11.0, 14.5, 14.277777777777779)","(31.0, 60.0, 52.285714285714285)","(3.5, 5.0, 4.85)","(26.0, 42.0, 38.75)","(10.0, 13.0, 12.411764705882353)"
07-01-2023 13:58:58.605853,"(7.0, 9.2, 9.133333333333333)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.65, 3.6043478260869564)","(20.0, 30.0, 27.75)","(11.0, 14.5, 14.277777777777779)","(31.0, 60.0, 51.0)","(3.5, 5.0, 4.976923076923077)","(26.0, 42.0, 38.75)","(10.0, 13.0, 12.411764705882353)"
07-01-2023 13:59:00.199212,"(7.0, 9.2, 9.133333333333333)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.65, 3.6096153846153847)","(20.0, 30.0, 27.75)","(11.0, 14.5, 14.277777777777779)","(31.0, 60.0, 51.0)","(3.5, 5.0, 4.976923076923077)","(26.0, 42.0, 38.75)","(10.0, 13.0, 12.411764705882353)"
07-01-2023 13:59:01.755450,"(7.0, 9.2, 9.133333333333333)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.65, 3.6149999999999998)","(20.0, 30.0, 27.0)","(11.0, 14.5, 14.34)","(31.0, 60.0, 51.0)","(3.5, 5.0, 4.976923076923077)","(26.0, 42.0, 38.75)","(10.0, 13.0, 11.75)"
