,Magic Avenue,Toofan Raja,Zipping Wesley,Go Forward Herby,Tricky Avenue,Pinned
04-01-2023 14:18:01.599841,"(5.5, 12.5, 10.86190476190476)","(2.5, 3.8, 3.5028571428571427)","(2.35, 2.66, 2.436)","(19.0, 55.0, 32.8125)","(101.0, 650.0, 372.5)","(4.8, 6.2, 5.366666666666667)"
04-01-2023 14:18:02.498995,"(5.5, 12.5, 10.86190476190476)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 55.0, 29.18181818181818)","(101.0, 650.0, 372.5)","(4.8, 7.8, 7.025)"
04-01-2023 14:18:03.459334,"(5.5, 12.5, 10.313333333333333)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 55.0, 29.18181818181818)","(101.0, 650.0, 372.5)","(4.8, 7.8, 7.025)"
04-01-2023 14:18:04.449075,"(5.5, 12.5, 10.313333333333333)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 55.0, 29.18181818181818)","(101.0, 650.0, 372.5)","(4.8, 7.8, 7.025)"
04-01-2023 14:18:05.576698,"(5.5, 12.5, 10.206666666666667)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 55.0, 29.18181818181818)","(101.0, 650.0, 372.5)","(4.8, 7.8, 7.025)"
04-01-2023 14:18:06.663358,"(5.5, 12.5, 9.976923076923077)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 55.0, 29.18181818181818)","(101.0, 650.0, 372.5)","(4.8, 7.8, 7.025)"
04-01-2023 14:18:07.654614,"(5.5, 12.5, 9.976923076923077)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 55.0, 29.18181818181818)","(101.0, 650.0, 372.5)","(4.8, 7.8, 7.025)"
04-01-2023 14:18:08.527134,"(5.5, 12.5, 9.976923076923077)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 55.0, 29.18181818181818)","(101.0, 650.0, 372.5)","(4.8, 7.8, 7.025)"
04-01-2023 14:18:09.505170,"(5.5, 12.5, 9.976923076923077)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 55.0, 29.18181818181818)","(101.0, 650.0, 372.5)","(4.8, 7.8, 7.025)"
04-01-2023 14:18:10.615459,"(5.5, 12.5, 9.976923076923077)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 55.0, 29.18181818181818)","(101.0, 650.0, 372.5)","(4.8, 7.8, 7.025)"
