,Hillbilly Pickin,Interventionist,Lonely Rock,Rapid Impact,Sir Smitty,Spitfire,Tekapo,Jamrock,Apache Jewel,Kaisa,Lady Goodfellow,Among Us
08-12-2022 13:59:47.412877,"(18.0, 40.0, 39.172413793103445)","(51.0, 150.0, 139.0)","(91.0, 190.0, 164.0)","(31.0, 34.0, 33.42857142857143)","(6.0, 6.4, 6.203333333333333)","(2.1, 2.46, 2.4513513513513514)","(31.0, 42.0, 41.27272727272727)","(6.5, 8.4, 8.24)","(31.0, 55.0, 50.625)","(17.0, 23.0, 22.914285714285715)","(20.0, 29.0, 28.5)","(7.0, 11.0, 10.715686274509803)"
08-12-2022 13:59:49.152871,"(18.0, 40.0, 39.172413793103445)","(51.0, 150.0, 139.0)","(91.0, 180.0, 164.0)","(31.0, 34.0, 33.42857142857143)","(6.0, 6.4, 5.731147540983606)","(2.1, 2.46, 2.443076923076923)","(31.0, 42.0, 42.76470588235294)","(6.5, 8.4, 8.24)","(31.0, 55.0, 57.0)","(17.0, 23.0, 22.914285714285715)","(20.0, 29.0, 28.5)","(7.0, 11.0, 10.781818181818181)"
08-12-2022 13:59:50.874338,"(18.0, 40.0, 39.172413793103445)","(51.0, 150.0, 139.0)","(91.0, 180.0, 164.0)","(31.0, 34.0, 33.42857142857143)","(6.0, 5.9, 5.665909090909091)","(2.1, 2.48, 2.446608695652174)","(31.0, 44.0, 42.76470588235294)","(6.5, 8.4, 8.24)","(31.0, 60.0, 57.0)","(17.0, 23.0, 22.928571428571427)","(20.0, 29.0, 28.5)","(7.0, 11.0, 10.767857142857142)"
08-12-2022 13:59:52.627529,"(18.0, 40.0, 39.172413793103445)","(51.0, 150.0, 131.66666666666666)","(91.0, 180.0, 158.0)","(31.0, 34.0, 33.42857142857143)","(6.0, 5.9, 5.662307692307692)","(2.1, 2.48, 2.391326164874552)","(31.0, 44.0, 42.76470588235294)","(6.5, 8.4, 8.333333333333334)","(31.0, 60.0, 57.0)","(17.0, 23.0, 24.5)","(20.0, 29.0, 28.5)","(7.0, 11.0, 10.767857142857142)"
08-12-2022 13:59:54.325880,"(18.0, 40.0, 39.172413793103445)","(51.0, 150.0, 139.0)","(91.0, 170.0, 158.0)","(31.0, 34.0, 33.42857142857143)","(6.0, 5.9, 5.7153846153846155)","(2.1, 2.42, 2.390802919708029)","(31.0, 44.0, 42.76470588235294)","(6.5, 8.4, 8.333333333333334)","(31.0, 60.0, 57.0)","(17.0, 25.0, 24.5)","(20.0, 29.0, 28.5)","(7.0, 11.0, 10.895833333333334)"
08-12-2022 13:59:55.885490,"(18.0, 40.0, 39.172413793103445)","(51.0, 150.0, 139.0)","(91.0, 170.0, 158.0)","(31.0, 34.0, 33.42857142857143)","(6.0, 5.9, 5.7153846153846155)","(2.1, 2.42, 2.390802919708029)","(31.0, 44.0, 42.76470588235294)","(6.5, 8.4, 8.333333333333334)","(31.0, 60.0, 58.666666666666664)","(17.0, 25.0, 24.5)","(20.0, 29.0, 28.5)","(7.0, 11.0, 10.895833333333334)"
08-12-2022 13:59:57.517724,"(18.0, 40.0, 39.172413793103445)","(51.0, 150.0, 139.0)","(91.0, 170.0, 158.0)","(31.0, 34.0, 33.42857142857143)","(6.0, 5.9, 5.7153846153846155)","(2.1, 2.42, 2.390802919708029)","(31.0, 44.0, 42.76470588235294)","(6.5, 8.4, 8.333333333333334)","(31.0, 60.0, 58.666666666666664)","(17.0, 25.0, 24.5)","(20.0, 29.0, 28.5)","(7.0, 11.0, 10.895833333333334)"
08-12-2022 13:59:59.252467,"(18.0, 40.0, 39.172413793103445)","(51.0, 150.0, 139.0)","(91.0, 170.0, 158.0)","(31.0, 34.0, 33.42857142857143)","(6.0, 5.9, 5.7153846153846155)","(2.1, 2.42, 2.390802919708029)","(31.0, 44.0, 42.76470588235294)","(6.5, 8.4, 8.333333333333334)","(31.0, 60.0, 58.666666666666664)","(17.0, 25.0, 24.5)","(20.0, 29.0, 28.5)","(7.0, 11.0, 10.895833333333334)"
08-12-2022 14:00:00.933756,"(18.0, 40.0, 39.172413793103445)","(51.0, 130.0, 118.33333333333333)","(91.0, 170.0, 152.0)","(31.0, 34.0, 33.42857142857143)","(6.0, 5.9, 5.7153846153846155)","(2.1, 2.42, 2.390802919708029)","(31.0, 44.0, 42.76470588235294)","(6.5, 8.4, 8.333333333333334)","(31.0, 60.0, 58.666666666666664)","(17.0, 25.0, 24.65909090909091)","(20.0, 29.0, 28.5)","(7.0, 11.0, 10.895833333333334)"
08-12-2022 14:00:02.457638,"(18.0, 40.0, 39.172413793103445)","(51.0, 130.0, 118.33333333333333)","(91.0, 160.0, 152.0)","(31.0, 34.0, 33.42857142857143)","(6.0, 5.9, 5.7153846153846155)","(2.1, 2.42, 2.391044776119403)","(31.0, 44.0, 42.76470588235294)","(6.5, 8.4, 8.333333333333334)","(31.0, 60.0, 58.666666666666664)","(17.0, 25.0, 24.65909090909091)","(20.0, 29.0, 28.5)","(7.0, 11.0, 10.895833333333334)"
