,Shanias Dream,Stylish Ken,Vortex,Irongate,Holiday In Paris,Hazelnut,Stings To Burn,Jonas
15-12-2022 13:32:03.058084,"(3.0, 5.5, 3.9246153846153846)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 91.23076923076923)","(18.0, 60.0, 38.75)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.315789473684211)"
15-12-2022 13:32:04.524512,"(3.0, 5.5, 3.9246153846153846)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 91.23076923076923)","(18.0, 60.0, 38.75)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 9.015)"
15-12-2022 13:32:05.619052,"(3.0, 5.5, 3.9246153846153846)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 91.23076923076923)","(18.0, 60.0, 38.75)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 9.015)"
15-12-2022 13:32:06.698909,"(3.0, 5.5, 3.9246153846153846)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 91.23076923076923)","(18.0, 60.0, 38.75)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 9.419298245614035)"
15-12-2022 13:32:07.836967,"(3.0, 5.5, 3.9246153846153846)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 91.23076923076923)","(18.0, 60.0, 38.75)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 9.419298245614035)"
15-12-2022 13:32:09.065969,"(3.0, 5.5, 3.9246153846153846)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 91.23076923076923)","(18.0, 60.0, 38.75)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 9.419298245614035)"
15-12-2022 13:32:10.299036,"(3.0, 5.5, 3.9246153846153846)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 91.23076923076923)","(18.0, 60.0, 38.75)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.138888888888889)"
15-12-2022 13:32:11.593554,"(3.0, 5.5, 3.9246153846153846)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 91.23076923076923)","(18.0, 60.0, 38.75)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.138888888888889)"
15-12-2022 13:32:12.848234,"(3.0, 5.5, 3.9246153846153846)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 91.23076923076923)","(18.0, 60.0, 38.75)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.138888888888889)"
15-12-2022 13:32:14.182641,"(3.0, 5.5, 3.9246153846153846)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 91.23076923076923)","(18.0, 60.0, 38.75)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.138888888888889)"
