,One More Jack,Bold Star,Extra Time,Terbium,Dexter You Devil,Deep Speed,Picargo
07-01-2023 12:40:12.816613,"(6.0, 10.0, 9.533333333333333)","(20.0, 24.0, 22.76923076923077)","(6.0, 9.8, 9.620000000000001)","(8.0, 10.0, 9.814814814814815)","(101.0, 170.0, 146.0)","(7.5, 11.5, 11.0)","(1.8, 1.85, 1.84640625)"
07-01-2023 12:40:13.868715,"(6.0, 10.0, 9.569230769230769)","(20.0, 24.0, 22.76923076923077)","(6.0, 9.8, 9.620000000000001)","(8.0, 10.0, 9.814814814814815)","(101.0, 170.0, 146.0)","(7.5, 11.5, 11.0)","(1.8, 1.86, 1.84640625)"
07-01-2023 12:40:14.935730,"(6.0, 10.0, 9.569230769230769)","(20.0, 24.0, 22.76923076923077)","(6.0, 9.8, 9.620000000000001)","(8.0, 10.0, 9.814814814814815)","(101.0, 170.0, 146.0)","(7.5, 11.5, 11.0)","(1.8, 1.86, 1.84640625)"
07-01-2023 12:40:15.891895,"(6.0, 10.0, 9.569230769230769)","(20.0, 24.0, 22.76923076923077)","(6.0, 9.8, 9.620000000000001)","(8.0, 10.0, 9.814814814814815)","(101.0, 170.0, 146.0)","(7.5, 11.5, 11.0)","(1.8, 1.86, 1.84640625)"
07-01-2023 12:40:16.961464,"(6.0, 10.0, 9.569230769230769)","(20.0, 24.0, 22.76923076923077)","(6.0, 9.8, 9.620000000000001)","(8.0, 10.0, 9.814814814814815)","(101.0, 170.0, 146.0)","(7.5, 11.5, 11.0)","(1.75, 1.86, 1.84640625)"
07-01-2023 12:40:18.009821,"(6.0, 10.0, 9.569230769230769)","(20.0, 24.0, 22.76923076923077)","(6.0, 9.8, 9.620000000000001)","(8.0, 10.0, 9.814814814814815)","(101.0, 170.0, 146.0)","(7.5, 11.5, 11.0)","(1.75, 1.86, 1.84640625)"
07-01-2023 12:40:19.126550,"(6.0, 10.0, 9.569230769230769)","(20.0, 24.0, 22.76923076923077)","(6.0, 9.8, 9.620000000000001)","(8.0, 9.8, 9.55)","(101.0, 170.0, 146.0)","(7.5, 11.5, 11.0)","(1.75, 1.86, 1.84640625)"
07-01-2023 12:40:20.194960,"(6.0, 10.0, 9.569230769230769)","(20.0, 24.0, 22.76923076923077)","(6.0, 9.8, 9.620000000000001)","(8.0, 9.8, 9.55)","(101.0, 170.0, 146.0)","(7.5, 11.5, 11.0)","(1.75, 1.86, 1.84640625)"
07-01-2023 12:40:21.237723,"(6.0, 10.0, 9.569230769230769)","(20.0, 24.0, 22.76923076923077)","(6.0, 9.8, 9.620000000000001)","(8.0, 9.8, 9.55)","(101.0, 170.0, 146.0)","(7.5, 11.5, 11.0)","(1.75, 1.86, 1.84640625)"
07-01-2023 12:40:22.181468,"(6.0, 10.0, 9.569230769230769)","(20.0, 24.0, 23.11111111111111)","(6.0, 9.8, 9.620000000000001)","(8.0, 9.8, 9.55)","(101.0, 170.0, 146.0)","(7.5, 11.5, 11.0)","(1.75, 1.86, 1.84640625)"
07-01-2023 12:40:23.198968,"(6.0, 10.0, 9.569230769230769)","(20.0, 24.0, 23.11111111111111)","(6.0, 9.8, 9.620000000000001)","(8.0, 9.8, 9.55)","(101.0, 170.0, 146.0)","(7.5, 11.5, 11.0)","(1.75, 1.86, 1.84640625)"
07-01-2023 12:40:24.253823,"(6.0, 10.0, 9.569230769230769)","(20.0, 24.0, 23.0)","(6.0, 9.8, 9.620000000000001)","(8.0, 9.8, 9.55)","(101.0, 170.0, 146.0)","(7.5, 11.5, 11.166666666666666)","(1.75, 1.86, 1.84640625)"
07-01-2023 12:40:25.284289,"(6.0, 10.0, 9.569230769230769)","(20.0, 24.0, 23.0)","(6.0, 9.8, 9.620000000000001)","(8.0, 9.8, 9.704)","(101.0, 170.0, 146.0)","(7.5, 11.5, 11.147058823529411)","(1.75, 1.86, 1.84640625)"
07-01-2023 12:40:26.287759,"(6.0, 10.0, 9.569230769230769)","(20.0, 24.0, 23.0)","(6.0, 9.8, 9.620000000000001)","(8.0, 9.8, 9.704)","(101.0, 170.0, 147.14285714285714)","(7.5, 11.5, 11.147058823529411)","(1.75, 1.86, 1.84640625)"
07-01-2023 12:40:27.222350,"(6.0, 10.0, 9.58)","(20.0, 24.0, 23.0)","(6.0, 9.8, 9.620000000000001)","(8.0, 9.8, 9.704)","(101.0, 170.0, 147.14285714285714)","(7.5, 11.5, 11.147058823529411)","(1.75, 1.86, 1.84640625)"
07-01-2023 12:40:28.246723,"(6.0, 10.0, 9.58)","(20.0, 24.0, 23.0)","(6.0, 9.8, 9.620000000000001)","(8.0, 9.8, 9.704)","(101.0, 170.0, 147.14285714285714)","(7.5, 11.5, 11.147058823529411)","(1.75, 1.86, 1.84640625)"
07-01-2023 12:40:29.335731,"(6.0, 10.0, 9.58)","(20.0, 24.0, 23.0)","(6.0, 9.8, 9.620000000000001)","(8.0, 9.8, 9.704)","(101.0, 170.0, 147.14285714285714)","(7.5, 11.5, 11.147058823529411)","(1.75, 1.86, 1.84640625)"
07-01-2023 12:40:30.398742,"(6.0, 10.0, 9.58)","(20.0, 24.0, 23.0)","(6.0, 9.8, 9.620000000000001)","(8.0, 9.8, 9.704)","(101.0, 170.0, 147.14285714285714)","(7.5, 11.5, 11.147058823529411)","(1.75, 1.86, 1.84640625)"
07-01-2023 12:40:31.382972,"(6.0, 10.0, 9.58)","(20.0, 24.0, 23.0)","(6.0, 9.8, 9.620000000000001)","(8.0, 9.8, 9.704)","(101.0, 170.0, 147.14285714285714)","(7.5, 11.5, 11.147058823529411)","(1.75, 1.86, 1.84640625)"
07-01-2023 12:40:32.374874,"(6.0, 10.0, 9.58)","(20.0, 24.0, 23.0)","(6.0, 9.8, 9.620000000000001)","(8.0, 9.8, 9.704)","(101.0, 170.0, 107.77777777777777)","(7.5, 11.5, 11.147058823529411)","(1.75, 1.86, 1.84640625)"
07-01-2023 12:40:33.346775,"(6.0, 10.0, 9.533333333333333)","(20.0, 24.0, 23.0)","(6.0, 9.8, 9.620000000000001)","(8.0, 9.8, 9.704)","(101.0, 170.0, 116.66666666666667)","(7.5, 11.5, 11.147058823529411)","(1.75, 1.86, 1.84640625)"
07-01-2023 12:40:34.349802,"(6.0, 10.0, 9.533333333333333)","(20.0, 24.0, 23.0)","(6.0, 9.8, 9.620000000000001)","(8.0, 9.8, 9.704)","(101.0, 170.0, 116.66666666666667)","(7.5, 11.5, 11.147058823529411)","(1.75, 1.86, 1.84640625)"
07-01-2023 12:40:35.446746,"(6.0, 10.0, 9.533333333333333)","(20.0, 24.0, 23.0)","(6.0, 9.8, 9.5)","(8.0, 9.8, 9.704)","(101.0, 170.0, 116.66666666666667)","(7.5, 11.5, 11.147058823529411)","(1.75, 1.86, 1.84640625)"
07-01-2023 12:40:36.569984,"(6.0, 10.0, 9.533333333333333)","(20.0, 24.0, 23.0)","(6.0, 9.8, 9.5)","(8.0, 9.8, 9.704)","(101.0, 170.0, 116.66666666666667)","(7.5, 11.5, 11.147058823529411)","(1.75, 1.86, 1.84640625)"
07-01-2023 12:40:37.657222,"(6.0, 10.0, 9.533333333333333)","(20.0, 24.0, 23.18181818181818)","(6.0, 9.8, 9.5)","(8.0, 9.8, 9.704)","(101.0, 170.0, 116.66666666666667)","(7.5, 11.5, 11.147058823529411)","(1.75, 1.86, 1.84640625)"
07-01-2023 12:40:38.742544,"(6.0, 10.0, 9.533333333333333)","(20.0, 24.0, 23.18181818181818)","(6.0, 9.8, 9.5)","(8.0, 9.8, 9.704)","(101.0, 170.0, 116.66666666666667)","(7.5, 11.5, 11.147058823529411)","(1.75, 1.86, 1.84640625)"
