,Rich List,Dawn Ofa New Brew,Roll The Aces,Barkway Dulcie,Famous Three,Shireen,Burrabadine Dancer,Dragon Tattoo Nz,Hes The Judge
06-01-2023 12:09:02.209703,"(10.0, 20.0, 15.760000000000002)","(101.0, 220.0, 194.16666666666666)","(7.0, 13.0, 10.666666666666668)","(101.0, 220.0, 194.16666666666666)","(101.0, 220.0, 194.16666666666666)","(2.6, 5.2, 4.468571428571429)","(13.0, 29.0, 18.0)","(2.1, 99999, 99990)","(10.0, 23.0, 14.885714285714286)"
06-01-2023 12:09:03.474555,"(10.0, 20.0, 15.760000000000002)","(101.0, 220.0, 194.16666666666666)","(7.0, 13.0, 10.666666666666668)","(101.0, 220.0, 194.16666666666666)","(101.0, 220.0, 194.16666666666666)","(2.6, 5.2, 4.468571428571429)","(13.0, 29.0, 18.0)","(2.1, 99999, 99990)","(10.0, 23.0, 14.885714285714286)"
06-01-2023 12:09:04.800637,"(10.0, 20.0, 15.760000000000002)","(101.0, 220.0, 194.16666666666666)","(7.0, 13.0, 10.666666666666668)","(101.0, 220.0, 194.16666666666666)","(101.0, 220.0, 194.16666666666666)","(2.6, 5.2, 4.468571428571429)","(13.0, 29.0, 18.0)","(2.1, 99999, 99990)","(10.0, 23.0, 14.885714285714286)"
06-01-2023 12:09:06.028958,"(10.0, 20.0, 15.760000000000002)","(101.0, 220.0, 194.16666666666666)","(7.0, 13.0, 10.666666666666668)","(101.0, 220.0, 194.16666666666666)","(101.0, 220.0, 194.16666666666666)","(2.6, 5.2, 4.468571428571429)","(13.0, 29.0, 18.0)","(2.1, 99999, 99990)","(10.0, 23.0, 14.885714285714286)"
06-01-2023 12:09:07.237197,"(10.0, 20.0, 15.760000000000002)","(101.0, 220.0, 194.16666666666666)","(7.0, 13.0, 10.666666666666668)","(101.0, 220.0, 194.16666666666666)","(101.0, 220.0, 194.16666666666666)","(2.6, 5.2, 4.468571428571429)","(13.0, 29.0, 18.0)","(2.1, 99999, 99990)","(10.0, 23.0, 14.885714285714286)"
06-01-2023 12:09:08.444727,"(10.0, 20.0, 15.760000000000002)","(101.0, 220.0, 194.16666666666666)","(7.0, 13.0, 10.666666666666668)","(101.0, 220.0, 194.16666666666666)","(101.0, 220.0, 194.16666666666666)","(2.6, 5.2, 4.468571428571429)","(13.0, 29.0, 18.0)","(2.1, 99999, 99990)","(10.0, 23.0, 14.885714285714286)"
06-01-2023 12:09:09.746259,"(10.0, 20.0, 15.760000000000002)","(101.0, 220.0, 194.16666666666666)","(7.0, 13.0, 10.666666666666668)","(101.0, 220.0, 194.16666666666666)","(101.0, 220.0, 194.16666666666666)","(2.6, 5.2, 4.468571428571429)","(13.0, 29.0, 18.0)","(2.1, 99999, 99990)","(10.0, 23.0, 14.885714285714286)"
06-01-2023 12:09:11.067114,"(10.0, 20.0, 15.760000000000002)","(101.0, 220.0, 194.16666666666666)","(7.0, 13.0, 10.666666666666668)","(101.0, 220.0, 194.16666666666666)","(101.0, 220.0, 194.16666666666666)","(2.6, 5.2, 4.468571428571429)","(13.0, 29.0, 18.0)","(2.1, 99999, 99990)","(10.0, 23.0, 14.885714285714286)"
06-01-2023 12:09:12.377832,"(10.0, 20.0, 15.760000000000002)","(101.0, 220.0, 194.16666666666666)","(7.0, 13.0, 10.666666666666668)","(101.0, 220.0, 194.16666666666666)","(101.0, 220.0, 194.16666666666666)","(2.6, 5.2, 4.468571428571429)","(13.0, 29.0, 18.0)","(2.1, 99999, 99990)","(10.0, 23.0, 14.885714285714286)"
06-01-2023 12:09:13.637498,"(10.0, 20.0, 15.760000000000002)","(101.0, 220.0, 194.16666666666666)","(7.0, 13.0, 10.666666666666668)","(101.0, 220.0, 194.16666666666666)","(101.0, 220.0, 194.16666666666666)","(2.6, 5.2, 4.468571428571429)","(13.0, 29.0, 18.0)","(2.1, 99999, 99990)","(10.0, 23.0, 17.32)"
06-01-2023 12:09:14.871493,"(10.0, 20.0, 15.760000000000002)","(101.0, 220.0, 194.16666666666666)","(7.0, 13.0, 10.666666666666668)","(101.0, 220.0, 194.16666666666666)","(101.0, 220.0, 194.16666666666666)","(2.6, 5.2, 4.468571428571429)","(13.0, 29.0, 18.0)","(2.1, 99999, 99990)","(10.0, 23.0, 17.32)"
06-01-2023 12:09:16.068853,"(10.0, 20.0, 15.760000000000002)","(101.0, 220.0, 194.16666666666666)","(7.0, 13.0, 10.666666666666668)","(101.0, 220.0, 194.16666666666666)","(101.0, 220.0, 194.16666666666666)","(2.6, 5.2, 4.468571428571429)","(13.0, 29.0, 18.0)","(2.1, 99999, 99990)","(10.0, 23.0, 17.32)"
06-01-2023 12:09:17.277042,"(10.0, 20.0, 15.760000000000002)","(101.0, 220.0, 194.16666666666666)","(7.0, 13.0, 10.666666666666668)","(101.0, 220.0, 194.16666666666666)","(101.0, 220.0, 194.16666666666666)","(2.6, 5.2, 4.468571428571429)","(13.0, 29.0, 18.0)","(2.1, 99999, 99990)","(10.0, 23.0, 17.32)"
06-01-2023 12:09:18.472958,"(10.0, 20.0, 15.760000000000002)","(101.0, 220.0, 194.16666666666666)","(7.0, 13.0, 10.666666666666668)","(101.0, 220.0, 194.16666666666666)","(101.0, 220.0, 194.16666666666666)","(2.6, 5.2, 4.468571428571429)","(13.0, 29.0, 18.0)","(2.1, 99999, 99990)","(10.0, 23.0, 17.32)"
06-01-2023 12:09:19.591232,"(10.0, 20.0, 15.760000000000002)","(101.0, 220.0, 194.16666666666666)","(7.0, 13.0, 10.666666666666668)","(101.0, 220.0, 194.16666666666666)","(101.0, 220.0, 194.16666666666666)","(2.6, 5.2, 4.468571428571429)","(13.0, 29.0, 18.0)","(2.1, 99999, 99990)","(10.0, 23.0, 17.32)"
06-01-2023 12:09:20.735212,"(10.0, 20.0, 15.760000000000002)","(101.0, 220.0, 194.16666666666666)","(7.0, 13.0, 10.666666666666668)","(101.0, 220.0, 194.16666666666666)","(101.0, 220.0, 194.16666666666666)","(2.6, 5.2, 4.468571428571429)","(13.0, 29.0, 18.0)","(2.1, 99999, 99990)","(10.0, 23.0, 17.32)"
06-01-2023 12:09:21.925881,"(10.0, 20.0, 15.760000000000002)","(101.0, 220.0, 194.16666666666666)","(7.0, 13.0, 10.666666666666668)","(101.0, 220.0, 194.16666666666666)","(101.0, 220.0, 194.16666666666666)","(2.6, 5.2, 4.468571428571429)","(13.0, 29.0, 18.0)","(2.1, 99999, 99990)","(10.0, 23.0, 17.32)"
06-01-2023 12:09:23.029647,"(10.0, 20.0, 15.760000000000002)","(101.0, 220.0, 194.16666666666666)","(7.0, 13.0, 10.666666666666668)","(101.0, 220.0, 194.16666666666666)","(101.0, 220.0, 194.16666666666666)","(2.6, 5.2, 4.468571428571429)","(13.0, 29.0, 18.0)","(2.1, 99999, 99990)","(10.0, 23.0, 17.32)"
06-01-2023 12:09:24.154915,"(10.0, 20.0, 15.760000000000002)","(101.0, 220.0, 194.16666666666666)","(7.0, 13.0, 10.666666666666668)","(101.0, 220.0, 194.16666666666666)","(101.0, 220.0, 194.16666666666666)","(2.6, 5.2, 4.468571428571429)","(13.0, 29.0, 18.0)","(2.1, 99999, 99990)","(10.0, 23.0, 17.32)"
