,Oristano,Jeanella,World Ruler,Finest Clobber,Go Go Gracie,Hell Raider,Global Conflict,Moments Of Magic
07-01-2023 15:44:49.259543,"(4.0, 5.9, 5.3)","(2.15, 3.05, 2.932)","(6.5, 10.0, 8.5)","(10.0, 15.0, 13.875)","(6.0, 9.6, 7.742857142857143)","(8.5, 14.5, 13.0)","(21.0, 46.0, 31.333333333333332)","(101.0, 220.0, 200.0)"
07-01-2023 15:44:50.456934,"(4.0, 5.9, 5.3)","(2.15, 3.05, 2.932)","(6.5, 10.0, 8.5)","(10.0, 15.0, 13.875)","(6.0, 9.6, 7.742857142857143)","(8.5, 14.5, 13.0)","(21.0, 46.0, 31.333333333333332)","(101.0, 220.0, 200.0)"
07-01-2023 15:44:51.591304,"(4.0, 5.9, 5.3)","(2.15, 3.05, 2.932)","(6.5, 10.0, 8.5)","(10.0, 15.0, 13.875)","(6.0, 9.6, 7.742857142857143)","(8.5, 14.5, 13.0)","(21.0, 46.0, 31.333333333333332)","(101.0, 220.0, 200.0)"
07-01-2023 15:44:52.623102,"(4.0, 5.9, 5.3)","(2.15, 3.05, 2.932)","(6.5, 10.0, 8.5)","(10.0, 15.0, 13.875)","(6.0, 9.6, 7.742857142857143)","(8.5, 14.5, 13.0)","(21.0, 46.0, 31.333333333333332)","(101.0, 220.0, 200.0)"
07-01-2023 15:44:53.769007,"(4.0, 5.9, 5.3)","(2.15, 3.05, 2.932)","(6.5, 10.0, 8.5)","(10.0, 15.0, 13.875)","(6.0, 9.6, 7.742857142857143)","(8.5, 14.5, 13.0)","(21.0, 46.0, 31.333333333333332)","(101.0, 220.0, 200.0)"
07-01-2023 15:44:54.846662,"(4.0, 5.9, 5.3)","(2.15, 3.05, 2.932)","(6.5, 10.0, 8.5)","(10.0, 15.0, 13.875)","(6.0, 9.6, 7.742857142857143)","(8.5, 14.5, 13.0)","(21.0, 46.0, 31.333333333333332)","(101.0, 220.0, 200.0)"
07-01-2023 15:44:55.977923,"(4.0, 5.9, 5.3)","(2.15, 3.05, 2.932)","(6.5, 10.0, 8.5)","(10.0, 15.0, 13.875)","(6.0, 9.6, 7.742857142857143)","(8.5, 14.5, 13.0)","(21.0, 46.0, 31.333333333333332)","(101.0, 220.0, 200.0)"
07-01-2023 15:44:57.119685,"(4.0, 5.9, 5.3)","(2.15, 3.05, 3.0136842105263155)","(6.5, 10.0, 8.5)","(10.0, 15.0, 13.875)","(6.0, 9.6, 7.742857142857143)","(8.5, 14.5, 13.0)","(21.0, 46.0, 31.333333333333332)","(101.0, 220.0, 200.0)"
07-01-2023 15:44:58.181765,"(4.0, 5.9, 5.3)","(2.15, 3.05, 2.936)","(6.5, 10.0, 8.5)","(10.0, 15.0, 13.875)","(6.0, 9.6, 7.742857142857143)","(8.5, 14.5, 13.0)","(21.0, 46.0, 31.333333333333332)","(101.0, 220.0, 200.0)"
07-01-2023 15:44:59.258499,"(4.0, 5.9, 5.3)","(2.15, 3.05, 2.936)","(6.5, 10.0, 8.5)","(10.0, 15.0, 13.875)","(6.0, 9.6, 7.742857142857143)","(8.5, 14.5, 13.0)","(21.0, 46.0, 31.333333333333332)","(101.0, 220.0, 200.0)"
