,Did You Decide,Chosen Eagle,Dominators Girl,Fanciful Flying,Zewinna,Rockem Baby,Heavens Miracle,Magic Typhoon,Shamzou
07-12-2022 19:19:07.725052,"(3.4, 4.9, 4.88)","(7.5, 12.0, 11.2)","(4.8, 5.5, 5.4)","(13.0, 21.0, 17.8125)","(3.9, 5.5, 5.18)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.76)","(51.0, 210.0, 110.0)"
07-12-2022 19:19:08.901513,"(3.4, 4.9, 4.875)","(7.5, 12.0, 11.2)","(4.8, 5.5, 5.4)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 5.18)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.76)","(51.0, 210.0, 110.0)"
07-12-2022 19:19:10.051610,"(3.4, 4.9, 4.875)","(7.5, 12.0, 11.2)","(4.8, 5.5, 5.4)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 5.18)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.76)","(51.0, 210.0, 110.0)"
07-12-2022 19:19:11.190879,"(3.4, 4.9, 4.875)","(7.5, 12.0, 11.2)","(4.8, 5.5, 5.4)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 5.18)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.76)","(51.0, 210.0, 110.0)"
07-12-2022 19:19:12.284109,"(3.4, 4.9, 4.875)","(7.5, 12.0, 11.2)","(4.8, 5.5, 5.4)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 5.18)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.76)","(51.0, 210.0, 110.0)"
07-12-2022 19:19:13.370410,"(3.4, 4.9, 4.875)","(7.5, 12.0, 11.2)","(4.8, 5.5, 5.4)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 5.18)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.8)","(51.0, 210.0, 110.0)"
07-12-2022 19:19:14.448625,"(3.4, 5.5, 5.2)","(7.5, 12.0, 11.2)","(4.8, 5.5, 5.4)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 5.144444444444444)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.8)","(51.0, 210.0, 110.0)"
07-12-2022 19:19:15.587746,"(3.4, 5.5, 5.133333333333334)","(7.5, 12.0, 10.285714285714285)","(4.8, 5.5, 5.32)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 5.13076923076923)","(21.0, 32.0, 28.0)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.8)","(51.0, 210.0, 110.0)"
07-12-2022 19:19:16.718345,"(3.4, 5.5, 5.133333333333334)","(7.5, 12.0, 11.2)","(4.8, 5.5, 5.32)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 5.13076923076923)","(21.0, 32.0, 28.0)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.8)","(51.0, 210.0, 126.66666666666667)"
07-12-2022 19:19:17.853063,"(3.4, 5.5, 5.133333333333334)","(7.5, 12.0, 11.2)","(4.8, 5.5, 5.32)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 5.13076923076923)","(21.0, 32.0, 28.0)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.8)","(51.0, 260.0, 126.66666666666667)"
