,Daysan,Vintage Diesel,Kypreos,Jack Duggan,Youthfull,Chappelli,See The Master
14-12-2022 12:31:39.383691,"(10.0, 12.0, 11.635135135135135)","(31.0, 80.0, 72.85714285714286)","(4.0, 5.0, 4.991666666666666)","(2.15, 2.68, 2.599205298013245)","(4.4, 5.1, 5.080272108843537)","(7.0, 11.0, 10.962962962962964)","(101.0, 520.0, 492.66666666666663)"
14-12-2022 12:31:40.775850,"(10.0, 12.0, 11.666666666666666)","(31.0, 75.0, 78.46153846153847)","(4.0, 5.0, 4.991666666666666)","(2.15, 2.68, 2.599205298013245)","(4.4, 5.1, 5.065555555555555)","(7.0, 11.0, 10.962962962962964)","(101.0, 510.0, 481.72413793103453)"
14-12-2022 12:31:41.839478,"(10.0, 12.0, 11.666666666666666)","(31.0, 80.0, 78.46153846153847)","(4.0, 5.0, 4.991666666666666)","(2.15, 2.68, 2.599205298013245)","(4.4, 5.1, 5.065555555555555)","(7.0, 11.0, 10.962962962962964)","(101.0, 490.0, 481.72413793103453)"
14-12-2022 12:31:43.051848,"(10.0, 12.0, 11.576923076923077)","(31.0, 80.0, 78.46153846153847)","(4.0, 5.0, 4.991666666666666)","(2.15, 2.68, 2.606060606060606)","(4.4, 5.1, 5.065555555555555)","(7.0, 11.0, 10.962962962962964)","(101.0, 480.0, 468.3050847457627)"
14-12-2022 12:31:44.291437,"(10.0, 12.0, 11.576923076923077)","(31.0, 80.0, 78.46153846153847)","(4.0, 5.0, 4.991666666666666)","(2.15, 2.68, 2.607922077922078)","(4.4, 5.1, 5.046086956521739)","(7.0, 11.0, 10.962962962962964)","(101.0, 480.0, 468.3050847457627)"
14-12-2022 12:31:45.496375,"(10.0, 12.0, 11.576923076923077)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.991666666666666)","(2.15, 2.68, 2.607922077922078)","(4.4, 5.1, 5.046086956521739)","(7.0, 11.0, 10.962962962962964)","(101.0, 480.0, 468.3050847457627)"
14-12-2022 12:31:46.743338,"(10.0, 12.0, 11.576923076923077)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.991666666666666)","(2.15, 2.68, 2.607922077922078)","(4.4, 5.1, 5.046086956521739)","(7.0, 11.0, 10.962962962962964)","(101.0, 480.0, 468.3050847457627)"
14-12-2022 12:31:47.959619,"(10.0, 12.0, 11.576923076923077)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.991666666666666)","(2.15, 2.68, 2.6155371900826445)","(4.4, 5.1, 5.068)","(7.0, 11.0, 10.714285714285714)","(101.0, 480.0, 468.3050847457627)"
14-12-2022 12:31:49.090816,"(10.0, 12.0, 11.735294117647058)","(31.0, 80.0, 78.46153846153847)","(4.0, 5.0, 4.991666666666666)","(2.15, 2.68, 2.627252747252747)","(4.4, 5.1, 5.068)","(7.0, 11.0, 10.714285714285714)","(101.0, 480.0, 468.3050847457627)"
14-12-2022 12:31:50.398541,"(10.0, 12.0, 11.735294117647058)","(31.0, 80.0, 78.46153846153847)","(4.0, 5.0, 4.991666666666666)","(2.15, 2.68, 2.627252747252747)","(4.4, 5.1, 5.068)","(7.0, 11.0, 10.714285714285714)","(101.0, 480.0, 468.3050847457627)"
14-12-2022 12:31:51.590351,"(10.0, 12.0, 11.735294117647058)","(31.0, 80.0, 78.46153846153847)","(4.0, 5.0, 4.991666666666666)","(2.15, 2.68, 2.627252747252747)","(4.4, 5.1, 5.068)","(7.0, 11.0, 10.714285714285714)","(101.0, 480.0, 468.3050847457627)"
14-12-2022 12:31:52.723482,"(10.0, 12.0, 11.735294117647058)","(31.0, 80.0, 78.46153846153847)","(4.0, 5.0, 4.991666666666666)","(2.15, 2.68, 2.627252747252747)","(4.4, 5.1, 5.068)","(7.0, 11.0, 10.714285714285714)","(101.0, 480.0, 468.3050847457627)"
14-12-2022 12:31:53.823587,"(10.0, 12.0, 11.678571428571429)","(31.0, 80.0, 78.46153846153847)","(4.0, 5.0, 4.991666666666666)","(2.15, 2.68, 2.627252747252747)","(4.4, 5.1, 5.068)","(7.0, 11.0, 10.714285714285714)","(101.0, 480.0, 468.3050847457627)"
14-12-2022 12:31:55.004468,"(10.0, 12.0, 11.678571428571429)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.991666666666666)","(2.15, 2.68, 2.627252747252747)","(4.4, 5.1, 5.075555555555555)","(7.0, 11.0, 10.714285714285714)","(101.0, 480.0, 464.6666666666667)"
14-12-2022 12:31:56.316677,"(10.0, 12.0, 11.678571428571429)","(31.0, 80.0, 78.46153846153847)","(4.0, 5.0, 4.991666666666666)","(2.15, 2.68, 2.633846153846154)","(4.4, 5.1, 5.075555555555555)","(7.0, 11.0, 10.714285714285714)","(101.0, 480.0, 464.6666666666667)"
14-12-2022 12:31:57.573179,"(10.0, 12.0, 11.678571428571429)","(31.0, 80.0, 72.85714285714286)","(4.0, 5.0, 4.975572519083969)","(2.15, 2.68, 2.6236363636363635)","(4.4, 5.1, 5.075555555555555)","(7.0, 11.0, 10.3125)","(101.0, 480.0, 475.96491228070175)"
14-12-2022 12:31:58.773156,"(10.0, 12.0, 11.666666666666666)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.975572519083969)","(2.15, 2.64, 2.6236363636363635)","(4.4, 5.1, 5.075555555555555)","(7.0, 11.0, 10.3125)","(101.0, 480.0, 475.96491228070175)"
14-12-2022 12:32:00.104563,"(10.0, 12.0, 11.666666666666666)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.9706293706293705)","(2.15, 2.64, 2.6236363636363635)","(4.4, 5.1, 5.075555555555555)","(7.0, 11.0, 10.3125)","(101.0, 480.0, 475.96491228070175)"
14-12-2022 12:32:01.253290,"(10.0, 12.0, 11.666666666666666)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.9706293706293705)","(2.15, 2.64, 2.6236363636363635)","(4.4, 5.1, 5.075555555555555)","(7.0, 11.0, 10.3125)","(101.0, 480.0, 475.96491228070175)"
14-12-2022 12:32:02.517779,"(10.0, 12.0, 11.666666666666666)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.9706293706293705)","(2.15, 2.64, 2.6236363636363635)","(4.4, 5.1, 5.075555555555555)","(7.0, 11.0, 10.3125)","(101.0, 480.0, 475.96491228070175)"
14-12-2022 12:32:03.713725,"(10.0, 12.0, 11.666666666666666)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.9706293706293705)","(2.15, 2.64, 2.6236363636363635)","(4.4, 5.1, 5.075555555555555)","(7.0, 11.0, 10.3125)","(101.0, 480.0, 475.96491228070175)"
14-12-2022 12:32:04.969583,"(10.0, 12.0, 11.666666666666666)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.9706293706293705)","(2.15, 2.64, 2.6236363636363635)","(4.4, 5.1, 5.075555555555555)","(7.0, 11.0, 10.3125)","(101.0, 480.0, 475.96491228070175)"
14-12-2022 12:32:06.179489,"(10.0, 12.0, 11.666666666666666)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.9706293706293705)","(2.15, 2.64, 2.6236363636363635)","(4.4, 5.1, 5.075555555555555)","(7.0, 11.0, 10.3125)","(101.0, 480.0, 475.96491228070175)"
14-12-2022 12:32:07.434131,"(10.0, 12.0, 11.666666666666666)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.64, 2.634666666666667)","(4.4, 5.1, 5.186301369863014)","(7.0, 11.0, 9.615384615384615)","(101.0, 480.0, 475.96491228070175)"
14-12-2022 12:32:08.757085,"(10.0, 13.0, 12.666666666666666)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.984)","(2.15, 2.66, 2.6832786885245903)","(4.4, 5.2, 5.186301369863014)","(7.0, 10.0, 9.588235294117647)","(101.0, 480.0, 475.96491228070175)"
14-12-2022 12:32:09.939139,"(10.0, 13.0, 12.333333333333334)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.640909090909091)","(4.4, 5.2, 5.186301369863014)","(7.0, 11.0, 10.09090909090909)","(101.0, 480.0, 475.96491228070175)"
14-12-2022 12:32:11.116825,"(10.0, 13.0, 12.714285714285714)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.632727272727273)","(4.4, 5.2, 5.12952380952381)","(7.0, 10.5, 9.923076923076923)","(101.0, 480.0, 475.96491228070175)"
14-12-2022 12:32:12.417802,"(10.0, 13.0, 12.714285714285714)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.632727272727273)","(4.4, 5.2, 5.12952380952381)","(7.0, 10.5, 9.923076923076923)","(101.0, 480.0, 475.96491228070175)"
14-12-2022 12:32:13.642599,"(10.0, 13.0, 12.714285714285714)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.626865671641791)","(4.4, 5.2, 5.105128205128206)","(7.0, 10.5, 10.058823529411764)","(101.0, 480.0, 462.41379310344826)"
