,The Whizzer,Remarkable Rock,Twelve Oclock Rock,Bettor Arcade,Ideal Muscle
11-01-2023 15:49:14.179738,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 220.0, 119.75)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:15.241737,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 220.0, 119.75)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:16.293427,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 220.0, 119.75)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:17.298227,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:18.358099,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:19.337607,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:20.303772,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:21.359735,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:22.400102,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:23.390048,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:24.444813,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:25.464047,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:26.379697,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:27.309832,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:28.353793,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:29.325294,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:30.356301,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:31.412436,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:32.314235,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:33.238201,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:34.116874,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:35.024751,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:36.044352,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:36.975782,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:37.850459,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:38.782306,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:39.752081,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:40.765264,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:41.623536,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:42.570206,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:43.602437,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:44.606315,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:45.581208,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:46.582465,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:47.458824,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
