,So Daring,The Snuggler,Bringme,Gepard,Hoff His Face,Von Crumb,Maralah,Shapin Power,Valiant Joan,Princess Pollyanna,Pheebles Spirit,Slinkys Star
05-01-2023 13:44:07.587015,"(19.0, 42.0, 35.07692307692308)","(3.9, 4.8, 4.4648648648648654)","(91.0, 150.0, 110.0)","(61.0, 160.0, 120.0)","(71.0, 110.0, 100.0)","(7.5, 9.8, 9.764705882352942)","(16.0, 18.5, 17.91176470588235)","(2.6, 3.15, 3.075)","(5.5, 8.0, 7.7272727272727275)","(101.0, 240.0, 200.0)","(11.0, 14.0, 13.052631578947368)","(31.0, 70.0, 54.0)"
05-01-2023 13:44:08.843225,"(19.0, 42.0, 38.888888888888886)","(3.9, 4.8, 4.4648648648648654)","(91.0, 130.0, 103.75)","(61.0, 160.0, 120.0)","(71.0, 110.0, 100.0)","(7.5, 9.8, 9.764705882352942)","(16.0, 18.5, 18.1)","(2.6, 3.15, 3.1033333333333335)","(5.5, 8.4, 7.623529411764706)","(101.0, 240.0, 200.0)","(11.0, 13.0, 12.80232558139535)","(31.0, 70.0, 53.5)"
05-01-2023 13:44:10.144258,"(19.0, 42.0, 38.888888888888886)","(3.9, 4.8, 4.4648648648648654)","(91.0, 130.0, 103.75)","(61.0, 160.0, 120.0)","(71.0, 110.0, 100.0)","(7.5, 9.8, 9.764705882352942)","(16.0, 18.5, 18.1)","(2.6, 3.15, 3.1164)","(5.5, 8.2, 7.7)","(101.0, 240.0, 200.0)","(11.0, 13.0, 12.80232558139535)","(31.0, 70.0, 53.5)"
05-01-2023 13:44:11.444322,"(19.0, 42.0, 38.888888888888886)","(3.9, 4.8, 4.4648648648648654)","(91.0, 130.0, 103.75)","(61.0, 160.0, 120.0)","(71.0, 110.0, 100.0)","(7.5, 9.8, 9.764705882352942)","(16.0, 18.5, 18.1)","(2.6, 3.15, 3.080909090909091)","(5.5, 8.0, 7.666666666666667)","(101.0, 240.0, 200.0)","(11.0, 13.0, 12.80232558139535)","(31.0, 70.0, 56.666666666666664)"
05-01-2023 13:44:12.730020,"(19.0, 42.0, 37.333333333333336)","(3.9, 4.8, 4.424242424242425)","(91.0, 130.0, 106.66666666666667)","(61.0, 160.0, 120.0)","(71.0, 110.0, 100.0)","(7.5, 9.8, 9.764705882352942)","(16.0, 18.5, 18.1)","(2.6, 3.15, 3.080909090909091)","(5.5, 7.8, 7.666666666666667)","(101.0, 240.0, 200.0)","(11.0, 13.0, 12.80232558139535)","(31.0, 70.0, 56.666666666666664)"
05-01-2023 13:44:13.961771,"(19.0, 42.0, 37.333333333333336)","(3.9, 4.8, 4.424242424242425)","(91.0, 130.0, 106.66666666666667)","(61.0, 160.0, 120.0)","(71.0, 110.0, 100.0)","(7.5, 9.8, 9.773913043478261)","(16.0, 18.5, 18.1)","(2.6, 3.15, 3.11)","(5.5, 7.8, 7.666666666666667)","(101.0, 240.0, 200.0)","(11.0, 13.0, 12.80232558139535)","(31.0, 70.0, 56.666666666666664)"
05-01-2023 13:44:15.327038,"(19.0, 42.0, 37.333333333333336)","(3.9, 4.8, 4.424242424242425)","(91.0, 130.0, 106.66666666666667)","(61.0, 160.0, 120.0)","(71.0, 110.0, 100.0)","(7.5, 9.8, 9.773913043478261)","(16.0, 18.5, 18.1)","(2.6, 3.15, 3.099333333333333)","(5.5, 7.8, 7.666666666666667)","(101.0, 240.0, 200.0)","(11.0, 13.0, 12.80232558139535)","(31.0, 70.0, 56.666666666666664)"
05-01-2023 13:44:16.738869,"(19.0, 42.0, 37.333333333333336)","(3.9, 4.8, 4.424242424242425)","(91.0, 130.0, 106.66666666666667)","(61.0, 160.0, 120.0)","(71.0, 110.0, 100.0)","(7.5, 9.8, 9.773913043478261)","(16.0, 18.5, 18.1)","(2.6, 3.15, 3.0915384615384616)","(5.5, 7.8, 7.6)","(101.0, 240.0, 200.0)","(11.0, 13.0, 12.80232558139535)","(31.0, 70.0, 56.666666666666664)"
05-01-2023 13:44:18.107548,"(19.0, 42.0, 37.333333333333336)","(3.9, 4.8, 4.424242424242425)","(91.0, 130.0, 106.66666666666667)","(61.0, 160.0, 120.0)","(71.0, 110.0, 100.0)","(7.5, 9.8, 9.773913043478261)","(16.0, 18.5, 18.023809523809526)","(2.6, 3.15, 3.0605882352941176)","(5.5, 7.8, 7.6)","(101.0, 240.0, 200.0)","(11.0, 13.0, 12.80232558139535)","(31.0, 70.0, 56.285714285714285)"
05-01-2023 13:44:19.514224,"(19.0, 42.0, 36.90909090909091)","(3.9, 4.8, 4.424242424242425)","(91.0, 130.0, 106.66666666666667)","(61.0, 160.0, 120.0)","(71.0, 110.0, 100.0)","(7.5, 9.8, 9.773913043478261)","(16.0, 18.5, 18.023809523809526)","(2.6, 3.15, 3.0605882352941176)","(5.5, 8.0, 7.485714285714286)","(101.0, 240.0, 200.0)","(11.0, 13.0, 12.80232558139535)","(31.0, 70.0, 56.285714285714285)"
