,Maddys Girl,Andos A Thief,Miss Mel,Cashmere Kaos,Book Of Love,Deep Sapphire,Shes A Sully
04-01-2023 14:27:49.244174,"(14.0, 34.0, 31.785714285714285)","(1.85, 2.34, 1.9158536585365855)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:27:50.272392,"(14.0, 34.0, 31.785714285714285)","(1.85, 2.34, 1.9158536585365855)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.433333333333333)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:27:51.518916,"(14.0, 34.0, 31.785714285714285)","(1.85, 2.34, 1.9158536585365855)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.433333333333333)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:27:52.686525,"(14.0, 34.0, 29.166666666666664)","(1.85, 2.34, 1.9158536585365855)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.433333333333333)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:27:53.837135,"(14.0, 34.0, 29.166666666666664)","(1.85, 2.34, 1.9158536585365855)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.3714285714285714)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:27:54.992929,"(14.0, 34.0, 29.166666666666664)","(1.85, 2.34, 1.9158536585365855)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.3)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:27:56.048825,"(14.0, 34.0, 29.166666666666664)","(1.85, 2.34, 1.9158536585365855)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.3)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:27:57.121473,"(14.0, 34.0, 29.166666666666664)","(1.85, 2.34, 1.9158536585365855)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.3)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:27:58.102415,"(14.0, 34.0, 29.166666666666664)","(1.85, 2.34, 1.9158536585365855)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:27:59.020043,"(14.0, 34.0, 29.166666666666664)","(1.85, 2.34, 1.9158536585365855)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:00.084407,"(14.0, 34.0, 29.166666666666664)","(1.85, 2.34, 1.9158536585365855)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.433333333333333)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:01.164887,"(14.0, 34.0, 29.166666666666664)","(1.85, 2.34, 1.9158536585365855)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.433333333333333)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:02.332052,"(14.0, 34.0, 29.166666666666664)","(1.85, 2.34, 1.9158536585365855)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.433333333333333)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:03.480638,"(14.0, 34.0, 29.166666666666664)","(1.85, 2.34, 1.9158536585365855)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.433333333333333)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:04.592499,"(14.0, 34.0, 29.166666666666664)","(1.85, 2.34, 1.9158536585365855)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.433333333333333)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:05.665608,"(14.0, 34.0, 29.166666666666664)","(1.85, 2.34, 1.9158536585365855)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.433333333333333)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:06.704033,"(14.0, 34.0, 29.166666666666664)","(1.85, 2.34, 1.9158536585365855)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.433333333333333)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:07.756670,"(14.0, 34.0, 29.166666666666664)","(1.85, 2.34, 1.9158536585365855)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.433333333333333)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
