,Debs Gunfighter,Northern Spy,Bourbon Currency,Tra Lad,Grand Wiser,Cees Get Degrees,Condition One,Romantic Gamble
12-01-2023 10:58:45.061487,"(7.5, 30.0, 24.55)","(26.0, 230.0, 177.25)","(17.0, 230.0, 208.29999999999998)","(12.0, 24.0, 17.75)","(13.0, 26.0, 20.2)","(1.5, 1.53, 1.3754545454545455)","(19.0, 170.0, 131.375)","(7.5, 40.0, 32.25)"
12-01-2023 10:58:46.141960,"(7.5, 30.0, 24.55)","(26.0, 230.0, 177.25)","(17.0, 230.0, 208.29999999999998)","(12.0, 24.0, 17.75)","(13.0, 26.0, 20.2)","(1.5, 1.53, 1.3754545454545455)","(19.0, 170.0, 131.375)","(7.5, 40.0, 32.25)"
12-01-2023 10:58:47.268304,"(7.5, 30.0, 24.55)","(26.0, 230.0, 177.25)","(17.0, 230.0, 208.29999999999998)","(12.0, 24.0, 17.75)","(13.0, 26.0, 20.2)","(1.5, 1.53, 1.4913636363636364)","(19.0, 170.0, 131.375)","(7.5, 40.0, 32.25)"
12-01-2023 10:58:48.317479,"(7.5, 30.0, 24.55)","(26.0, 230.0, 177.25)","(17.0, 230.0, 208.29999999999998)","(12.0, 24.0, 17.75)","(13.0, 26.0, 20.2)","(1.5, 1.53, 1.4913636363636364)","(19.0, 170.0, 131.375)","(7.5, 40.0, 32.25)"
12-01-2023 10:58:49.392895,"(7.5, 30.0, 24.55)","(26.0, 230.0, 177.25)","(17.0, 230.0, 208.29999999999998)","(12.0, 24.0, 17.75)","(13.0, 26.0, 20.2)","(1.5, 1.53, 1.5082051282051283)","(19.0, 170.0, 131.375)","(7.5, 40.0, 32.25)"
12-01-2023 10:58:50.464187,"(7.5, 30.0, 24.55)","(26.0, 230.0, 177.25)","(17.0, 230.0, 208.29999999999998)","(12.0, 24.0, 17.75)","(13.0, 26.0, 20.2)","(1.5, 1.55, 1.415)","(19.0, 170.0, 131.375)","(7.5, 40.0, 32.25)"
12-01-2023 10:58:51.523107,"(7.5, 30.0, 24.55)","(26.0, 230.0, 177.25)","(17.0, 230.0, 208.29999999999998)","(12.0, 24.0, 17.75)","(13.0, 26.0, 20.2)","(1.5, 1.55, 1.415)","(19.0, 170.0, 131.375)","(7.5, 40.0, 32.25)"
12-01-2023 10:58:52.558050,"(7.5, 30.0, 24.55)","(26.0, 230.0, 177.25)","(17.0, 230.0, 208.29999999999998)","(12.0, 24.0, 17.75)","(13.0, 26.0, 20.2)","(1.5, 1.55, 1.4642857142857144)","(19.0, 170.0, 131.375)","(7.5, 40.0, 32.25)"
12-01-2023 10:58:53.619830,"(7.5, 30.0, 24.55)","(26.0, 230.0, 177.25)","(17.0, 230.0, 208.29999999999998)","(12.0, 24.0, 17.75)","(13.0, 26.0, 20.2)","(1.5, 1.55, 1.4075000000000002)","(19.0, 170.0, 131.375)","(7.5, 40.0, 32.25)"
12-01-2023 10:58:54.707569,"(7.5, 30.0, 24.55)","(26.0, 230.0, 177.25)","(17.0, 230.0, 208.29999999999998)","(12.0, 24.0, 17.75)","(13.0, 26.0, 20.2)","(1.5, 1.55, 1.3883333333333334)","(19.0, 170.0, 131.375)","(7.5, 40.0, 32.25)"
12-01-2023 10:58:55.777114,"(7.5, 30.0, 24.55)","(26.0, 230.0, 177.25)","(17.0, 230.0, 208.29999999999998)","(12.0, 24.0, 17.75)","(13.0, 26.0, 20.2)","(1.5, 1.53, 1.3883333333333334)","(19.0, 170.0, 131.375)","(7.5, 40.0, 32.25)"
12-01-2023 10:58:56.859844,"(7.5, 30.0, 24.55)","(26.0, 230.0, 177.25)","(17.0, 230.0, 208.29999999999998)","(12.0, 24.0, 17.75)","(13.0, 26.0, 20.2)","(1.5, 1.53, 1.3883333333333334)","(19.0, 170.0, 131.375)","(7.5, 40.0, 32.25)"
12-01-2023 10:58:57.987445,"(7.5, 30.0, 24.55)","(26.0, 230.0, 177.25)","(17.0, 230.0, 208.29999999999998)","(12.0, 24.0, 17.75)","(13.0, 26.0, 20.2)","(1.5, 1.53, 1.3883333333333334)","(19.0, 170.0, 131.375)","(7.5, 40.0, 32.25)"
12-01-2023 10:58:59.119568,"(7.5, 30.0, 24.55)","(26.0, 230.0, 177.25)","(17.0, 230.0, 208.29999999999998)","(12.0, 24.0, 17.75)","(13.0, 26.0, 20.2)","(1.5, 1.53, 1.3883333333333334)","(19.0, 170.0, 131.375)","(7.5, 40.0, 32.25)"
12-01-2023 10:59:00.256404,"(7.5, 30.0, 24.55)","(26.0, 230.0, 177.25)","(17.0, 230.0, 208.29999999999998)","(12.0, 24.0, 17.75)","(13.0, 26.0, 20.2)","(1.5, 1.53, 1.3883333333333334)","(19.0, 170.0, 131.375)","(7.5, 40.0, 32.25)"
12-01-2023 10:59:01.415056,"(7.5, 30.0, 24.55)","(26.0, 230.0, 177.25)","(17.0, 230.0, 208.29999999999998)","(12.0, 24.0, 17.75)","(13.0, 26.0, 20.2)","(1.5, 1.53, 1.3883333333333334)","(19.0, 170.0, 131.375)","(7.5, 40.0, 32.25)"
12-01-2023 10:59:02.544329,"(7.5, 30.0, 24.55)","(26.0, 230.0, 177.25)","(17.0, 230.0, 208.29999999999998)","(12.0, 24.0, 17.75)","(13.0, 26.0, 20.2)","(1.5, 1.53, 1.4133333333333333)","(19.0, 170.0, 131.375)","(7.5, 40.0, 32.25)"
12-01-2023 10:59:03.596752,"(7.5, 30.0, 25.68)","(26.0, 230.0, 177.25)","(17.0, 230.0, 208.29999999999998)","(12.0, 24.0, 17.75)","(13.0, 26.0, 20.2)","(1.5, 1.53, 1.4133333333333333)","(19.0, 170.0, 131.375)","(7.5, 40.0, 32.25)"
12-01-2023 10:59:04.716145,"(7.5, 30.0, 25.68)","(26.0, 230.0, 177.25)","(17.0, 230.0, 208.29999999999998)","(12.0, 24.0, 17.75)","(13.0, 26.0, 20.2)","(1.5, 1.53, 1.394375)","(19.0, 170.0, 131.375)","(7.5, 40.0, 32.25)"
