,Savage Nation,Grandgran,Dmoney Honey,Potential Grizzly,Two Last Words,Out For Justice,Gold Shark,Valiant Thor
0,"[datetime.datetime(2022, 11, 28, 11, 44, 3, 487299), 7.0, 19.0]","[datetime.datetime(2022, 11, 28, 11, 44, 3, 487299), 4.2, 9.4]","[datetime.datetime(2022, 11, 28, 11, 44, 3, 487299), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 44, 3, 487299), 17.0, 75.0]","[datetime.datetime(2022, 11, 28, 11, 44, 3, 487299), 5.5, 13.5]","[datetime.datetime(2022, 11, 28, 11, 44, 3, 487299), 21.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 44, 3, 487299), 3.5, 7.6]","[datetime.datetime(2022, 11, 28, 11, 44, 3, 487299), 10.0, 32.0]"
1,"[datetime.datetime(2022, 11, 28, 11, 44, 5, 808010), 7.0, 19.0]","[datetime.datetime(2022, 11, 28, 11, 44, 5, 808010), 4.2, 9.4]","[datetime.datetime(2022, 11, 28, 11, 44, 5, 808010), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 44, 5, 808010), 17.0, 75.0]","[datetime.datetime(2022, 11, 28, 11, 44, 5, 808010), 5.5, 13.5]","[datetime.datetime(2022, 11, 28, 11, 44, 5, 808010), 21.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 44, 5, 808010), 3.5, 7.6]","[datetime.datetime(2022, 11, 28, 11, 44, 5, 808010), 10.0, 32.0]"
2,"[datetime.datetime(2022, 11, 28, 11, 44, 7, 313170), 7.0, 19.0]","[datetime.datetime(2022, 11, 28, 11, 44, 7, 313170), 4.2, 9.4]","[datetime.datetime(2022, 11, 28, 11, 44, 7, 313170), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 44, 7, 313170), 17.0, 75.0]","[datetime.datetime(2022, 11, 28, 11, 44, 7, 313170), 5.5, 13.5]","[datetime.datetime(2022, 11, 28, 11, 44, 7, 313170), 21.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 44, 7, 313170), 3.5, 7.6]","[datetime.datetime(2022, 11, 28, 11, 44, 7, 313170), 10.0, 32.0]"
3,"[datetime.datetime(2022, 11, 28, 11, 44, 8, 771345), 7.0, 19.0]","[datetime.datetime(2022, 11, 28, 11, 44, 8, 771345), 4.2, 9.4]","[datetime.datetime(2022, 11, 28, 11, 44, 8, 771345), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 44, 8, 771345), 17.0, 75.0]","[datetime.datetime(2022, 11, 28, 11, 44, 8, 771345), 5.5, 13.5]","[datetime.datetime(2022, 11, 28, 11, 44, 8, 771345), 21.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 44, 8, 771345), 3.5, 7.6]","[datetime.datetime(2022, 11, 28, 11, 44, 8, 771345), 10.0, 32.0]"
4,"[datetime.datetime(2022, 11, 28, 11, 44, 10, 34518), 7.0, 19.0]","[datetime.datetime(2022, 11, 28, 11, 44, 10, 34518), 4.2, 9.4]","[datetime.datetime(2022, 11, 28, 11, 44, 10, 34518), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 44, 10, 34518), 17.0, 75.0]","[datetime.datetime(2022, 11, 28, 11, 44, 10, 34518), 5.5, 13.5]","[datetime.datetime(2022, 11, 28, 11, 44, 10, 34518), 21.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 44, 10, 34518), 3.5, 7.6]","[datetime.datetime(2022, 11, 28, 11, 44, 10, 34518), 10.0, 32.0]"
5,"[datetime.datetime(2022, 11, 28, 11, 44, 11, 226690), 7.0, 19.0]","[datetime.datetime(2022, 11, 28, 11, 44, 11, 226690), 4.2, 9.4]","[datetime.datetime(2022, 11, 28, 11, 44, 11, 226690), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 44, 11, 226690), 17.0, 75.0]","[datetime.datetime(2022, 11, 28, 11, 44, 11, 226690), 5.5, 13.5]","[datetime.datetime(2022, 11, 28, 11, 44, 11, 226690), 21.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 44, 11, 226690), 3.5, 7.6]","[datetime.datetime(2022, 11, 28, 11, 44, 11, 226690), 10.0, 32.0]"
6,"[datetime.datetime(2022, 11, 28, 11, 44, 12, 522909), 7.0, 19.0]","[datetime.datetime(2022, 11, 28, 11, 44, 12, 522909), 4.2, 9.4]","[datetime.datetime(2022, 11, 28, 11, 44, 12, 522909), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 44, 12, 522909), 17.0, 75.0]","[datetime.datetime(2022, 11, 28, 11, 44, 12, 522909), 5.5, 13.5]","[datetime.datetime(2022, 11, 28, 11, 44, 12, 522909), 21.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 44, 12, 522909), 3.5, 7.2]","[datetime.datetime(2022, 11, 28, 11, 44, 12, 522909), 10.0, 32.0]"
7,"[datetime.datetime(2022, 11, 28, 11, 44, 13, 706138), 7.0, 19.0]","[datetime.datetime(2022, 11, 28, 11, 44, 13, 706138), 4.2, 9.4]","[datetime.datetime(2022, 11, 28, 11, 44, 13, 706138), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 44, 13, 706138), 17.0, 75.0]","[datetime.datetime(2022, 11, 28, 11, 44, 13, 706138), 5.5, 13.5]","[datetime.datetime(2022, 11, 28, 11, 44, 13, 706138), 21.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 44, 13, 706138), 3.5, 7.2]","[datetime.datetime(2022, 11, 28, 11, 44, 13, 706138), 10.0, 32.0]"
8,"[datetime.datetime(2022, 11, 28, 11, 44, 14, 879302), 7.0, 19.0]","[datetime.datetime(2022, 11, 28, 11, 44, 14, 879302), 4.2, 9.4]","[datetime.datetime(2022, 11, 28, 11, 44, 14, 879302), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 44, 14, 879302), 17.0, 75.0]","[datetime.datetime(2022, 11, 28, 11, 44, 14, 879302), 5.5, 13.5]","[datetime.datetime(2022, 11, 28, 11, 44, 14, 879302), 21.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 44, 14, 879302), 3.5, 7.2]","[datetime.datetime(2022, 11, 28, 11, 44, 14, 879302), 10.0, 32.0]"
9,"[datetime.datetime(2022, 11, 28, 11, 44, 16, 134976), 7.0, 19.0]","[datetime.datetime(2022, 11, 28, 11, 44, 16, 134976), 4.2, 9.4]","[datetime.datetime(2022, 11, 28, 11, 44, 16, 134976), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 44, 16, 134976), 17.0, 75.0]","[datetime.datetime(2022, 11, 28, 11, 44, 16, 134976), 5.5, 13.5]","[datetime.datetime(2022, 11, 28, 11, 44, 16, 134976), 21.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 44, 16, 134976), 3.5, 7.6]","[datetime.datetime(2022, 11, 28, 11, 44, 16, 134976), 10.0, 32.0]"
