,Golden Coast,Echo Chamber,Flywheel Cracker,Letter To You,Sunrise To Dusk,Hurricane Karin,Shes Roses
0,"[datetime.datetime(2022, 11, 28, 14, 8, 33, 946503), 2.6, 6.8]","[datetime.datetime(2022, 11, 28, 14, 8, 33, 946503), 31.0, 440.0]","[datetime.datetime(2022, 11, 28, 14, 8, 33, 946503), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 14, 8, 33, 946503), 6.0, 15.0]","[datetime.datetime(2022, 11, 28, 14, 8, 33, 946503), 3.1, 5.2]","[datetime.datetime(2022, 11, 28, 14, 8, 33, 946503), 26.0, 320.0]","[datetime.datetime(2022, 11, 28, 14, 8, 33, 946503), 5.5, 22.0]"
1,"[datetime.datetime(2022, 11, 28, 14, 8, 35, 68724), 2.6, 6.8]","[datetime.datetime(2022, 11, 28, 14, 8, 35, 68724), 31.0, 440.0]","[datetime.datetime(2022, 11, 28, 14, 8, 35, 68724), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 14, 8, 35, 68724), 6.0, 15.0]","[datetime.datetime(2022, 11, 28, 14, 8, 35, 68724), 3.1, 5.2]","[datetime.datetime(2022, 11, 28, 14, 8, 35, 68724), 26.0, 320.0]","[datetime.datetime(2022, 11, 28, 14, 8, 35, 68724), 5.5, 22.0]"
2,"[datetime.datetime(2022, 11, 28, 14, 8, 36, 224683), 2.6, 6.8]","[datetime.datetime(2022, 11, 28, 14, 8, 36, 224683), 31.0, 440.0]","[datetime.datetime(2022, 11, 28, 14, 8, 36, 224683), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 14, 8, 36, 224683), 6.0, 15.0]","[datetime.datetime(2022, 11, 28, 14, 8, 36, 224683), 3.1, 5.2]","[datetime.datetime(2022, 11, 28, 14, 8, 36, 224683), 26.0, 320.0]","[datetime.datetime(2022, 11, 28, 14, 8, 36, 224683), 5.5, 22.0]"
3,"[datetime.datetime(2022, 11, 28, 14, 8, 37, 371052), 2.6, 6.8]","[datetime.datetime(2022, 11, 28, 14, 8, 37, 371052), 31.0, 440.0]","[datetime.datetime(2022, 11, 28, 14, 8, 37, 371052), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 14, 8, 37, 371052), 6.0, 15.0]","[datetime.datetime(2022, 11, 28, 14, 8, 37, 371052), 3.1, 5.2]","[datetime.datetime(2022, 11, 28, 14, 8, 37, 371052), 26.0, 320.0]","[datetime.datetime(2022, 11, 28, 14, 8, 37, 371052), 5.5, 22.0]"
4,"[datetime.datetime(2022, 11, 28, 14, 8, 38, 523967), 2.6, 6.8]","[datetime.datetime(2022, 11, 28, 14, 8, 38, 523967), 31.0, 440.0]","[datetime.datetime(2022, 11, 28, 14, 8, 38, 523967), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 14, 8, 38, 523967), 6.0, 15.0]","[datetime.datetime(2022, 11, 28, 14, 8, 38, 523967), 3.1, 5.2]","[datetime.datetime(2022, 11, 28, 14, 8, 38, 523967), 26.0, 320.0]","[datetime.datetime(2022, 11, 28, 14, 8, 38, 523967), 5.5, 22.0]"
5,"[datetime.datetime(2022, 11, 28, 14, 8, 39, 661603), 2.6, 6.8]","[datetime.datetime(2022, 11, 28, 14, 8, 39, 661603), 31.0, 440.0]","[datetime.datetime(2022, 11, 28, 14, 8, 39, 661603), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 14, 8, 39, 661603), 6.0, 15.0]","[datetime.datetime(2022, 11, 28, 14, 8, 39, 661603), 3.1, 5.2]","[datetime.datetime(2022, 11, 28, 14, 8, 39, 661603), 26.0, 320.0]","[datetime.datetime(2022, 11, 28, 14, 8, 39, 661603), 5.5, 22.0]"
6,"[datetime.datetime(2022, 11, 28, 14, 8, 40, 836406), 2.6, 6.8]","[datetime.datetime(2022, 11, 28, 14, 8, 40, 836406), 31.0, 440.0]","[datetime.datetime(2022, 11, 28, 14, 8, 40, 836406), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 14, 8, 40, 836406), 6.0, 15.0]","[datetime.datetime(2022, 11, 28, 14, 8, 40, 836406), 3.1, 5.2]","[datetime.datetime(2022, 11, 28, 14, 8, 40, 836406), 26.0, 320.0]","[datetime.datetime(2022, 11, 28, 14, 8, 40, 836406), 5.5, 22.0]"
7,"[datetime.datetime(2022, 11, 28, 14, 8, 41, 996015), 2.6, 6.8]","[datetime.datetime(2022, 11, 28, 14, 8, 41, 996015), 31.0, 440.0]","[datetime.datetime(2022, 11, 28, 14, 8, 41, 996015), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 14, 8, 41, 996015), 6.0, 15.0]","[datetime.datetime(2022, 11, 28, 14, 8, 41, 996015), 3.1, 5.2]","[datetime.datetime(2022, 11, 28, 14, 8, 41, 996015), 26.0, 320.0]","[datetime.datetime(2022, 11, 28, 14, 8, 41, 996015), 5.5, 22.0]"
8,"[datetime.datetime(2022, 11, 28, 14, 8, 43, 228066), 2.6, 6.8]","[datetime.datetime(2022, 11, 28, 14, 8, 43, 228066), 31.0, 440.0]","[datetime.datetime(2022, 11, 28, 14, 8, 43, 228066), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 14, 8, 43, 228066), 6.0, 15.0]","[datetime.datetime(2022, 11, 28, 14, 8, 43, 228066), 3.1, 5.2]","[datetime.datetime(2022, 11, 28, 14, 8, 43, 228066), 26.0, 320.0]","[datetime.datetime(2022, 11, 28, 14, 8, 43, 228066), 5.5, 22.0]"
9,"[datetime.datetime(2022, 11, 28, 14, 8, 44, 366593), 2.6, 6.8]","[datetime.datetime(2022, 11, 28, 14, 8, 44, 366593), 31.0, 440.0]","[datetime.datetime(2022, 11, 28, 14, 8, 44, 366593), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 14, 8, 44, 366593), 6.0, 15.0]","[datetime.datetime(2022, 11, 28, 14, 8, 44, 366593), 3.1, 5.2]","[datetime.datetime(2022, 11, 28, 14, 8, 44, 366593), 26.0, 320.0]","[datetime.datetime(2022, 11, 28, 14, 8, 44, 366593), 5.5, 22.0]"
