,Homebush Abby,Homebush Classy,Know Stamina,Gotcha Charged,Goldstar Benji,Homebush Gracen,Lucky Luciano,My Idol
09-01-2023 09:02:01.046867,"(4.2, 5.6, 5.386666666666667)","(21.0, 80.0, 72.4375)","(6.5, 8.2, 7.933333333333333)","(3.1, 3.9, 4.039189189189189)","(3.4, 4.2, 4.054838709677419)","(12.0, 30.0, 27.083333333333332)","(51.0, 400.0, 349.7142857142857)","(6.0, 9.4, 8.2)"
09-01-2023 09:02:02.136516,"(4.2, 5.6, 5.386666666666667)","(21.0, 80.0, 72.4375)","(6.5, 8.2, 7.933333333333333)","(3.1, 4.1, 4.039189189189189)","(3.4, 4.2, 4.054838709677419)","(12.0, 30.0, 27.083333333333332)","(51.0, 400.0, 349.7142857142857)","(6.0, 9.4, 8.2)"
09-01-2023 09:02:03.256017,"(4.2, 5.6, 5.386666666666667)","(21.0, 80.0, 72.4375)","(6.5, 8.2, 7.7)","(3.1, 4.1, 4.039189189189189)","(3.4, 4.2, 4.054838709677419)","(12.0, 30.0, 28.409090909090907)","(51.0, 400.0, 312.0)","(6.0, 9.4, 8.466666666666667)"
09-01-2023 09:02:04.276522,"(4.2, 8.2, 7.046153846153846)","(21.0, 80.0, 72.5)","(6.5, 8.2, 7.628571428571429)","(3.1, 4.1, 3.8263157894736843)","(3.4, 4.2, 3.9804878048780488)","(12.0, 30.0, 28.299999999999997)","(51.0, 400.0, 312.5)","(6.0, 9.2, 8.466666666666667)"
09-01-2023 09:02:05.361237,"(4.2, 8.4, 8.2)","(21.0, 80.0, 72.5)","(6.5, 8.2, 7.628571428571429)","(3.1, 4.1, 3.8263157894736843)","(3.4, 4.2, 3.9804878048780488)","(12.0, 30.0, 28.299999999999997)","(51.0, 400.0, 364.8)","(6.0, 9.2, 8.173333333333332)"
09-01-2023 09:02:06.436584,"(4.2, 8.4, 8.141666666666666)","(21.0, 80.0, 72.5)","(6.5, 8.2, 7.628571428571429)","(3.1, 4.1, 3.8)","(3.4, 4.2, 3.9804878048780488)","(12.0, 30.0, 28.299999999999997)","(51.0, 400.0, 364.8)","(6.0, 9.2, 8.173333333333332)"
09-01-2023 09:02:07.469239,"(4.2, 8.4, 8.141666666666666)","(21.0, 80.0, 72.5)","(6.5, 8.2, 7.628571428571429)","(3.1, 4.1, 3.8)","(3.4, 4.2, 3.9804878048780488)","(12.0, 30.0, 28.299999999999997)","(51.0, 400.0, 364.8)","(6.0, 9.2, 8.173333333333332)"
09-01-2023 09:02:08.499684,"(4.2, 8.4, 6.9)","(21.0, 80.0, 72.5)","(6.5, 8.2, 7.628571428571429)","(3.1, 4.1, 3.8)","(3.4, 4.2, 3.9804878048780488)","(12.0, 30.0, 27.57142857142857)","(51.0, 400.0, 364.8)","(6.0, 9.2, 8.173333333333332)"
09-01-2023 09:02:09.594754,"(4.2, 8.4, 6.9)","(21.0, 80.0, 72.5)","(6.5, 8.2, 7.628571428571429)","(3.1, 4.1, 3.8)","(3.4, 4.1, 4.029999999999999)","(12.0, 30.0, 27.57142857142857)","(51.0, 400.0, 364.8)","(6.0, 9.2, 8.173333333333332)"
09-01-2023 09:02:10.725544,"(4.2, 8.4, 6.9)","(21.0, 80.0, 72.5)","(6.5, 8.2, 7.628571428571429)","(3.1, 4.1, 3.7666666666666666)","(3.4, 4.1, 3.939189189189189)","(12.0, 30.0, 27.57142857142857)","(51.0, 400.0, 364.8)","(6.0, 9.2, 8.206451612903226)"
