,Tiffany Twisted,True Character,Austin Dutton,Blazing Bob,Velocity Touched,Lizard,Jimary Everest,Context
12-01-2023 13:35:05.594781,"(51.0, 420.0, 383.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.35, 2.836666666666667)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.5454545454545454)"
12-01-2023 13:35:06.939043,"(51.0, 420.0, 383.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.35, 2.836666666666667)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.5454545454545454)"
12-01-2023 13:35:08.287843,"(51.0, 420.0, 383.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.35, 2.836666666666667)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.5454545454545454)"
12-01-2023 13:35:09.505151,"(51.0, 480.0, 279.33333333333337)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.35, 2.65)","(9.0, 19.5, 16.375)","(51.0, 400.0, 375.83333333333337)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.5454545454545454)"
12-01-2023 13:35:10.753411,"(51.0, 470.0, 428.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.0, 2.65)","(9.0, 19.5, 16.375)","(51.0, 440.0, 375.83333333333337)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.5454545454545454)"
12-01-2023 13:35:12.036293,"(51.0, 470.0, 428.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.0, 2.65)","(9.0, 19.5, 16.375)","(51.0, 440.0, 375.83333333333337)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8823529411764706)"
12-01-2023 13:35:13.324747,"(51.0, 470.0, 428.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.0, 2.65)","(9.0, 19.5, 16.375)","(51.0, 440.0, 375.83333333333337)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8823529411764706)"
12-01-2023 13:35:14.644110,"(51.0, 470.0, 428.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.0, 2.682857142857143)","(9.0, 19.5, 16.375)","(51.0, 440.0, 285.55555555555554)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:16.179339,"(51.0, 420.0, 383.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.3, 2.682857142857143)","(9.0, 19.5, 16.375)","(51.0, 470.0, 243.63636363636363)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:18.068893,"(51.0, 420.0, 383.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.3, 2.640909090909091)","(9.0, 19.5, 16.375)","(51.0, 470.0, 342.5)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
