,Bucks Lodge,Astral Ride,Tricky Strong,Waynes Hope,Motivated Speaker,Brotherfromanother,Ridunculous
06-01-2023 09:07:49.397316,"(5.0, 11.5, 6.7666666666666675)","(1.65, 2.06, 1.4327272727272728)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.5, 12.850000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:07:50.453940,"(5.0, 11.5, 6.7666666666666675)","(1.65, 2.06, 1.4327272727272728)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.5, 12.850000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:07:51.371902,"(5.0, 11.5, 6.7666666666666675)","(1.65, 2.06, 1.4327272727272728)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.5, 12.850000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:07:52.317797,"(5.0, 11.5, 6.7666666666666675)","(1.65, 2.06, 1.4327272727272728)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.5, 12.850000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:07:53.234069,"(5.0, 11.5, 6.7666666666666675)","(1.65, 2.06, 1.4327272727272728)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.5, 12.850000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:07:54.229237,"(5.0, 11.5, 6.7666666666666675)","(1.65, 2.06, 1.4327272727272728)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.5, 12.850000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:07:55.154549,"(5.0, 11.5, 6.7666666666666675)","(1.65, 2.06, 1.4327272727272728)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.5, 12.850000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:07:56.179926,"(5.0, 11.5, 6.7666666666666675)","(1.65, 2.06, 1.4327272727272728)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.5, 12.850000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:07:57.166415,"(5.0, 11.5, 6.7666666666666675)","(1.65, 2.06, 1.4327272727272728)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.5, 12.850000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:07:58.170434,"(5.0, 11.5, 6.7666666666666675)","(1.65, 2.06, 1.4327272727272728)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.5, 12.850000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:07:59.163769,"(5.0, 11.5, 6.7666666666666675)","(1.65, 2.06, 1.4327272727272728)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.5, 12.850000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:00.289665,"(5.0, 11.5, 6.7666666666666675)","(1.65, 2.06, 1.4327272727272728)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.5, 12.850000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:01.266581,"(5.0, 11.5, 6.7666666666666675)","(1.65, 2.06, 1.4327272727272728)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.5, 12.850000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:02.280434,"(5.0, 11.5, 6.7666666666666675)","(1.65, 2.06, 1.4327272727272728)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.5, 12.850000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:03.229576,"(5.0, 11.5, 6.7666666666666675)","(1.65, 2.06, 1.4327272727272728)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.5, 12.850000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:04.170365,"(5.0, 11.5, 6.7666666666666675)","(1.65, 2.06, 1.4327272727272728)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.5, 12.850000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:05.075711,"(5.0, 11.5, 6.7666666666666675)","(1.65, 2.06, 1.4327272727272728)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.5, 12.850000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:06.097555,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:07.086128,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:08.055467,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:09.014553,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:09.987977,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:10.994277,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:12.014244,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:12.963061,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:13.903149,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:14.883741,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:15.793427,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:16.710344,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:17.645401,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:18.578533,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:19.626097,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:20.684163,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
