,Miss San Cisco,Next Stop,Shakey Country,Off Break,Japanese Chica,Canary Wharf,Pitter Patter
06-01-2023 12:29:37.321786,"(2.8, 5.0, 3.532258064516129)","(10.0, 19.5, 17.6)","(20.0, 70.0, 46.81818181818182)","(15.0, 38.0, 23.0)","(4.8, 8.2, 7.463636363636363)","(4.6, 7.4, 5.709090909090909)","(3.3, 5.5, 3.598076923076923)"
06-01-2023 12:29:38.529956,"(2.8, 5.0, 3.532258064516129)","(10.0, 19.5, 17.6)","(20.0, 70.0, 46.81818181818182)","(15.0, 38.0, 23.0)","(4.8, 8.2, 7.463636363636363)","(4.6, 7.4, 5.709090909090909)","(3.3, 5.5, 3.598076923076923)"
06-01-2023 12:29:39.784665,"(2.8, 5.0, 3.532258064516129)","(10.0, 19.5, 17.6)","(20.0, 70.0, 46.81818181818182)","(15.0, 38.0, 23.0)","(4.8, 8.2, 7.463636363636363)","(4.6, 7.4, 5.709090909090909)","(3.3, 5.5, 3.598076923076923)"
06-01-2023 12:29:41.029744,"(2.8, 5.0, 3.532258064516129)","(10.0, 19.5, 17.6)","(20.0, 70.0, 46.81818181818182)","(15.0, 38.0, 23.0)","(4.8, 8.2, 7.463636363636363)","(4.6, 7.4, 5.709090909090909)","(3.3, 5.5, 3.598076923076923)"
06-01-2023 12:29:42.256942,"(2.8, 5.0, 3.532258064516129)","(10.0, 19.5, 17.6)","(20.0, 70.0, 46.81818181818182)","(15.0, 38.0, 23.0)","(4.8, 8.2, 7.463636363636363)","(4.6, 7.4, 5.709090909090909)","(3.3, 5.5, 3.598076923076923)"
06-01-2023 12:29:43.407002,"(2.8, 5.0, 3.532258064516129)","(10.0, 19.5, 17.6)","(20.0, 70.0, 46.81818181818182)","(15.0, 38.0, 23.0)","(4.8, 8.2, 7.463636363636363)","(4.6, 7.4, 5.709090909090909)","(3.3, 5.5, 3.598076923076923)"
06-01-2023 12:29:44.880247,"(2.8, 5.0, 3.532258064516129)","(10.0, 19.5, 17.6)","(20.0, 70.0, 46.81818181818182)","(15.0, 38.0, 23.0)","(4.8, 8.2, 7.5024390243902435)","(4.6, 7.4, 5.709090909090909)","(3.3, 5.5, 3.598076923076923)"
06-01-2023 12:29:46.105975,"(2.8, 5.0, 3.532258064516129)","(10.0, 19.5, 17.6)","(20.0, 70.0, 46.81818181818182)","(15.0, 38.0, 23.0)","(4.8, 8.0, 7.71111111111111)","(4.6, 7.4, 5.709090909090909)","(3.3, 5.5, 3.598076923076923)"
06-01-2023 12:29:47.366770,"(2.8, 5.0, 3.532258064516129)","(10.0, 19.5, 17.6)","(20.0, 70.0, 46.81818181818182)","(15.0, 38.0, 23.0)","(4.8, 7.8, 7.71111111111111)","(4.6, 7.4, 5.709090909090909)","(3.3, 5.5, 3.598076923076923)"
06-01-2023 12:29:48.646908,"(2.8, 5.0, 3.532258064516129)","(10.0, 19.5, 17.6)","(20.0, 70.0, 46.81818181818182)","(15.0, 38.0, 23.0)","(4.8, 7.8, 7.71111111111111)","(4.6, 7.4, 5.709090909090909)","(3.3, 5.5, 3.598076923076923)"
06-01-2023 12:29:49.962543,"(2.8, 5.0, 3.532258064516129)","(10.0, 19.5, 17.6)","(20.0, 70.0, 46.81818181818182)","(15.0, 38.0, 23.0)","(4.8, 7.8, 7.1454545454545455)","(4.6, 7.4, 5.709090909090909)","(3.3, 5.5, 3.598076923076923)"
