,Nyssas Girl,Who Knows Chloe,Diva Dot,Infinite Will,Myola Dawn,Tuzla Bale,Our Frankie
09-01-2023 17:22:38.978860,"(10.0, 22.0, 20.72222222222222)","(8.5, 17.0, 14.133333333333333)","(2.6, 4.1, 2.9)","(41.0, 280.0, 126.25)","(15.0, 42.0, 35.5)","(3.2, 4.6, 3.385)","(3.2, 5.3, 3.6333333333333333)"
09-01-2023 17:22:40.257827,"(10.0, 22.0, 20.72222222222222)","(8.5, 17.0, 14.133333333333333)","(2.6, 4.1, 2.9)","(41.0, 280.0, 126.25)","(15.0, 42.0, 35.5)","(3.2, 4.6, 3.385)","(3.2, 5.3, 3.6333333333333333)"
09-01-2023 17:22:41.551466,"(10.0, 22.0, 20.72222222222222)","(8.5, 17.0, 14.133333333333333)","(2.6, 4.1, 2.9)","(41.0, 280.0, 126.25)","(15.0, 42.0, 35.5)","(3.2, 4.6, 3.385)","(3.2, 5.3, 3.6333333333333333)"
09-01-2023 17:22:42.764628,"(10.0, 22.0, 20.72222222222222)","(8.5, 17.0, 14.133333333333333)","(2.6, 4.1, 2.9)","(41.0, 280.0, 126.25)","(15.0, 42.0, 35.5)","(3.2, 4.6, 3.385)","(3.2, 5.3, 3.6333333333333333)"
09-01-2023 17:22:43.935251,"(10.0, 22.0, 20.72222222222222)","(8.5, 17.0, 14.133333333333333)","(2.6, 4.1, 2.9)","(41.0, 280.0, 126.25)","(15.0, 42.0, 35.5)","(3.2, 4.6, 3.385)","(3.2, 5.3, 3.6333333333333333)"
09-01-2023 17:22:45.068163,"(10.0, 22.0, 20.72222222222222)","(8.5, 17.0, 14.133333333333333)","(2.6, 4.1, 2.7006060606060607)","(41.0, 280.0, 123.14285714285714)","(15.0, 42.0, 35.5)","(3.2, 4.6, 3.385)","(3.2, 5.3, 3.6333333333333333)"
09-01-2023 17:22:46.212370,"(10.0, 22.0, 20.72222222222222)","(8.5, 16.0, 12.742857142857144)","(2.6, 4.0, 2.7006060606060607)","(41.0, 280.0, 123.14285714285714)","(15.0, 42.0, 35.5)","(3.2, 4.6, 3.385)","(3.2, 5.3, 3.6333333333333333)"
09-01-2023 17:22:47.273430,"(10.0, 22.0, 20.72222222222222)","(8.5, 16.0, 12.742857142857144)","(2.6, 4.0, 2.7006060606060607)","(41.0, 280.0, 123.14285714285714)","(15.0, 42.0, 35.5)","(3.2, 4.6, 3.385)","(3.2, 5.3, 3.6333333333333333)"
09-01-2023 17:22:48.388381,"(10.0, 22.0, 20.72222222222222)","(8.5, 16.0, 12.742857142857144)","(2.6, 4.0, 2.7006060606060607)","(41.0, 280.0, 123.14285714285714)","(15.0, 42.0, 35.5)","(3.2, 4.6, 3.385)","(3.2, 5.3, 3.6333333333333333)"
09-01-2023 17:22:49.486937,"(10.0, 22.0, 20.72222222222222)","(8.5, 16.0, 12.742857142857144)","(2.6, 4.0, 2.7006060606060607)","(41.0, 280.0, 123.14285714285714)","(15.0, 42.0, 35.5)","(3.2, 4.6, 3.596153846153846)","(3.2, 5.3, 3.6333333333333333)"
09-01-2023 17:22:50.617508,"(10.0, 22.0, 20.72222222222222)","(8.5, 16.0, 12.742857142857144)","(2.6, 4.0, 2.7006060606060607)","(41.0, 280.0, 123.14285714285714)","(15.0, 42.0, 35.5)","(3.2, 4.6, 3.596153846153846)","(3.2, 5.3, 3.6333333333333333)"
09-01-2023 17:22:51.809480,"(10.0, 22.0, 20.72222222222222)","(8.5, 16.0, 12.742857142857144)","(2.6, 4.0, 2.7006060606060607)","(41.0, 280.0, 123.14285714285714)","(15.0, 42.0, 35.5)","(3.2, 4.6, 3.596153846153846)","(3.2, 5.3, 3.6333333333333333)"
09-01-2023 17:22:52.962315,"(10.0, 22.0, 20.72222222222222)","(8.5, 16.0, 12.742857142857144)","(2.6, 4.0, 2.7006060606060607)","(41.0, 280.0, 123.14285714285714)","(15.0, 42.0, 35.5)","(3.2, 4.6, 3.596153846153846)","(3.2, 5.3, 3.6333333333333333)"
09-01-2023 17:22:54.140097,"(10.0, 22.0, 20.72222222222222)","(8.5, 16.0, 12.742857142857144)","(2.6, 4.0, 2.7006060606060607)","(41.0, 280.0, 123.14285714285714)","(15.0, 42.0, 35.5)","(3.2, 4.6, 3.596153846153846)","(3.2, 5.3, 3.6333333333333333)"
09-01-2023 17:22:55.345658,"(10.0, 22.0, 20.72222222222222)","(8.5, 16.0, 12.742857142857144)","(2.6, 4.0, 2.7006060606060607)","(41.0, 280.0, 123.14285714285714)","(15.0, 42.0, 38.8125)","(3.2, 4.6, 3.596153846153846)","(3.2, 5.3, 3.6333333333333333)"
09-01-2023 17:22:56.618098,"(10.0, 22.0, 20.72222222222222)","(8.5, 16.0, 12.742857142857144)","(2.6, 4.0, 2.7006060606060607)","(41.0, 280.0, 123.14285714285714)","(15.0, 42.0, 38.8125)","(3.2, 4.6, 3.596153846153846)","(3.2, 5.3, 3.6333333333333333)"
09-01-2023 17:22:57.879913,"(10.0, 22.0, 20.72222222222222)","(8.5, 16.0, 12.742857142857144)","(2.6, 4.0, 2.7006060606060607)","(41.0, 280.0, 123.14285714285714)","(15.0, 42.0, 38.8125)","(3.2, 4.6, 3.596153846153846)","(3.2, 5.3, 3.6333333333333333)"
09-01-2023 17:22:59.063707,"(10.0, 22.0, 20.72222222222222)","(8.5, 16.0, 12.742857142857144)","(2.6, 4.0, 2.7006060606060607)","(41.0, 280.0, 123.14285714285714)","(15.0, 42.0, 38.8125)","(3.2, 4.6, 3.596153846153846)","(3.2, 5.3, 3.6333333333333333)"
09-01-2023 17:23:00.184143,"(10.0, 22.0, 20.72222222222222)","(8.5, 16.0, 12.742857142857144)","(2.6, 4.0, 2.7006060606060607)","(41.0, 280.0, 123.14285714285714)","(15.0, 42.0, 38.8125)","(3.2, 4.6, 3.596153846153846)","(3.2, 5.3, 3.6333333333333333)"
09-01-2023 17:23:01.223855,"(10.0, 22.0, 20.72222222222222)","(8.5, 16.0, 12.742857142857144)","(2.6, 4.0, 2.7006060606060607)","(41.0, 280.0, 123.14285714285714)","(15.0, 42.0, 38.8125)","(3.2, 4.6, 3.596153846153846)","(3.2, 5.3, 3.6333333333333333)"
09-01-2023 17:23:02.246879,"(10.0, 22.0, 20.72222222222222)","(8.5, 16.0, 12.742857142857144)","(2.6, 4.0, 2.7006060606060607)","(41.0, 280.0, 123.14285714285714)","(15.0, 42.0, 35.625)","(3.2, 4.6, 3.596153846153846)","(3.2, 5.3, 3.6333333333333333)"
09-01-2023 17:23:03.192230,"(10.0, 22.0, 19.7)","(8.5, 16.5, 12.0)","(2.6, 4.0, 2.7006060606060607)","(41.0, 280.0, 158.0)","(15.0, 42.0, 35.625)","(3.2, 4.6, 3.596153846153846)","(3.2, 5.3, 3.6333333333333333)"
09-01-2023 17:23:04.275265,"(10.0, 22.0, 19.7)","(8.5, 16.5, 12.0)","(2.6, 4.0, 2.7006060606060607)","(41.0, 280.0, 101.42857142857143)","(15.0, 42.0, 36.5)","(3.2, 4.6, 3.596153846153846)","(3.2, 5.3, 3.6333333333333333)"
