,Wheel And Go,Fighting Boxer,Steal Your Style,Tyler Durden,Zipping James,Trenzalore,Mcivor Roxy
11-01-2023 12:09:52.808263,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:09:53.840174,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:09:54.901989,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:09:55.921796,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:09:56.882612,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:09:57.863967,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:09:58.841942,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:09:59.803812,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:00.754740,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:01.712378,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:02.739896,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
