,Akatino,Moenave,Breton,Dollar Dollar,Commanders Watch,Divine Purpose,Craiglea Agena
10-01-2023 14:38:58.131502,"(4.6, 7.0, 6.7)","(10.0, 15.5, 15.0)","(21.0, 48.0, 43.0)","(6.5, 13.0, 11.545454545454545)","(101.0, 200.0, 185.0)","(1.6, 1.67, 1.6573214285714284)","(8.0, 15.5, 14.9)"
10-01-2023 14:38:59.383585,"(4.6, 7.0, 6.933333333333334)","(10.0, 15.5, 15.0)","(21.0, 48.0, 43.0)","(6.5, 13.0, 11.545454545454545)","(101.0, 200.0, 185.0)","(1.6, 1.66, 1.6573214285714284)","(8.0, 15.5, 14.9)"
10-01-2023 14:39:00.595183,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.0)","(21.0, 48.0, 44.0)","(6.5, 13.0, 11.545454545454545)","(101.0, 200.0, 183.33333333333334)","(1.6, 1.66, 1.6573214285714284)","(8.0, 15.5, 14.9)"
10-01-2023 14:39:01.797033,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.0)","(21.0, 48.0, 44.0)","(6.5, 13.0, 11.545454545454545)","(101.0, 200.0, 183.33333333333334)","(1.6, 1.66, 1.6571153846153845)","(8.0, 15.5, 14.9)"
10-01-2023 14:39:03.040256,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.0)","(21.0, 48.0, 44.0)","(6.5, 13.0, 11.5625)","(101.0, 200.0, 183.33333333333334)","(1.6, 1.66, 1.6549999999999998)","(8.0, 15.5, 14.9)"
10-01-2023 14:39:04.299733,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.0)","(21.0, 48.0, 44.0)","(6.5, 12.5, 11.409090909090908)","(101.0, 200.0, 183.33333333333334)","(1.6, 1.66, 1.6549999999999998)","(8.0, 15.5, 14.9)"
10-01-2023 14:39:05.602983,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.0)","(21.0, 48.0, 44.0)","(6.5, 12.5, 11.409090909090908)","(101.0, 200.0, 183.33333333333334)","(1.6, 1.66, 1.6549999999999998)","(8.0, 15.5, 14.9)"
10-01-2023 14:39:06.900666,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.0)","(21.0, 48.0, 44.0)","(6.5, 12.5, 11.409090909090908)","(101.0, 200.0, 183.33333333333334)","(1.6, 1.66, 1.6549999999999998)","(8.0, 15.5, 14.9)"
10-01-2023 14:39:08.162353,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.0)","(21.0, 48.0, 44.0)","(6.5, 12.5, 11.409090909090908)","(101.0, 200.0, 183.33333333333334)","(1.6, 1.66, 1.6549999999999998)","(8.0, 15.5, 14.9)"
10-01-2023 14:39:09.351114,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.0)","(21.0, 48.0, 44.0)","(6.5, 12.5, 11.409090909090908)","(101.0, 200.0, 183.33333333333334)","(1.6, 1.66, 1.6549999999999998)","(8.0, 15.5, 14.9)"
