,Perfect Skipper,Tuta Mimosa,Little Bit Tipsy,Shes So Gnarley,Seldom Quits,Ranger Rod,Septimo
09-01-2023 13:26:47.447141,"(4.4, 7.2, 6.475)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:26:48.646227,"(4.4, 6.8, 6.475)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:26:49.770512,"(4.4, 6.8, 6.475)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:26:50.944515,"(4.4, 6.8, 6.475)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:26:52.120716,"(4.4, 6.8, 6.475)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:26:53.248756,"(4.4, 6.8, 6.475)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:26:54.239941,"(4.4, 6.8, 6.475)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:26:55.406949,"(4.4, 6.8, 6.475)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:26:56.517782,"(4.4, 6.8, 6.475)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:26:57.617975,"(4.4, 6.8, 6.475)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:26:58.655283,"(4.4, 6.8, 6.475)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:26:59.685458,"(4.4, 6.8, 6.475)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:00.801604,"(4.4, 6.8, 6.475)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:01.938672,"(4.4, 6.8, 6.475)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:03.026687,"(4.4, 6.8, 6.475)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:03.990213,"(4.4, 6.8, 6.475)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:05.241208,"(4.4, 6.8, 6.475)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:06.358762,"(4.4, 6.8, 6.475)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:07.476126,"(4.4, 6.8, 6.475)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:08.535300,"(4.4, 6.8, 6.475)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:09.553288,"(4.4, 6.8, 5.3375)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:10.545722,"(4.4, 6.8, 5.3375)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:11.564859,"(4.4, 6.8, 5.3375)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:12.652078,"(4.4, 6.8, 5.3375)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:13.608826,"(4.4, 6.8, 5.3375)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:14.537258,"(4.4, 6.8, 5.3375)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:15.574679,"(4.4, 6.8, 5.3375)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:16.632478,"(4.4, 6.8, 5.3375)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:17.751364,"(4.4, 6.4, 5.1625000000000005)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
