,Connors Comet,Nera Herrera,Hes My Angel,Frisky Felon,Dusty Dylan,Precious Boy,Lads On Tour,Hes Naughty
0,"[datetime.datetime(2022, 11, 28, 17, 54, 0, 671659), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 17, 54, 0, 671659), 6.5, 9.2]","[datetime.datetime(2022, 11, 28, 17, 54, 0, 671659), 10.0, 13.0]","[datetime.datetime(2022, 11, 28, 17, 54, 0, 671659), 2.8, 3.35]","[datetime.datetime(2022, 11, 28, 17, 54, 0, 671659), 16.0, 24.0]","[datetime.datetime(2022, 11, 28, 17, 54, 0, 671659), 18.0, 22.0]","[datetime.datetime(2022, 11, 28, 17, 54, 0, 671659), 51.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 54, 0, 671659), 2.3, 2.64]"
1,"[datetime.datetime(2022, 11, 28, 17, 54, 4, 15214), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 17, 54, 4, 15214), 6.5, 9.4]","[datetime.datetime(2022, 11, 28, 17, 54, 4, 15214), 10.0, 13.0]","[datetime.datetime(2022, 11, 28, 17, 54, 4, 15214), 2.8, 3.35]","[datetime.datetime(2022, 11, 28, 17, 54, 4, 15214), 16.0, 24.0]","[datetime.datetime(2022, 11, 28, 17, 54, 4, 15214), 18.0, 22.0]","[datetime.datetime(2022, 11, 28, 17, 54, 4, 15214), 51.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 54, 4, 15214), 2.3, 2.66]"
2,"[datetime.datetime(2022, 11, 28, 17, 54, 5, 336746), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 17, 54, 5, 336746), 6.5, 9.2]","[datetime.datetime(2022, 11, 28, 17, 54, 5, 336746), 10.0, 13.0]","[datetime.datetime(2022, 11, 28, 17, 54, 5, 336746), 2.8, 3.35]","[datetime.datetime(2022, 11, 28, 17, 54, 5, 336746), 16.0, 24.0]","[datetime.datetime(2022, 11, 28, 17, 54, 5, 336746), 18.0, 22.0]","[datetime.datetime(2022, 11, 28, 17, 54, 5, 336746), 51.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 54, 5, 336746), 2.3, 2.66]"
3,"[datetime.datetime(2022, 11, 28, 17, 54, 6, 551046), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 17, 54, 6, 551046), 6.5, 9.2]","[datetime.datetime(2022, 11, 28, 17, 54, 6, 551046), 10.0, 13.0]","[datetime.datetime(2022, 11, 28, 17, 54, 6, 551046), 2.8, 3.35]","[datetime.datetime(2022, 11, 28, 17, 54, 6, 551046), 16.0, 24.0]","[datetime.datetime(2022, 11, 28, 17, 54, 6, 551046), 18.0, 22.0]","[datetime.datetime(2022, 11, 28, 17, 54, 6, 551046), 51.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 54, 6, 551046), 2.3, 2.64]"
4,"[datetime.datetime(2022, 11, 28, 17, 54, 7, 762817), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 762817), 6.5, 9.2]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 762817), 10.0, 13.0]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 762817), 2.8, 3.35]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 762817), 16.0, 24.0]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 762817), 18.0, 22.0]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 762817), 51.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 762817), 2.3, 2.62]"
5,"[datetime.datetime(2022, 11, 28, 17, 54, 8, 974097), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 974097), 6.5, 8.6]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 974097), 10.0, 13.0]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 974097), 2.8, 3.35]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 974097), 16.0, 24.0]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 974097), 18.0, 22.0]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 974097), 51.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 974097), 2.3, 2.68]"
6,"[datetime.datetime(2022, 11, 28, 17, 54, 10, 148261), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 148261), 6.5, 8.6]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 148261), 10.0, 13.0]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 148261), 2.8, 3.35]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 148261), 16.0, 23.0]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 148261), 18.0, 22.0]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 148261), 51.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 148261), 2.3, 2.68]"
7,"[datetime.datetime(2022, 11, 28, 17, 54, 11, 306131), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 306131), 6.5, 8.6]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 306131), 10.0, 13.0]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 306131), 2.8, 3.35]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 306131), 16.0, 23.0]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 306131), 18.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 306131), 51.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 306131), 2.3, 2.68]"
8,"[datetime.datetime(2022, 11, 28, 17, 54, 12, 491220), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 491220), 6.5, 8.6]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 491220), 10.0, 13.0]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 491220), 2.8, 3.35]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 491220), 16.0, 23.0]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 491220), 18.0, 22.0]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 491220), 51.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 491220), 2.3, 2.68]"
9,"[datetime.datetime(2022, 11, 28, 17, 54, 13, 679024), 21.0, 36.0]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 679024), 6.5, 8.6]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 679024), 10.0, 13.0]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 679024), 2.8, 3.3]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 679024), 16.0, 23.0]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 679024), 18.0, 22.0]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 679024), 51.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 679024), 2.3, 2.72]"
