,Sort Of Sublime,Mac Frenzy,Finniss Rose,Fawn Lawn,Thanks Joan,Suhana,Somersby,Missouri Belle
06-01-2023 11:59:08.474333,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:10.065327,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:11.829468,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:13.353414,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:14.560143,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:15.904427,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:17.279019,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:18.727933,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:20.043048,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:21.379699,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:22.825961,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:24.222837,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:25.607842,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:26.976687,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:28.340834,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:29.649740,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:30.873049,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:32.018892,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:33.202279,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:34.489295,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:35.843163,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:37.242998,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:38.627452,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
