,Fire Up Dallas,Only Ollie,Gambling Grace,Luna Country,Dana Tiny,Victor Prevails,Trunchbull
10-01-2023 12:09:18.799960,"(3.9, 6.2, 5.15)","(8.0, 17.5, 13.666666666666668)","(31.0, 100.0, 71.92307692307692)","(2.0, 2.98, 2.548)","(14.0, 32.0, 25.076923076923077)","(4.0, 7.4, 5.0)","(13.0, 27.0, 21.615384615384613)"
10-01-2023 12:09:19.837635,"(3.9, 6.2, 5.15)","(8.0, 16.5, 13.666666666666668)","(31.0, 100.0, 71.92307692307692)","(2.0, 2.98, 2.548)","(14.0, 32.0, 25.076923076923077)","(4.0, 7.4, 5.0)","(13.0, 27.0, 21.615384615384613)"
10-01-2023 12:09:20.865472,"(3.9, 6.2, 5.15)","(8.0, 16.5, 13.666666666666668)","(31.0, 100.0, 71.92307692307692)","(2.0, 2.98, 2.548)","(14.0, 32.0, 25.076923076923077)","(4.0, 7.4, 5.0)","(13.0, 27.0, 21.615384615384613)"
10-01-2023 12:09:21.977045,"(3.9, 6.2, 5.15)","(8.0, 16.5, 13.666666666666668)","(31.0, 100.0, 71.92307692307692)","(2.0, 2.98, 2.548)","(14.0, 32.0, 25.076923076923077)","(4.0, 7.4, 5.0)","(13.0, 27.0, 21.615384615384613)"
10-01-2023 12:09:23.124136,"(3.9, 6.2, 5.15)","(8.0, 16.5, 13.666666666666668)","(31.0, 100.0, 71.92307692307692)","(2.0, 2.98, 2.548)","(14.0, 32.0, 25.076923076923077)","(4.0, 7.4, 5.0)","(13.0, 27.0, 21.615384615384613)"
10-01-2023 12:09:24.331346,"(3.9, 6.2, 5.15)","(8.0, 16.5, 13.666666666666668)","(31.0, 100.0, 71.92307692307692)","(2.0, 2.98, 2.548)","(14.0, 32.0, 25.076923076923077)","(4.0, 7.4, 5.0)","(13.0, 27.0, 21.615384615384613)"
10-01-2023 12:09:25.435263,"(3.9, 6.2, 5.15)","(8.0, 16.5, 13.666666666666668)","(31.0, 100.0, 71.92307692307692)","(2.0, 2.98, 2.548)","(14.0, 32.0, 25.076923076923077)","(4.0, 7.4, 5.0)","(13.0, 27.0, 21.615384615384613)"
10-01-2023 12:09:26.537175,"(3.9, 6.2, 5.15)","(8.0, 16.5, 13.666666666666668)","(31.0, 100.0, 71.92307692307692)","(2.0, 2.98, 2.548)","(14.0, 32.0, 25.076923076923077)","(4.0, 7.4, 5.0)","(13.0, 27.0, 21.615384615384613)"
10-01-2023 12:09:27.522181,"(3.9, 6.2, 5.15)","(8.0, 16.5, 14.655555555555555)","(31.0, 100.0, 71.92307692307692)","(2.0, 2.98, 2.548)","(14.0, 32.0, 25.076923076923077)","(4.0, 7.4, 5.0)","(13.0, 27.0, 21.615384615384613)"
10-01-2023 12:09:28.520862,"(3.9, 6.2, 5.15)","(8.0, 16.5, 13.8)","(31.0, 100.0, 71.92307692307692)","(2.0, 2.98, 2.548)","(14.0, 32.0, 25.076923076923077)","(4.0, 7.4, 5.0)","(13.0, 27.0, 21.615384615384613)"
10-01-2023 12:09:29.520018,"(3.9, 6.2, 5.15)","(8.0, 16.5, 13.8)","(31.0, 100.0, 71.92307692307692)","(2.0, 2.98, 2.548)","(14.0, 32.0, 25.076923076923077)","(4.0, 7.4, 5.0)","(13.0, 27.0, 21.615384615384613)"
10-01-2023 12:09:30.541225,"(3.9, 6.2, 5.15)","(8.0, 16.5, 13.8)","(31.0, 100.0, 71.92307692307692)","(2.0, 2.98, 2.548)","(14.0, 32.0, 25.076923076923077)","(4.0, 7.4, 5.0)","(13.0, 27.0, 21.615384615384613)"
10-01-2023 12:09:31.600285,"(3.9, 6.2, 5.15)","(8.0, 16.5, 13.8)","(31.0, 100.0, 71.92307692307692)","(2.0, 2.98, 2.548)","(14.0, 32.0, 25.076923076923077)","(4.0, 7.4, 5.0)","(13.0, 27.0, 21.615384615384613)"
10-01-2023 12:09:32.661176,"(3.9, 6.2, 5.15)","(8.0, 16.5, 13.8)","(31.0, 100.0, 71.92307692307692)","(2.0, 2.98, 2.548)","(14.0, 32.0, 25.076923076923077)","(4.0, 7.4, 5.0)","(13.0, 27.0, 21.615384615384613)"
10-01-2023 12:09:33.679870,"(3.9, 6.2, 5.15)","(8.0, 16.5, 13.8)","(31.0, 100.0, 71.92307692307692)","(2.0, 2.98, 2.548)","(14.0, 32.0, 25.076923076923077)","(4.0, 7.4, 5.0)","(13.0, 27.0, 21.615384615384613)"
10-01-2023 12:09:34.673753,"(3.9, 6.2, 5.15)","(8.0, 16.5, 13.8)","(31.0, 100.0, 71.92307692307692)","(2.0, 2.98, 2.548)","(14.0, 32.0, 25.076923076923077)","(4.0, 7.4, 5.0)","(13.0, 27.0, 21.615384615384613)"
10-01-2023 12:09:35.770959,"(3.9, 6.2, 5.15)","(8.0, 16.5, 13.8)","(31.0, 100.0, 71.92307692307692)","(2.0, 2.98, 2.548)","(14.0, 32.0, 25.076923076923077)","(4.0, 7.4, 5.0)","(13.0, 27.0, 21.615384615384613)"
