,Yankee Empire,He Came True,Cairo Boogie,Adys Munny,Gratitude Attitude,Factotum,Similar Taste
12-01-2023 09:15:46.254548,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:15:47.341311,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:15:48.394142,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:15:49.380138,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:15:50.494323,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:15:51.654636,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:15:52.697580,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:15:53.829600,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:15:54.973283,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:15:56.141144,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:15:57.312674,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:15:58.406310,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:15:59.367888,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:00.429985,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:01.522905,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:02.504111,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:03.456553,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:04.522914,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:05.724883,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:06.825053,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
