,Gentle Giant Nz,Polka Dot Dance Nz,Dont Need Bling,Shaded,Spot On Chic,Katlas Dream,Highview Sadler Nz,Rocking Lou,Explosive Bronski
10-01-2023 14:32:58.864347,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.992079207920792)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:00.126363,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.1, 4.049056603773584)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:01.477042,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.992079207920792)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:02.812144,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.9605263157894735)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:04.140224,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.9605263157894735)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:05.480402,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.7)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:06.853895,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.7)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:08.129898,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.5)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:09.560488,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.1, 3.5)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:11.167476,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.1, 3.5)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
