,So You Can,Craiglea Blizzard,Action In Cairns,Charm Slinga,Yardstick,Geminga,Magicourt,Dadorable,Roll Me Away,Oamaru Poppy
04-01-2023 16:06:15.842190,"(6.5, 9.2, 9.148387096774194)","(31.0, 230.0, 138.0)","(12.0, 23.0, 21.0)","(5.0, 8.0, 7.6)","(3.8, 4.1, 4.097087378640777)","(3.7, 5.0, 4.7)","(5.5, 6.4, 5.875)","(14.0, 22.0, 20.166666666666668)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:17.306185,"(6.5, 9.2, 7.771428571428571)","(31.0, 220.0, 162.0)","(12.0, 23.0, 21.0)","(5.0, 8.0, 7.6)","(3.8, 4.1, 4.097087378640777)","(3.7, 5.0, 4.7)","(5.5, 6.4, 5.875)","(14.0, 22.0, 20.166666666666668)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:18.767642,"(6.5, 9.2, 8.2)","(31.0, 220.0, 162.0)","(12.0, 23.0, 21.0)","(5.0, 8.0, 7.6)","(3.8, 4.1, 4.097087378640777)","(3.7, 5.0, 4.7)","(5.5, 6.4, 5.875)","(14.0, 22.0, 20.166666666666668)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:20.271184,"(6.5, 9.2, 8.2)","(31.0, 220.0, 162.0)","(12.0, 23.0, 21.0)","(5.0, 8.0, 7.6)","(3.8, 4.1, 4.097087378640777)","(3.7, 5.0, 4.7)","(5.5, 6.4, 5.875)","(14.0, 22.0, 20.166666666666668)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:21.835743,"(6.5, 9.2, 8.2)","(31.0, 220.0, 162.0)","(12.0, 23.0, 21.0)","(5.0, 8.0, 7.428571428571429)","(3.8, 4.1, 4.098245614035087)","(3.7, 5.0, 4.7)","(5.5, 6.4, 6.372093023255815)","(14.0, 22.0, 20.166666666666668)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:23.280062,"(6.5, 9.2, 8.2)","(31.0, 220.0, 162.0)","(12.0, 23.0, 21.0)","(5.0, 8.0, 7.428571428571429)","(3.8, 4.1, 4.098245614035087)","(3.7, 5.0, 4.7)","(5.5, 6.4, 6.372093023255815)","(14.0, 22.0, 20.166666666666668)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:24.662145,"(6.5, 9.2, 8.2)","(31.0, 220.0, 162.0)","(12.0, 23.0, 21.0)","(5.0, 8.0, 7.428571428571429)","(3.8, 4.1, 4.098245614035087)","(3.7, 5.0, 4.7)","(5.5, 6.4, 6.390243902439025)","(14.0, 22.0, 20.166666666666668)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:26.037802,"(6.5, 9.2, 8.2)","(31.0, 220.0, 162.0)","(12.0, 23.0, 21.0)","(5.0, 8.0, 7.428571428571429)","(3.8, 4.1, 4.098245614035087)","(3.7, 5.0, 4.7)","(5.5, 6.4, 6.390243902439025)","(14.0, 22.0, 20.166666666666668)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:27.448026,"(6.5, 9.2, 8.2)","(31.0, 220.0, 162.0)","(12.0, 23.0, 21.0)","(5.0, 8.0, 7.428571428571429)","(3.8, 4.1, 4.098245614035087)","(3.7, 5.0, 4.7)","(5.5, 6.4, 6.390243902439025)","(14.0, 22.0, 20.77777777777778)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:28.802330,"(6.5, 9.2, 8.2)","(31.0, 220.0, 162.0)","(12.0, 23.0, 21.0)","(5.0, 8.0, 7.6)","(3.8, 4.1, 4.098245614035087)","(3.7, 5.0, 4.7)","(5.5, 6.4, 6.521739130434782)","(14.0, 22.0, 20.77777777777778)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:30.125364,"(6.5, 9.2, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 21.0)","(5.0, 8.0, 7.6)","(3.8, 4.1, 4.098245614035087)","(3.7, 5.0, 4.7)","(5.5, 6.6, 6.521739130434782)","(14.0, 22.0, 20.0)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:31.442416,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 21.0)","(5.0, 8.0, 7.6)","(3.8, 4.1, 4.098245614035087)","(3.7, 5.0, 4.7)","(5.5, 6.6, 6.521739130434782)","(14.0, 22.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:32.795304,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 21.0)","(5.0, 8.0, 7.6)","(3.8, 4.1, 4.098245614035087)","(3.7, 5.0, 4.7)","(5.5, 6.6, 6.521739130434782)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:34.172950,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 21.0)","(5.0, 8.0, 7.6)","(3.8, 4.1, 4.098245614035087)","(3.7, 5.0, 4.7)","(5.5, 6.6, 6.521739130434782)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:35.485974,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 21.0)","(5.0, 8.0, 7.6)","(3.8, 4.1, 4.098245614035087)","(3.7, 5.0, 4.7)","(5.5, 6.6, 6.521739130434782)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:36.771056,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 21.0)","(5.0, 8.0, 7.6)","(3.8, 4.1, 4.098245614035087)","(3.7, 5.0, 4.7)","(5.5, 6.6, 6.521739130434782)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:37.988548,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 21.0)","(5.0, 8.0, 7.6)","(3.8, 4.1, 4.098245614035087)","(3.7, 5.0, 4.7)","(5.5, 6.6, 6.521739130434782)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:39.292220,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 21.0)","(5.0, 8.0, 7.6)","(3.8, 4.1, 4.098245614035087)","(3.7, 5.0, 4.7)","(5.5, 6.6, 6.521739130434782)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:40.665245,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 21.0)","(5.0, 8.0, 7.6)","(3.8, 4.1, 4.6661016949152545)","(3.7, 5.0, 4.7)","(5.5, 6.6, 6.521739130434782)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:41.979169,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 21.0)","(5.0, 8.0, 7.6)","(3.8, 4.7, 4.6661016949152545)","(3.7, 5.0, 4.7)","(5.5, 6.6, 6.521739130434782)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:43.302199,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 21.0)","(5.0, 8.0, 7.6)","(3.8, 4.7, 4.6661016949152545)","(3.7, 5.0, 4.7)","(5.5, 6.6, 6.521739130434782)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:44.545224,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 21.0)","(5.0, 8.0, 7.6)","(3.8, 4.7, 4.6661016949152545)","(3.7, 5.0, 4.7)","(5.5, 6.6, 6.521739130434782)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:45.955889,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 21.0)","(5.0, 8.0, 7.6)","(3.8, 4.7, 4.6661016949152545)","(3.7, 5.0, 4.7)","(5.5, 6.6, 6.521739130434782)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:47.299334,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 21.0)","(5.0, 8.0, 7.6)","(3.8, 4.7, 4.6661016949152545)","(3.7, 5.0, 4.7)","(5.5, 6.6, 6.521739130434782)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:48.679135,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 21.0)","(5.0, 8.0, 7.6)","(3.8, 4.7, 4.6661016949152545)","(3.7, 5.0, 4.7)","(5.5, 6.6, 6.521739130434782)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:50.108860,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 21.0)","(5.0, 8.0, 7.6)","(3.8, 4.7, 4.6661016949152545)","(3.7, 5.0, 4.7)","(5.5, 6.6, 6.521739130434782)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:51.497516,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 19.964285714285715)","(5.0, 8.0, 7.428571428571429)","(3.8, 4.7, 4.6661016949152545)","(3.7, 5.0, 4.7)","(5.5, 6.6, 6.521739130434782)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:52.909419,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 19.964285714285715)","(5.0, 8.0, 7.428571428571429)","(3.8, 4.7, 4.6661016949152545)","(3.7, 5.0, 4.7)","(5.5, 6.6, 6.521739130434782)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:54.278059,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 19.964285714285715)","(5.0, 8.0, 7.428571428571429)","(3.8, 4.7, 4.6661016949152545)","(3.7, 5.0, 4.7)","(5.5, 6.6, 6.521739130434782)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:55.643245,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 18.75)","(5.0, 8.0, 7.428571428571429)","(3.8, 4.7, 4.6661016949152545)","(3.7, 5.0, 4.7)","(5.5, 6.6, 6.521739130434782)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:57.057674,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 18.75)","(5.0, 8.0, 7.428571428571429)","(3.8, 4.7, 4.6661016949152545)","(3.7, 5.0, 4.7)","(5.5, 6.6, 6.521739130434782)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:58.523417,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 18.75)","(5.0, 8.0, 7.428571428571429)","(3.8, 4.7, 4.6661016949152545)","(3.7, 5.0, 4.7)","(5.5, 6.6, 6.521739130434782)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:06:59.904163,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 18.75)","(5.0, 8.0, 7.428571428571429)","(3.8, 4.7, 4.6661016949152545)","(3.7, 5.0, 4.7)","(5.5, 6.6, 6.521739130434782)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:01.224692,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 18.75)","(5.0, 8.0, 7.428571428571429)","(3.8, 4.7, 4.644954128440367)","(3.7, 5.0, 4.7)","(5.5, 6.6, 5.61)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:02.505798,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 18.75)","(5.0, 8.0, 7.428571428571429)","(3.8, 4.7, 4.644954128440367)","(3.7, 5.0, 4.7)","(5.5, 6.6, 5.65)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:03.854144,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 19.0)","(5.0, 8.0, 7.428571428571429)","(3.8, 4.7, 4.644954128440367)","(3.7, 5.0, 4.7)","(5.5, 6.4, 5.6)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
