,Palace House,Prized Benefit,Empire Club,Roys Road,Indiana Falls,Miss Rinehart,Naughty Possum,Playing Hookie
10-01-2023 14:07:55.660333,"(3.5, 4.2, 4.1499999999999995)","(26.0, 50.0, 40.0)","(5.5, 6.6, 6.11)","(3.9, 5.2, 5.1466666666666665)","(8.0, 18.0, 18.125)","(41.0, 70.0, 67.85714285714286)","(13.0, 21.0, 20.666666666666668)","(3.4, 3.8, 3.662)"
10-01-2023 14:07:56.940892,"(3.5, 4.3, 4.247572815533981)","(26.0, 50.0, 40.0)","(5.5, 6.6, 6.11)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 18.125)","(41.0, 70.0, 53.0)","(13.0, 21.0, 20.666666666666668)","(3.4, 3.8, 3.662)"
10-01-2023 14:07:58.241158,"(3.5, 4.3, 4.1499999999999995)","(26.0, 50.0, 40.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 70.0, 58.66666666666667)","(13.0, 21.0, 20.666666666666668)","(3.4, 3.8, 3.6887096774193546)"
10-01-2023 14:07:59.522439,"(3.5, 4.3, 4.1499999999999995)","(26.0, 50.0, 42.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 70.0, 58.66666666666667)","(13.0, 21.0, 20.666666666666668)","(3.4, 3.8, 3.6887096774193546)"
10-01-2023 14:08:00.790493,"(3.5, 4.3, 4.1499999999999995)","(26.0, 50.0, 42.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 70.0, 58.66666666666667)","(13.0, 21.0, 20.666666666666668)","(3.4, 3.8, 3.6887096774193546)"
10-01-2023 14:08:02.055248,"(3.5, 4.3, 4.1499999999999995)","(26.0, 50.0, 42.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 70.0, 63.2)","(13.0, 21.0, 20.666666666666668)","(3.4, 3.8, 3.6887096774193546)"
10-01-2023 14:08:03.358042,"(3.5, 4.3, 4.1499999999999995)","(26.0, 50.0, 41.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 70.0, 63.2)","(13.0, 21.0, 20.666666666666668)","(3.4, 3.8, 3.6887096774193546)"
10-01-2023 14:08:04.691471,"(3.5, 4.3, 4.1499999999999995)","(26.0, 50.0, 41.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 70.0, 63.2)","(13.0, 21.0, 20.90909090909091)","(3.4, 3.8, 3.6887096774193546)"
10-01-2023 14:08:05.966576,"(3.5, 4.3, 4.244897959183674)","(26.0, 50.0, 41.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 70.0, 55.33333333333333)","(13.0, 21.0, 20.666666666666668)","(3.4, 3.8, 3.6887096774193546)"
10-01-2023 14:08:07.245017,"(3.5, 4.3, 4.245454545454545)","(26.0, 50.0, 41.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 65.0, 55.33333333333333)","(13.0, 21.0, 20.666666666666668)","(3.4, 3.8, 3.6887096774193546)"
