,A Rocknroll Star Nz,Sir Simon,Western Bill,Taylors Four,Rock The Nation Nz,Uncle Miki,Great Presence Nz,Tulhurst Terror,Better Than Lexy
07-12-2022 18:21:25.558231,"(6.0, 99999, 99990)","(2.35, 2.74, 2.728)","(3.2, 4.1, 3.965384615384615)","(18.0, 36.0, 28.0)","(51.0, 99999, 99990)","(6.5, 8.8, 8.3)","(61.0, 99999, 99990)","(10.0, 12.5, 11.540816326530612)","(51.0, 130.0, 105.0)"
07-12-2022 18:21:26.932002,"(6.0, 99999, 99990)","(2.35, 2.74, 2.728)","(3.2, 4.1, 3.9115384615384614)","(18.0, 36.0, 33.0)","(51.0, 99999, 99990)","(6.5, 8.8, 8.3)","(61.0, 99999, 99990)","(10.0, 12.5, 11.540816326530612)","(51.0, 130.0, 105.0)"
07-12-2022 18:21:28.303024,"(6.0, 99999, 99990)","(2.35, 2.74, 2.728)","(3.2, 4.1, 3.9115384615384614)","(18.0, 36.0, 33.0)","(51.0, 99999, 99990)","(6.5, 8.8, 8.3)","(61.0, 99999, 99990)","(10.0, 12.5, 11.540816326530612)","(51.0, 130.0, 105.0)"
07-12-2022 18:21:29.602437,"(6.0, 99999, 99990)","(2.35, 2.74, 2.728)","(3.2, 4.1, 3.925)","(18.0, 36.0, 29.333333333333332)","(51.0, 99999, 99990)","(6.5, 8.8, 8.3)","(61.0, 99999, 99990)","(10.0, 12.5, 11.540816326530612)","(51.0, 130.0, 105.0)"
07-12-2022 18:21:30.916487,"(6.0, 99999, 99990)","(2.35, 2.74, 2.728)","(3.2, 4.1, 3.989473684210526)","(18.0, 36.0, 27.333333333333332)","(51.0, 99999, 99990)","(6.5, 8.8, 8.3)","(61.0, 99999, 99990)","(10.0, 12.5, 11.540816326530612)","(51.0, 130.0, 105.0)"
07-12-2022 18:21:32.169266,"(6.0, 99999, 99990)","(2.35, 2.74, 2.728)","(3.2, 4.1, 4.004545454545454)","(18.0, 34.0, 27.333333333333332)","(51.0, 99999, 99990)","(6.5, 8.8, 8.454545454545455)","(61.0, 99999, 99990)","(10.0, 12.5, 11.540816326530612)","(51.0, 130.0, 108.33333333333334)"
07-12-2022 18:21:33.359350,"(6.0, 99999, 99990)","(2.35, 2.74, 2.728)","(3.2, 4.1, 4.004545454545454)","(18.0, 34.0, 27.333333333333332)","(51.0, 99999, 99990)","(6.5, 9.0, 8.454545454545455)","(61.0, 99999, 99990)","(10.0, 12.5, 11.540816326530612)","(51.0, 130.0, 115.0)"
07-12-2022 18:21:34.715312,"(6.0, 99999, 99990)","(2.35, 2.74, 2.7333333333333334)","(3.2, 4.1, 4.004545454545454)","(18.0, 34.0, 27.333333333333332)","(51.0, 99999, 99990)","(6.5, 9.0, 8.454545454545455)","(61.0, 99999, 99990)","(10.0, 12.5, 11.540816326530612)","(51.0, 130.0, 100.0)"
07-12-2022 18:21:36.225714,"(6.0, 99999, 99990)","(2.35, 2.74, 2.72)","(3.2, 4.1, 4.004545454545454)","(19.0, 34.0, 27.333333333333332)","(51.0, 99999, 99990)","(6.5, 9.0, 8.454545454545455)","(61.0, 99999, 99990)","(10.0, 12.5, 11.540816326530612)","(51.0, 120.0, 100.0)"
07-12-2022 18:21:37.760770,"(6.0, 99999, 99990)","(2.35, 2.74, 2.72)","(3.2, 4.1, 4.004545454545454)","(19.0, 34.0, 29.0)","(51.0, 99999, 99990)","(6.5, 9.0, 8.454545454545455)","(61.0, 99999, 99990)","(10.0, 12.5, 11.540816326530612)","(51.0, 110.0, 85.0)"
07-12-2022 18:21:39.201988,"(6.0, 99999, 99990)","(2.35, 2.74, 2.72)","(3.2, 4.1, 4.004545454545454)","(19.0, 34.0, 29.0)","(51.0, 99999, 99990)","(6.5, 9.0, 8.454545454545455)","(61.0, 99999, 99990)","(10.0, 12.5, 11.540816326530612)","(51.0, 110.0, 93.92857142857143)"
07-12-2022 18:21:40.660374,"(6.0, 99999, 99990)","(2.35, 2.74, 2.72)","(3.2, 4.1, 3.9999999999999996)","(19.0, 34.0, 29.0)","(51.0, 99999, 99990)","(6.5, 9.0, 8.454545454545455)","(61.0, 99999, 99990)","(10.0, 12.5, 11.540816326530612)","(51.0, 110.0, 90.0)"
07-12-2022 18:21:42.016064,"(6.0, 99999, 99990)","(2.35, 2.74, 2.72)","(3.2, 4.1, 3.9999999999999996)","(19.0, 34.0, 27.125)","(51.0, 99999, 99990)","(6.5, 9.0, 8.454545454545455)","(61.0, 99999, 99990)","(10.0, 12.5, 11.566666666666666)","(51.0, 110.0, 85.0)"
07-12-2022 18:21:43.340286,"(6.0, 99999, 99990)","(2.35, 2.74, 2.72)","(3.2, 4.1, 3.9999999999999996)","(19.0, 34.0, 27.125)","(51.0, 99999, 99990)","(6.5, 9.0, 8.454545454545455)","(61.0, 99999, 99990)","(10.0, 12.5, 11.566666666666666)","(51.0, 110.0, 85.0)"
07-12-2022 18:21:44.743519,"(6.0, 99999, 99990)","(2.35, 2.74, 2.72)","(3.2, 4.1, 3.9999999999999996)","(19.0, 34.0, 27.125)","(51.0, 99999, 99990)","(6.5, 9.0, 8.454545454545455)","(61.0, 99999, 99990)","(10.0, 12.5, 11.566666666666666)","(51.0, 110.0, 91.66666666666667)"
07-12-2022 18:21:46.105046,"(6.0, 99999, 99990)","(2.35, 2.74, 2.72)","(3.2, 4.1, 3.9999999999999996)","(19.0, 34.0, 27.125)","(51.0, 99999, 99990)","(6.5, 9.0, 8.454545454545455)","(61.0, 99999, 99990)","(10.0, 12.5, 11.566666666666666)","(51.0, 100.0, 85.0)"
07-12-2022 18:21:47.600793,"(6.0, 99999, 99990)","(2.35, 2.74, 2.72)","(3.2, 4.1, 3.9999999999999996)","(19.0, 34.0, 27.125)","(51.0, 99999, 99990)","(6.5, 9.0, 8.454545454545455)","(61.0, 99999, 99990)","(10.0, 12.5, 11.833333333333334)","(51.0, 100.0, 85.0)"
07-12-2022 18:21:48.967798,"(6.0, 99999, 99990)","(2.35, 2.74, 2.72)","(3.2, 4.1, 3.9999999999999996)","(19.0, 34.0, 27.125)","(51.0, 99999, 99990)","(6.5, 9.0, 8.454545454545455)","(61.0, 99999, 99990)","(10.0, 12.0, 11.833333333333334)","(51.0, 100.0, 85.0)"
07-12-2022 18:21:50.262799,"(6.0, 99999, 99990)","(2.35, 2.74, 2.72)","(3.2, 4.1, 3.9999999999999996)","(19.0, 34.0, 27.125)","(51.0, 99999, 99990)","(6.5, 9.0, 8.454545454545455)","(61.0, 99999, 99990)","(10.0, 12.0, 11.566666666666666)","(51.0, 100.0, 85.0)"
07-12-2022 18:21:51.519617,"(6.0, 99999, 99990)","(2.35, 2.74, 2.738983050847458)","(3.2, 4.0, 3.986666666666667)","(19.0, 34.0, 27.125)","(51.0, 99999, 99990)","(6.5, 9.0, 8.454545454545455)","(61.0, 99999, 99990)","(10.0, 12.5, 11.566666666666666)","(51.0, 100.0, 85.0)"
07-12-2022 18:21:52.803090,"(6.0, 99999, 99990)","(2.35, 2.74, 2.736)","(3.2, 4.0, 3.97)","(19.0, 34.0, 27.125)","(51.0, 99999, 99990)","(6.5, 9.0, 8.454545454545455)","(61.0, 99999, 99990)","(10.0, 12.5, 11.566666666666666)","(51.0, 100.0, 85.0)"
07-12-2022 18:21:54.133559,"(6.0, 99999, 99990)","(2.35, 2.74, 2.7381818181818183)","(3.2, 4.0, 3.985)","(19.0, 34.0, 31.272727272727273)","(51.0, 99999, 99990)","(6.5, 9.0, 8.454545454545455)","(71.0, 99999, 99990)","(10.0, 12.5, 11.566666666666666)","(51.0, 100.0, 85.0)"
07-12-2022 18:21:55.483787,"(6.5, 99999, 99990)","(2.35, 2.74, 2.7381818181818183)","(3.2, 4.0, 3.8725)","(19.0, 60.0, 35.06666666666666)","(51.0, 99999, 99990)","(6.5, 9.0, 8.454545454545455)","(71.0, 99999, 99990)","(10.0, 12.5, 11.475609756097562)","(51.0, 100.0, 85.0)"
07-12-2022 18:21:56.721457,"(6.5, 99999, 99990)","(2.35, 2.74, 2.7376470588235295)","(3.2, 4.0, 3.790983606557377)","(19.0, 55.0, 39.53333333333333)","(51.0, 99999, 99990)","(6.5, 9.0, 8.454545454545455)","(71.0, 99999, 99990)","(10.0, 12.5, 11.511764705882353)","(51.0, 100.0, 85.0)"
07-12-2022 18:21:57.994521,"(6.5, 99999, 99990)","(2.35, 2.74, 2.739402985074627)","(3.2, 4.0, 3.790983606557377)","(19.0, 50.0, 31.666666666666668)","(51.0, 99999, 99990)","(6.5, 9.0, 8.314285714285715)","(71.0, 99999, 99990)","(10.0, 12.0, 11.838709677419354)","(51.0, 100.0, 85.0)"
07-12-2022 18:21:59.337715,"(6.5, 99999, 99990)","(2.35, 2.86, 2.8492307692307692)","(3.2, 4.0, 3.8577586206896552)","(19.0, 48.0, 34.0)","(51.0, 99999, 99990)","(6.5, 9.0, 8.314285714285715)","(71.0, 99999, 99990)","(10.0, 12.0, 11.928571428571429)","(51.0, 100.0, 85.0)"
07-12-2022 18:22:00.910124,"(6.5, 99999, 99990)","(2.35, 2.86, 2.85125)","(3.2, 4.0, 3.8577586206896552)","(19.0, 46.0, 34.0)","(51.0, 99999, 99990)","(6.5, 9.0, 8.314285714285715)","(71.0, 99999, 99990)","(10.0, 12.0, 11.928571428571429)","(51.0, 100.0, 85.0)"
07-12-2022 18:22:02.460432,"(6.5, 99999, 99990)","(2.35, 2.86, 2.8425)","(3.2, 4.0, 3.8577586206896552)","(19.0, 46.0, 34.42857142857143)","(51.0, 99999, 99990)","(6.5, 9.0, 8.314285714285715)","(71.0, 99999, 99990)","(10.0, 12.0, 11.928571428571429)","(51.0, 100.0, 85.0)"
07-12-2022 18:22:03.901745,"(6.5, 99999, 99990)","(2.35, 2.86, 2.8425)","(3.2, 4.0, 3.8564102564102565)","(19.0, 46.0, 34.0)","(51.0, 99999, 99990)","(6.5, 9.0, 8.314285714285715)","(71.0, 99999, 99990)","(10.0, 12.0, 11.458823529411765)","(51.0, 100.0, 85.0)"
07-12-2022 18:22:05.390735,"(6.5, 99999, 99990)","(2.35, 2.86, 2.8425)","(3.2, 4.0, 3.8564102564102565)","(19.0, 46.0, 34.0)","(51.0, 99999, 99990)","(6.5, 9.0, 8.384615384615385)","(71.0, 99999, 99990)","(10.0, 12.5, 11.458823529411765)","(51.0, 100.0, 85.0)"
07-12-2022 18:22:07.059031,"(6.5, 99999, 99990)","(2.35, 2.86, 2.8425)","(3.2, 4.0, 3.8564102564102565)","(19.0, 46.0, 34.0)","(51.0, 99999, 99990)","(6.5, 9.0, 8.384615384615385)","(71.0, 99999, 99990)","(10.0, 12.5, 11.458823529411765)","(51.0, 100.0, 85.0)"
07-12-2022 18:22:08.464425,"(6.5, 99999, 99990)","(2.35, 2.86, 2.8425)","(3.2, 4.0, 3.8564102564102565)","(19.0, 46.0, 34.0)","(51.0, 99999, 99990)","(6.5, 9.0, 8.314285714285715)","(71.0, 99999, 99990)","(10.0, 12.5, 11.458823529411765)","(51.0, 100.0, 90.0)"
07-12-2022 18:22:09.691412,"(6.5, 99999, 99990)","(2.35, 2.86, 2.8425)","(3.2, 4.0, 3.8564102564102565)","(19.0, 46.0, 34.0)","(51.0, 99999, 99990)","(6.5, 9.0, 8.4)","(71.0, 99999, 99990)","(10.0, 12.5, 11.928571428571429)","(51.0, 100.0, 90.0)"
07-12-2022 18:22:11.132921,"(6.5, 99999, 99990)","(2.35, 2.86, 2.8425)","(3.2, 4.0, 3.8564102564102565)","(19.0, 46.0, 34.0)","(51.0, 99999, 99990)","(6.5, 9.0, 8.4)","(71.0, 99999, 99990)","(10.0, 12.0, 11.928571428571429)","(51.0, 100.0, 90.0)"
07-12-2022 18:22:12.382414,"(6.5, 99999, 99990)","(2.35, 2.86, 2.842857142857143)","(3.2, 4.0, 3.8564102564102565)","(19.0, 46.0, 34.0)","(51.0, 99999, 99990)","(6.5, 9.0, 8.4)","(71.0, 99999, 99990)","(10.0, 12.0, 11.928571428571429)","(51.0, 100.0, 90.0)"
07-12-2022 18:22:13.658644,"(6.5, 99999, 99990)","(2.35, 2.86, 2.842857142857143)","(3.2, 4.0, 3.8564102564102565)","(19.0, 46.0, 34.0)","(51.0, 99999, 99990)","(6.5, 9.0, 8.4)","(71.0, 99999, 99990)","(10.0, 12.0, 11.928571428571429)","(51.0, 100.0, 90.0)"
07-12-2022 18:22:14.862230,"(6.5, 99999, 99990)","(2.35, 2.86, 2.8575862068965514)","(3.2, 4.0, 3.8564102564102565)","(19.0, 46.0, 34.0)","(51.0, 99999, 99990)","(6.5, 9.0, 8.4)","(71.0, 99999, 99990)","(10.0, 12.0, 11.928571428571429)","(51.0, 100.0, 90.0)"
07-12-2022 18:22:16.038613,"(6.5, 99999, 99990)","(2.35, 2.86, 2.854)","(3.2, 4.0, 3.8564102564102565)","(19.0, 46.0, 34.0)","(51.0, 99999, 99990)","(6.5, 9.0, 8.4)","(71.0, 99999, 99990)","(10.0, 12.0, 11.928571428571429)","(51.0, 100.0, 90.0)"
07-12-2022 18:22:17.210654,"(6.5, 99999, 99990)","(2.35, 2.86, 2.854)","(3.2, 4.0, 3.8564102564102565)","(19.0, 46.0, 34.0)","(51.0, 99999, 99990)","(6.5, 9.0, 8.4)","(71.0, 99999, 99990)","(10.0, 12.0, 11.475609756097562)","(51.0, 100.0, 90.0)"
07-12-2022 18:22:18.431084,"(6.5, 99999, 99990)","(2.35, 2.86, 2.854)","(3.2, 4.0, 3.8564102564102565)","(19.0, 46.0, 34.0)","(51.0, 99999, 99990)","(6.5, 9.0, 8.4)","(71.0, 99999, 99990)","(10.0, 12.5, 11.458823529411765)","(51.0, 100.0, 90.0)"
07-12-2022 18:22:19.671003,"(6.5, 99999, 99990)","(2.35, 2.86, 2.854)","(3.2, 4.0, 3.8564102564102565)","(19.0, 46.0, 34.0)","(51.0, 99999, 99990)","(6.5, 9.0, 7.40952380952381)","(71.0, 99999, 99990)","(10.0, 12.5, 11.475609756097562)","(51.0, 100.0, 90.0)"
07-12-2022 18:22:20.925588,"(6.5, 99999, 99990)","(2.35, 2.86, 2.854)","(3.1, 4.0, 3.860526315789474)","(21.0, 46.0, 34.0)","(51.0, 99999, 99990)","(6.5, 7.8, 7.080701754385965)","(71.0, 99999, 99990)","(10.0, 12.5, 11.45)","(51.0, 100.0, 90.0)"
07-12-2022 18:22:22.254605,"(6.5, 99999, 99990)","(2.35, 2.86, 2.858181818181818)","(3.1, 4.0, 3.860526315789474)","(21.0, 46.0, 35.5)","(51.0, 99999, 99990)","(6.5, 7.8, 7.344444444444444)","(71.0, 99999, 99990)","(10.0, 12.5, 11.827586206896552)","(51.0, 100.0, 90.0)"
07-12-2022 18:22:23.401211,"(6.5, 99999, 99990)","(2.35, 3.2, 3.065)","(3.1, 4.0, 3.8564102564102565)","(21.0, 46.0, 37.81818181818182)","(51.0, 99999, 99990)","(6.5, 7.8, 7.5058823529411764)","(71.0, 99999, 99990)","(10.0, 12.0, 11.827586206896552)","(51.0, 100.0, 90.0)"
07-12-2022 18:22:24.571383,"(6.5, 99999, 99990)","(2.35, 3.2, 2.8577777777777778)","(3.1, 4.0, 3.8564102564102565)","(21.0, 46.0, 37.81818181818182)","(51.0, 99999, 99990)","(6.5, 7.6, 7.5058823529411764)","(71.0, 99999, 99990)","(10.0, 12.0, 11.827586206896552)","(51.0, 100.0, 90.0)"
07-12-2022 18:22:26.134552,"(6.5, 99999, 99990)","(2.35, 3.2, 2.986666666666667)","(3.1, 4.0, 3.8564102564102565)","(21.0, 46.0, 37.81818181818182)","(51.0, 99999, 99990)","(6.5, 7.6, 7.5058823529411764)","(71.0, 99999, 99990)","(10.0, 12.0, 11.88888888888889)","(51.0, 100.0, 90.0)"
07-12-2022 18:22:27.605667,"(6.5, 99999, 99990)","(2.35, 3.1, 2.908)","(3.1, 4.0, 3.8936507936507936)","(21.0, 46.0, 37.81818181818182)","(51.0, 99999, 99990)","(6.5, 7.6, 7.51578947368421)","(71.0, 99999, 99990)","(10.0, 12.0, 11.88888888888889)","(51.0, 100.0, 90.0)"
07-12-2022 18:22:28.837227,"(6.5, 99999, 99990)","(2.35, 3.1, 2.908)","(3.1, 3.9, 3.8936507936507936)","(21.0, 46.0, 37.81818181818182)","(51.0, 99999, 99990)","(6.5, 7.6, 7.307142857142857)","(71.0, 99999, 99990)","(10.0, 12.0, 11.88888888888889)","(51.0, 100.0, 90.0)"
07-12-2022 18:22:30.217035,"(6.5, 99999, 99990)","(2.35, 3.1, 2.908)","(3.1, 3.9, 3.8936507936507936)","(21.0, 46.0, 37.81818181818182)","(51.0, 99999, 99990)","(6.5, 7.8, 7.360714285714286)","(71.0, 99999, 99990)","(10.0, 12.0, 11.88888888888889)","(61.0, 100.0, 90.0)"
07-12-2022 18:22:31.574161,"(6.5, 99999, 99990)","(2.35, 3.1, 2.875)","(3.1, 3.9, 3.8936507936507936)","(21.0, 46.0, 37.81818181818182)","(51.0, 99999, 99990)","(6.5, 7.8, 7.418604651162791)","(71.0, 99999, 99990)","(10.0, 12.0, 11.88888888888889)","(61.0, 100.0, 90.0)"
07-12-2022 18:22:33.264480,"(6.5, 99999, 99990)","(2.35, 3.1, 2.8454545454545452)","(3.1, 3.9, 3.893548387096774)","(21.0, 46.0, 37.81818181818182)","(51.0, 99999, 99990)","(6.5, 7.8, 7.227906976744186)","(71.0, 99999, 99990)","(10.0, 12.0, 11.88888888888889)","(61.0, 100.0, 91.42857142857143)"
07-12-2022 18:22:34.819334,"(6.5, 99999, 99990)","(2.35, 3.05, 2.8499999999999996)","(3.1, 3.9, 3.893548387096774)","(21.0, 46.0, 36.55555555555556)","(51.0, 99999, 99990)","(6.5, 7.8, 7.227906976744186)","(71.0, 99999, 99990)","(10.0, 12.0, 11.88888888888889)","(61.0, 100.0, 143.0)"
07-12-2022 18:22:36.372128,"(6.5, 99999, 99990)","(2.35, 3.05, 2.8499999999999996)","(3.1, 3.9, 3.893548387096774)","(21.0, 46.0, 35.0)","(51.0, 99999, 99990)","(6.5, 7.8, 7.227906976744186)","(71.0, 99999, 99990)","(10.0, 12.0, 11.88888888888889)","(61.0, 230.0, 152.5)"
07-12-2022 18:22:37.892364,"(6.5, 99999, 99990)","(2.35, 3.05, 2.8405555555555555)","(3.1, 3.9, 3.893548387096774)","(21.0, 44.0, 27.833333333333332)","(51.0, 99999, 99990)","(6.5, 7.8, 7.209302325581396)","(71.0, 99999, 99990)","(10.0, 12.0, 11.96)","(61.0, 220.0, 152.5)"
07-12-2022 18:22:39.226528,"(6.5, 99999, 99990)","(2.35, 3.05, 2.855)","(3.1, 3.9, 3.8727272727272726)","(21.0, 42.0, 32.5)","(51.0, 99999, 99990)","(6.5, 7.4, 7.204761904761905)","(71.0, 99999, 99990)","(10.0, 12.0, 11.487951807228916)","(61.0, 220.0, 168.33333333333331)"
07-12-2022 18:22:40.752968,"(6.5, 99999, 99990)","(2.35, 2.98, 2.94)","(3.1, 3.9, 3.892156862745098)","(21.0, 40.0, 26.875)","(51.0, 99999, 99990)","(6.5, 7.4, 7.018604651162791)","(71.0, 99999, 99990)","(10.0, 12.5, 11.487951807228916)","(61.0, 210.0, 168.33333333333331)"
07-12-2022 18:22:42.115336,"(6.5, 99999, 99990)","(2.35, 2.96, 2.955)","(3.1, 3.9, 3.8925925925925924)","(21.0, 40.0, 26.444444444444443)","(51.0, 99999, 99990)","(6.5, 7.4, 7.018604651162791)","(71.0, 99999, 99990)","(10.0, 12.5, 11.931034482758621)","(61.0, 210.0, 131.0)"
07-12-2022 18:22:43.380104,"(6.5, 99999, 99990)","(2.35, 3.0, 2.841176470588235)","(3.1, 3.9, 3.834375)","(21.0, 38.0, 32.333333333333336)","(51.0, 99999, 99990)","(6.5, 7.4, 7.184615384615385)","(71.0, 99999, 99990)","(10.0, 12.0, 11.931034482758621)","(61.0, 200.0, 127.0)"
07-12-2022 18:22:44.761559,"(6.5, 99999, 99990)","(2.35, 3.0, 2.841176470588235)","(3.1, 4.0, 3.8357894736842106)","(21.0, 36.0, 32.6)","(51.0, 99999, 99990)","(6.5, 7.8, 8.184158415841583)","(71.0, 99999, 99990)","(10.0, 12.0, 11.931034482758621)","(61.0, 190.0, 132.5)"
07-12-2022 18:22:46.276179,"(6.5, 99999, 99990)","(2.4, 3.05, 2.9105)","(3.1, 4.0, 3.809090909090909)","(21.0, 34.0, 29.0)","(51.0, 99999, 99990)","(6.5, 8.2, 8.161538461538461)","(71.0, 99999, 99990)","(10.0, 12.0, 11.88888888888889)","(61.0, 180.0, 162.0)"
07-12-2022 18:22:47.875155,"(6.5, 99999, 99990)","(2.4, 3.05, 2.874285714285714)","(3.1, 4.0, 3.8043478260869565)","(21.0, 34.0, 29.0)","(51.0, 99999, 99990)","(6.5, 8.2, 7.824999999999999)","(71.0, 99999, 99990)","(10.0, 12.0, 11.433734939759036)","(61.0, 170.0, 155.45454545454544)"
07-12-2022 18:22:49.579142,"(6.5, 99999, 99990)","(2.4, 3.2, 3.01)","(3.1, 4.0, 3.6523809523809523)","(21.0, 34.0, 29.0)","(51.0, 99999, 99990)","(6.5, 8.2, 7.824999999999999)","(71.0, 99999, 99990)","(10.0, 12.0, 11.923076923076923)","(61.0, 160.0, 140.0)"
07-12-2022 18:22:50.944887,"(6.5, 99999, 99990)","(2.4, 3.2, 2.981818181818182)","(3.1, 3.7, 3.6031578947368423)","(21.0, 34.0, 29.0)","(51.0, 99999, 99990)","(6.5, 8.2, 8.371428571428572)","(71.0, 99999, 99990)","(10.0, 12.0, 11.923076923076923)","(61.0, 160.0, 118.0)"
07-12-2022 18:22:52.504195,"(6.5, 99999, 99990)","(2.4, 3.0, 2.9923076923076923)","(3.1, 3.7, 3.6031578947368423)","(21.0, 34.0, 29.0)","(51.0, 99999, 99990)","(6.5, 8.8, 8.5)","(71.0, 99999, 99990)","(10.0, 12.0, 11.923076923076923)","(61.0, 140.0, 104.28571428571428)"
07-12-2022 18:22:54.146409,"(6.5, 99999, 99990)","(2.4, 3.05, 3.0636363636363635)","(3.1, 3.7, 3.604166666666667)","(21.0, 34.0, 28.0)","(51.0, 99999, 99990)","(6.5, 8.8, 7.61031746031746)","(71.0, 99999, 99990)","(10.0, 12.0, 10.546153846153846)","(61.0, 85.0, 63.84615384615385)"
07-12-2022 18:22:55.816131,"(6.5, 99999, 99990)","(2.4, 3.35, 3.012962962962963)","(3.1, 3.7, 3.585)","(19.0, 36.0, 26.0)","(51.0, 99999, 99990)","(6.5, 7.8, 7.606477732793522)","(71.0, 99999, 99990)","(10.0, 11.0, 10.546153846153846)","(61.0, 85.0, 66.03448275862068)"
07-12-2022 18:22:57.298391,"(6.5, 99999, 99990)","(2.4, 3.35, 3.1541666666666663)","(3.1, 3.7, 3.564705882352941)","(19.0, 38.0, 31.666666666666668)","(51.0, 99999, 99990)","(6.5, 7.8, 7.606477732793522)","(71.0, 99999, 99990)","(10.0, 11.0, 10.561538461538461)","(61.0, 85.0, 69.28571428571429)"
07-12-2022 18:22:58.816858,"(6.5, 99999, 99990)","(2.4, 3.3, 3.1541666666666663)","(3.1, 3.7, 3.5666666666666664)","(19.0, 36.0, 32.75)","(31.0, 99999, 99990)","(6.5, 7.8, 7.606249999999999)","(71.0, 99999, 99990)","(10.0, 11.0, 10.568181818181818)","(61.0, 85.0, 69.82758620689656)"
07-12-2022 18:23:00.156442,"(6.5, 99999, 99990)","(2.4, 3.3, 3.2)","(3.1, 3.6, 3.5666666666666664)","(19.0, 36.0, 33.26315789473684)","(31.0, 99999, 99990)","(6.5, 7.8, 7.607407407407407)","(71.0, 99999, 99990)","(10.0, 11.0, 10.5703125)","(61.0, 85.0, 69.82758620689656)"
07-12-2022 18:23:01.563831,"(7.0, 99999, 99990)","(2.45, 3.3, 3.15)","(3.1, 3.7, 3.567142857142857)","(20.0, 36.0, 29.714285714285715)","(31.0, 99999, 99990)","(6.5, 7.8, 7.601904761904762)","(81.0, 99999, 99990)","(9.0, 11.0, 9.799999999999999)","(61.0, 85.0, 74.35483870967742)"
07-12-2022 18:23:03.025343,"(7.0, 99999, 99990)","(2.45, 3.3, 3.267741935483871)","(3.1, 3.7, 3.6141592920353984)","(20.0, 36.0, 32.0)","(31.0, 99999, 99990)","(6.5, 7.8, 7.604694835680751)","(81.0, 99999, 99990)","(9.0, 11.0, 9.845569620253166)","(61.0, 85.0, 78.57142857142857)"
07-12-2022 18:23:04.575102,"(7.0, 99999, 99990)","(2.45, 3.3, 3.267741935483871)","(3.1, 3.7, 3.6141592920353984)","(20.0, 36.0, 31.75)","(31.0, 99999, 99990)","(6.5, 7.8, 7.604694835680751)","(81.0, 99999, 99990)","(9.0, 11.0, 9.845569620253166)","(61.0, 80.0, 78.57142857142857)"
07-12-2022 18:23:06.101827,"(7.0, 99999, 99990)","(2.45, 3.3, 3.176)","(3.1, 3.7, 3.6253968253968254)","(20.0, 34.0, 31.75)","(31.0, 99999, 99990)","(6.5, 7.8, 7.6031088082901555)","(81.0, 99999, 99990)","(9.0, 11.0, 10.033333333333333)","(61.0, 80.0, 78.125)"
07-12-2022 18:23:07.713033,"(7.0, 99999, 99990)","(2.5, 3.2, 3.341304347826087)","(3.1, 3.7, 3.6253968253968254)","(20.0, 34.0, 28.5)","(31.0, 99999, 99990)","(6.5, 7.8, 7.601047120418848)","(81.0, 99999, 99990)","(9.0, 10.5, 10.266666666666667)","(61.0, 80.0, 75.0)"
07-12-2022 18:23:09.269090,"(7.0, 99999, 99990)","(2.5, 3.35, 3.341304347826087)","(3.1, 3.7, 3.6253968253968254)","(20.0, 36.0, 28.8)","(31.0, 99999, 99990)","(6.5, 7.8, 7.551633986928104)","(81.0, 99999, 99990)","(9.0, 10.5, 9.968421052631578)","(61.0, 80.0, 70.65217391304348)"
07-12-2022 18:23:10.811932,"(7.0, 99999, 99990)","(2.5, 3.35, 3.2934426229508196)","(3.1, 3.7, 3.5582608695652174)","(20.0, 36.0, 30.666666666666668)","(31.0, 99999, 99990)","(6.5, 7.8, 7.966666666666666)","(81.0, 99999, 99990)","(9.0, 10.0, 9.968421052631578)","(61.0, 85.0, 70.625)"
07-12-2022 18:23:12.504744,"(7.0, 99999, 99990)","(2.5, 3.4, 3.2625)","(3.1, 3.6, 3.5544186046511625)","(20.0, 34.0, 29.666666666666668)","(31.0, 99999, 99990)","(6.5, 8.2, 8.085714285714285)","(81.0, 99999, 99990)","(9.0, 10.0, 9.97391304347826)","(61.0, 85.0, 70.625)"
07-12-2022 18:23:14.183459,"(7.0, 99999, 99990)","(2.5, 3.4, 3.208695652173913)","(3.1, 3.6, 3.4691919191919194)","(21.0, 32.0, 27.666666666666668)","(31.0, 99999, 99990)","(6.5, 8.2, 8.3)","(81.0, 99999, 99990)","(9.0, 10.0, 9.95)","(61.0, 85.0, 70.625)"
07-12-2022 18:23:15.931905,"(7.0, 99999, 99990)","(2.5, 3.4, 3.2984615384615386)","(3.1, 3.55, 3.459677419354839)","(21.0, 30.0, 26.5)","(31.0, 99999, 99990)","(6.5, 8.6, 8.571428571428571)","(81.0, 99999, 99990)","(9.0, 10.5, 9.777777777777779)","(61.0, 80.0, 75.0)"
07-12-2022 18:23:17.642006,"(7.0, 99999, 99990)","(2.5, 3.4, 3.29875)","(3.1, 3.55, 3.3047619047619046)","(21.0, 29.0, 26.0)","(31.0, 99999, 99990)","(6.5, 8.8, 8.533333333333333)","(61.0, 99999, 99990)","(9.0, 9.8, 9.777777777777779)","(61.0, 80.0, 75.0)"
07-12-2022 18:23:19.341679,"(7.0, 99999, 99990)","(2.5, 3.4, 3.29875)","(3.1, 3.35, 3.3047619047619046)","(21.0, 28.0, 26.0)","(31.0, 99999, 99990)","(6.5, 9.0, 8.236363636363636)","(61.0, 99999, 99990)","(9.0, 9.8, 9.871428571428572)","(61.0, 80.0, 75.0)"
