,A Rocknroll Star Nz,Sir Simon,Western Bill,Taylors Four,Rock The Nation Nz,Uncle Miki,Great Presence Nz,Tulhurst Terror,Better Than Lexy
07-12-2022 18:20:16.460187,"(6.0, 99999, 99990)","(2.35, 2.84, 2.775714285714286)","(3.2, 3.9, 3.8884615384615384)","(17.0, 24.0, 22.0)","(51.0, 99999, 99990)","(6.5, 8.6, 8.12)","(61.0, 99999, 99990)","(10.0, 24.0, 17.333333333333332)","(51.0, 190.0, 132.5)"
07-12-2022 18:20:17.588237,"(6.0, 99999, 99990)","(2.35, 2.84, 2.775714285714286)","(3.2, 3.9, 3.8884615384615384)","(17.0, 24.0, 22.5)","(51.0, 99999, 99990)","(6.5, 8.6, 8.12)","(61.0, 99999, 99990)","(10.0, 22.0, 17.0)","(51.0, 180.0, 99.16666666666667)"
07-12-2022 18:20:18.738004,"(6.0, 99999, 99990)","(2.35, 2.84, 2.7955555555555556)","(3.2, 3.9, 3.8884615384615384)","(17.0, 24.0, 22.5)","(51.0, 99999, 99990)","(6.5, 8.6, 8.12)","(61.0, 99999, 99990)","(10.0, 19.0, 17.0)","(51.0, 170.0, 97.14285714285714)"
07-12-2022 18:20:19.951681,"(6.0, 99999, 99990)","(2.35, 2.84, 2.7955555555555556)","(3.2, 3.9, 3.830769230769231)","(17.0, 24.0, 22.5)","(51.0, 99999, 99990)","(6.5, 8.6, 8.12)","(61.0, 99999, 99990)","(10.0, 19.0, 17.0)","(51.0, 170.0, 127.5)"
07-12-2022 18:20:21.187682,"(6.0, 99999, 99990)","(2.35, 2.84, 2.8177777777777777)","(3.2, 3.9, 3.830769230769231)","(17.0, 24.0, 22.96153846153846)","(51.0, 99999, 99990)","(6.5, 8.4, 8.3)","(61.0, 99999, 99990)","(10.0, 19.0, 17.0)","(51.0, 170.0, 127.5)"
07-12-2022 18:20:22.397862,"(6.0, 99999, 99990)","(2.35, 2.84, 2.8177777777777777)","(3.2, 3.9, 3.830769230769231)","(17.0, 24.0, 22.96153846153846)","(51.0, 99999, 99990)","(6.5, 8.8, 8.085714285714285)","(61.0, 99999, 99990)","(10.0, 19.0, 18.428571428571427)","(51.0, 170.0, 97.14285714285714)"
07-12-2022 18:20:23.593262,"(6.0, 99999, 99990)","(2.35, 2.84, 2.8177777777777777)","(3.2, 3.9, 3.830769230769231)","(17.0, 24.0, 22.96153846153846)","(51.0, 99999, 99990)","(6.5, 8.8, 8.022222222222222)","(61.0, 99999, 99990)","(10.0, 19.0, 18.666666666666668)","(51.0, 170.0, 97.14285714285714)"
07-12-2022 18:20:24.754878,"(6.0, 99999, 99990)","(2.35, 2.84, 2.8177777777777777)","(3.2, 3.9, 3.830769230769231)","(17.0, 24.0, 22.96153846153846)","(51.0, 99999, 99990)","(6.5, 8.8, 8.022222222222222)","(61.0, 99999, 99990)","(10.0, 19.0, 18.666666666666668)","(51.0, 170.0, 97.14285714285714)"
07-12-2022 18:20:26.310094,"(6.0, 99999, 99990)","(2.35, 2.84, 2.8177777777777777)","(3.2, 3.9, 3.830769230769231)","(17.0, 24.0, 22.96153846153846)","(51.0, 99999, 99990)","(6.5, 8.8, 8.022222222222222)","(61.0, 99999, 99990)","(10.0, 19.0, 18.428571428571427)","(51.0, 170.0, 95.71428571428571)"
07-12-2022 18:20:27.656607,"(6.0, 99999, 99990)","(2.35, 2.84, 2.8177777777777777)","(3.2, 3.9, 3.830769230769231)","(17.0, 24.0, 22.96153846153846)","(51.0, 99999, 99990)","(6.5, 8.8, 8.022222222222222)","(61.0, 99999, 99990)","(10.0, 19.0, 17.0)","(51.0, 160.0, 103.33333333333333)"
07-12-2022 18:20:28.849671,"(6.0, 99999, 99990)","(2.35, 2.84, 2.8177777777777777)","(3.2, 3.9, 3.830769230769231)","(17.0, 24.0, 22.96153846153846)","(51.0, 99999, 99990)","(6.5, 8.8, 8.022222222222222)","(61.0, 99999, 99990)","(10.0, 19.0, 17.0)","(51.0, 140.0, 103.33333333333333)"
07-12-2022 18:20:30.074328,"(6.0, 99999, 99990)","(2.35, 2.84, 2.8177777777777777)","(3.2, 3.9, 3.830769230769231)","(17.0, 24.0, 22.96153846153846)","(51.0, 99999, 99990)","(6.5, 8.8, 8.022222222222222)","(61.0, 99999, 99990)","(10.0, 19.0, 17.0)","(51.0, 120.0, 102.5)"
07-12-2022 18:20:31.371015,"(6.0, 99999, 99990)","(2.35, 2.84, 2.8177777777777777)","(3.2, 3.9, 3.830769230769231)","(17.0, 24.0, 22.96153846153846)","(51.0, 99999, 99990)","(6.5, 8.8, 8.022222222222222)","(61.0, 99999, 99990)","(10.0, 19.0, 17.0)","(51.0, 120.0, 90.83333333333333)"
07-12-2022 18:20:32.582733,"(6.0, 99999, 99990)","(2.35, 2.84, 2.8177777777777777)","(3.2, 3.9, 3.830769230769231)","(17.0, 24.0, 22.96153846153846)","(51.0, 99999, 99990)","(6.5, 8.8, 8.022222222222222)","(61.0, 99999, 99990)","(10.0, 19.0, 17.0)","(51.0, 120.0, 90.83333333333333)"
07-12-2022 18:20:33.888186,"(6.0, 99999, 99990)","(2.35, 2.84, 2.8177777777777777)","(3.2, 3.9, 3.830769230769231)","(17.0, 24.0, 22.96153846153846)","(51.0, 99999, 99990)","(6.5, 8.8, 8.022222222222222)","(61.0, 99999, 99990)","(10.0, 19.0, 17.0)","(51.0, 120.0, 106.66666666666667)"
07-12-2022 18:20:35.090077,"(6.0, 99999, 99990)","(2.35, 2.84, 2.8177777777777777)","(3.2, 3.9, 3.830769230769231)","(17.0, 24.0, 22.96153846153846)","(51.0, 99999, 99990)","(6.5, 8.8, 8.2)","(61.0, 99999, 99990)","(10.0, 19.0, 16.3)","(51.0, 110.0, 100.0)"
07-12-2022 18:20:36.334129,"(6.0, 99999, 99990)","(2.35, 2.84, 2.8177777777777777)","(3.2, 3.9, 3.8666666666666667)","(17.0, 24.0, 22.96153846153846)","(51.0, 99999, 99990)","(6.5, 8.6, 8.2)","(61.0, 99999, 99990)","(10.0, 18.0, 16.96153846153846)","(51.0, 110.0, 100.0)"
07-12-2022 18:20:37.539029,"(6.0, 99999, 99990)","(2.35, 2.84, 2.8177777777777777)","(3.2, 3.9, 3.8666666666666667)","(17.0, 24.0, 22.96153846153846)","(51.0, 99999, 99990)","(6.5, 8.4, 8.2)","(61.0, 99999, 99990)","(10.0, 18.0, 16.25)","(51.0, 110.0, 100.0)"
07-12-2022 18:20:38.789487,"(6.0, 99999, 99990)","(2.35, 2.84, 2.8177777777777777)","(3.2, 3.9, 3.8666666666666667)","(17.0, 24.0, 22.96153846153846)","(51.0, 99999, 99990)","(6.5, 8.4, 8.2)","(61.0, 99999, 99990)","(10.0, 18.0, 16.5)","(51.0, 110.0, 100.0)"
07-12-2022 18:20:40.183026,"(6.0, 99999, 99990)","(2.35, 2.84, 2.8177777777777777)","(3.2, 3.9, 3.8666666666666667)","(17.0, 24.0, 22.96153846153846)","(51.0, 99999, 99990)","(6.5, 8.6, 8.2)","(61.0, 99999, 99990)","(10.0, 18.0, 16.61111111111111)","(51.0, 110.0, 93.5)"
07-12-2022 18:20:41.701530,"(6.0, 99999, 99990)","(2.35, 2.84, 2.8177777777777777)","(3.2, 3.9, 3.8666666666666667)","(17.0, 24.0, 22.96153846153846)","(51.0, 99999, 99990)","(6.5, 8.6, 8.2)","(61.0, 99999, 99990)","(10.0, 17.0, 16.61111111111111)","(51.0, 110.0, 77.5)"
07-12-2022 18:20:43.077872,"(6.0, 99999, 99990)","(2.35, 2.84, 2.8177777777777777)","(3.2, 3.9, 3.8666666666666667)","(17.0, 24.0, 22.96153846153846)","(51.0, 99999, 99990)","(6.5, 8.6, 8.2)","(61.0, 99999, 99990)","(10.0, 17.0, 14.714285714285714)","(51.0, 100.0, 71.66666666666667)"
07-12-2022 18:20:44.263166,"(6.0, 99999, 99990)","(2.35, 2.84, 2.8177777777777777)","(3.2, 3.9, 3.8927272727272726)","(17.0, 24.0, 22.96153846153846)","(51.0, 99999, 99990)","(6.5, 8.6, 8.2)","(61.0, 99999, 99990)","(10.0, 17.0, 14.09090909090909)","(51.0, 95.0, 95.0)"
07-12-2022 18:20:45.432873,"(6.0, 99999, 99990)","(2.35, 2.84, 2.8177777777777777)","(3.2, 3.9, 3.8927272727272726)","(17.0, 24.0, 22.96153846153846)","(51.0, 99999, 99990)","(6.5, 8.6, 8.4)","(61.0, 99999, 99990)","(10.0, 17.0, 14.1875)","(51.0, 130.0, 95.0)"
07-12-2022 18:20:46.648150,"(6.0, 99999, 99990)","(2.35, 2.84, 2.8273170731707316)","(3.2, 3.9, 3.876923076923077)","(17.0, 50.0, 44.916666666666664)","(51.0, 99999, 99990)","(6.5, 8.6, 8.4)","(61.0, 99999, 99990)","(10.0, 17.0, 15.125)","(51.0, 130.0, 95.0)"
07-12-2022 18:20:48.007833,"(6.0, 99999, 99990)","(2.35, 2.84, 2.7)","(3.2, 3.9, 3.876923076923077)","(17.0, 50.0, 33.06666666666666)","(51.0, 99999, 99990)","(6.5, 8.6, 8.4)","(61.0, 99999, 99990)","(10.0, 16.5, 16.0)","(51.0, 130.0, 104.0)"
07-12-2022 18:20:49.363996,"(6.0, 99999, 99990)","(2.35, 2.74, 2.7)","(3.2, 3.9, 3.876923076923077)","(17.0, 44.0, 37.42857142857143)","(51.0, 99999, 99990)","(6.5, 8.6, 8.4)","(61.0, 99999, 99990)","(10.0, 16.5, 16.0)","(51.0, 130.0, 77.5)"
07-12-2022 18:20:50.479033,"(6.0, 99999, 99990)","(2.35, 2.74, 2.7)","(3.2, 3.9, 3.876923076923077)","(17.0, 40.0, 34.0)","(51.0, 99999, 99990)","(6.5, 8.6, 8.3)","(61.0, 99999, 99990)","(10.0, 16.5, 16.1)","(51.0, 110.0, 90.0)"
07-12-2022 18:20:51.735579,"(6.0, 99999, 99990)","(2.35, 2.74, 2.7)","(3.2, 3.9, 3.876923076923077)","(17.0, 38.0, 30.0)","(51.0, 99999, 99990)","(6.5, 8.6, 8.428571428571429)","(61.0, 99999, 99990)","(10.0, 16.5, 16.1)","(51.0, 110.0, 80.0)"
07-12-2022 18:20:53.036753,"(6.0, 99999, 99990)","(2.35, 2.74, 2.7)","(3.2, 3.9, 3.876923076923077)","(17.0, 36.0, 31.333333333333336)","(51.0, 99999, 99990)","(6.5, 8.6, 8.428571428571429)","(61.0, 99999, 99990)","(10.0, 16.5, 16.1)","(51.0, 100.0, 80.0)"
07-12-2022 18:20:54.356026,"(6.0, 99999, 99990)","(2.35, 2.74, 2.7)","(3.2, 3.9, 3.876923076923077)","(17.0, 36.0, 26.0)","(51.0, 99999, 99990)","(6.5, 8.6, 8.428571428571429)","(61.0, 99999, 99990)","(10.0, 16.5, 16.1)","(51.0, 95.0, 82.5)"
07-12-2022 18:20:55.810070,"(6.0, 99999, 99990)","(2.35, 2.74, 2.7)","(3.2, 3.9, 3.876923076923077)","(17.0, 32.0, 26.0)","(51.0, 99999, 99990)","(6.5, 8.6, 8.428571428571429)","(61.0, 99999, 99990)","(10.0, 17.0, 16.0)","(51.0, 100.0, 90.0)"
07-12-2022 18:20:57.151488,"(6.0, 99999, 99990)","(2.35, 2.74, 2.7)","(3.2, 3.9, 3.876923076923077)","(17.0, 32.0, 26.0)","(51.0, 99999, 99990)","(6.5, 8.6, 8.428571428571429)","(61.0, 99999, 99990)","(10.0, 16.5, 15.916666666666668)","(51.0, 100.0, 89.58333333333333)"
07-12-2022 18:20:58.732288,"(6.0, 99999, 99990)","(2.35, 2.74, 2.7)","(3.2, 3.9, 3.876923076923077)","(17.0, 29.0, 26.666666666666668)","(51.0, 99999, 99990)","(6.5, 8.6, 8.428571428571429)","(61.0, 99999, 99990)","(10.0, 16.5, 16.0)","(51.0, 100.0, 89.58333333333333)"
07-12-2022 18:21:00.021084,"(6.0, 99999, 99990)","(2.35, 2.74, 2.7)","(3.2, 3.9, 3.876923076923077)","(18.0, 29.0, 26.666666666666668)","(51.0, 99999, 99990)","(6.5, 8.6, 13.0)","(61.0, 99999, 99990)","(10.0, 16.5, 16.0)","(51.0, 100.0, 89.58333333333333)"
07-12-2022 18:21:01.452258,"(6.0, 99999, 99990)","(2.35, 2.74, 2.728888888888889)","(3.2, 3.9, 3.853125)","(18.0, 29.0, 23.5)","(51.0, 99999, 99990)","(6.5, 14.0, 8.76923076923077)","(61.0, 99999, 99990)","(10.0, 16.5, 16.0)","(51.0, 100.0, 89.58333333333333)"
07-12-2022 18:21:02.855439,"(6.0, 99999, 99990)","(2.35, 2.74, 2.728888888888889)","(3.2, 3.9, 3.853125)","(18.0, 30.0, 22.285714285714285)","(51.0, 99999, 99990)","(6.5, 10.0, 8.514285714285714)","(61.0, 99999, 99990)","(10.0, 16.5, 16.0)","(51.0, 100.0, 92.5)"
07-12-2022 18:21:04.189953,"(6.0, 99999, 99990)","(2.35, 2.74, 2.72)","(3.2, 3.9, 4.0249999999999995)","(18.0, 28.0, 21.3125)","(51.0, 99999, 99990)","(6.5, 9.8, 8.925)","(61.0, 99999, 99990)","(10.0, 16.5, 15.05)","(51.0, 100.0, 123.125)"
07-12-2022 18:21:05.502775,"(6.0, 99999, 99990)","(2.35, 2.74, 2.72)","(3.2, 4.1, 4.0249999999999995)","(18.0, 26.0, 21.3125)","(51.0, 99999, 99990)","(6.5, 9.8, 8.371428571428572)","(61.0, 99999, 99990)","(10.0, 15.5, 14.045454545454545)","(51.0, 130.0, 105.0)"
07-12-2022 18:21:06.779496,"(6.0, 99999, 99990)","(2.35, 2.74, 2.7300000000000004)","(3.2, 4.1, 3.9499999999999997)","(18.0, 25.0, 23.166666666666668)","(51.0, 99999, 99990)","(6.5, 9.8, 8.959999999999999)","(61.0, 99999, 99990)","(10.0, 15.0, 13.25)","(51.0, 130.0, 105.0)"
07-12-2022 18:21:08.113200,"(6.0, 99999, 99990)","(2.35, 2.74, 2.728)","(3.2, 4.1, 3.9124999999999996)","(18.0, 25.0, 24.375)","(51.0, 99999, 99990)","(6.5, 9.6, 8.866666666666667)","(61.0, 99999, 99990)","(10.0, 14.5, 13.125)","(51.0, 130.0, 105.0)"
07-12-2022 18:21:09.532249,"(6.0, 99999, 99990)","(2.35, 2.74, 2.728)","(3.2, 4.1, 3.9124999999999996)","(18.0, 26.0, 23.625)","(51.0, 99999, 99990)","(6.5, 9.4, 8.257142857142856)","(61.0, 99999, 99990)","(10.0, 15.0, 13.5)","(51.0, 130.0, 105.0)"
07-12-2022 18:21:10.891481,"(6.0, 99999, 99990)","(2.35, 2.74, 2.728)","(3.2, 4.1, 3.9124999999999996)","(18.0, 25.0, 35.0)","(51.0, 99999, 99990)","(6.5, 9.4, 8.257142857142856)","(61.0, 99999, 99990)","(10.0, 14.0, 12.9)","(51.0, 130.0, 105.0)"
07-12-2022 18:21:12.197099,"(6.0, 99999, 99990)","(2.35, 2.74, 2.728)","(3.2, 4.1, 3.9124999999999996)","(18.0, 40.0, 35.42857142857143)","(51.0, 99999, 99990)","(6.5, 9.4, 8.142857142857142)","(61.0, 99999, 99990)","(10.0, 13.5, 15.0)","(51.0, 130.0, 123.125)"
07-12-2022 18:21:13.470431,"(6.0, 99999, 99990)","(2.35, 2.74, 2.728)","(3.2, 4.1, 3.925)","(17.0, 38.0, 35.16666666666667)","(51.0, 99999, 99990)","(6.5, 9.0, 8.466666666666667)","(61.0, 99999, 99990)","(10.0, 15.5, 15.0)","(51.0, 130.0, 105.0)"
07-12-2022 18:21:14.774080,"(6.0, 99999, 99990)","(2.35, 2.74, 2.728)","(3.2, 4.1, 3.925)","(17.0, 38.0, 31.714285714285715)","(51.0, 99999, 99990)","(6.5, 8.8, 8.2)","(61.0, 99999, 99990)","(10.0, 15.5, 15.0)","(51.0, 130.0, 105.0)"
07-12-2022 18:21:16.089923,"(6.0, 99999, 99990)","(2.35, 2.74, 2.728)","(3.2, 4.1, 3.925)","(17.0, 36.0, 29.0)","(51.0, 99999, 99990)","(6.5, 8.8, 8.333333333333332)","(61.0, 99999, 99990)","(10.0, 15.5, 15.0)","(51.0, 130.0, 123.125)"
07-12-2022 18:21:17.472315,"(6.0, 99999, 99990)","(2.35, 2.74, 2.728)","(3.2, 4.1, 3.925)","(17.0, 36.0, 32.75)","(51.0, 99999, 99990)","(6.5, 8.6, 8.142857142857142)","(61.0, 99999, 99990)","(10.0, 15.5, 15.0)","(51.0, 130.0, 105.0)"
07-12-2022 18:21:18.872572,"(6.0, 99999, 99990)","(2.35, 2.74, 2.728)","(3.2, 4.1, 3.925)","(17.0, 36.0, 31.666666666666664)","(51.0, 99999, 99990)","(6.5, 9.0, 8.05)","(61.0, 99999, 99990)","(10.0, 15.5, 15.0)","(51.0, 130.0, 105.0)"
07-12-2022 18:21:20.213770,"(6.0, 99999, 99990)","(2.35, 2.74, 2.728)","(3.2, 4.1, 3.925)","(17.0, 36.0, 31.666666666666664)","(51.0, 99999, 99990)","(6.5, 8.8, 8.05)","(61.0, 99999, 99990)","(10.0, 15.5, 15.0)","(51.0, 130.0, 105.0)"
07-12-2022 18:21:21.568032,"(6.0, 99999, 99990)","(2.35, 2.74, 2.728)","(3.2, 4.1, 3.925)","(17.0, 36.0, 31.666666666666664)","(51.0, 99999, 99990)","(6.5, 8.8, 8.05)","(61.0, 99999, 99990)","(10.0, 15.5, 11.540816326530612)","(51.0, 130.0, 105.0)"
07-12-2022 18:21:22.860945,"(6.0, 99999, 99990)","(2.35, 2.74, 2.728)","(3.2, 4.1, 3.925)","(17.0, 36.0, 28.0)","(51.0, 99999, 99990)","(6.5, 8.8, 8.3)","(61.0, 99999, 99990)","(10.0, 12.5, 11.540816326530612)","(51.0, 130.0, 105.0)"
07-12-2022 18:21:24.181164,"(6.0, 99999, 99990)","(2.35, 2.74, 2.728)","(3.2, 4.1, 3.965384615384615)","(17.0, 36.0, 28.0)","(51.0, 99999, 99990)","(6.5, 8.8, 8.3)","(61.0, 99999, 99990)","(10.0, 12.5, 11.540816326530612)","(51.0, 130.0, 105.0)"
