,Victa Mikey,Impress Raja,Little Purpose,Canya Razor,Neangar Boy,Sandave Diamond,Allinga Grin
16-12-2022 12:06:24.542294,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 14.200000000000001)","(21.0, 110.0, 51.09090909090909)","(1.75, 1.8, 1.7834482758620689)","(6.0, 14.0, 10.1)","(6.5, 16.0, 8.32)","(71.0, 570.0, 514.4444444444445)"
16-12-2022 12:06:25.662934,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 11.514285714285714)","(21.0, 110.0, 51.09090909090909)","(1.75, 1.8, 1.7834482758620689)","(6.0, 14.0, 10.1)","(6.5, 16.0, 8.32)","(71.0, 570.0, 514.4444444444445)"
16-12-2022 12:06:26.694553,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 11.514285714285714)","(21.0, 110.0, 51.09090909090909)","(1.75, 1.8, 1.7834482758620689)","(6.0, 14.0, 10.1)","(6.5, 16.0, 8.32)","(71.0, 570.0, 514.4444444444445)"
16-12-2022 12:06:27.704412,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 11.514285714285714)","(21.0, 110.0, 51.09090909090909)","(1.75, 1.8, 1.7834482758620689)","(6.0, 14.0, 10.1)","(6.5, 16.0, 8.32)","(71.0, 570.0, 514.4444444444445)"
16-12-2022 12:06:28.800015,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 11.514285714285714)","(21.0, 110.0, 51.09090909090909)","(1.75, 1.8, 1.7834482758620689)","(6.0, 14.0, 10.1)","(6.5, 16.0, 8.32)","(71.0, 570.0, 514.4444444444445)"
16-12-2022 12:06:29.876654,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 11.514285714285714)","(21.0, 110.0, 51.09090909090909)","(1.75, 1.8, 1.7834482758620689)","(6.0, 14.0, 10.1)","(6.5, 16.0, 8.32)","(71.0, 570.0, 514.4444444444445)"
16-12-2022 12:06:30.980875,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 11.514285714285714)","(21.0, 110.0, 51.09090909090909)","(1.75, 1.8, 1.7834482758620689)","(6.0, 14.0, 10.1)","(6.5, 16.0, 8.32)","(71.0, 570.0, 514.4444444444445)"
16-12-2022 12:06:32.126601,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 11.514285714285714)","(21.0, 110.0, 51.09090909090909)","(1.75, 1.8, 1.7834482758620689)","(6.0, 14.0, 10.1)","(6.5, 16.0, 8.32)","(71.0, 570.0, 514.4444444444445)"
16-12-2022 12:06:33.265011,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 11.514285714285714)","(21.0, 110.0, 51.09090909090909)","(1.75, 1.8, 1.7834482758620689)","(6.0, 14.0, 10.1)","(6.5, 16.0, 8.32)","(71.0, 570.0, 514.4444444444445)"
16-12-2022 12:06:34.303117,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 13.16)","(21.0, 110.0, 53.27272727272727)","(1.75, 1.8, 1.7834482758620689)","(6.0, 14.0, 10.1)","(6.5, 16.0, 8.32)","(71.0, 570.0, 514.4444444444445)"
16-12-2022 12:06:35.280019,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 13.16)","(21.0, 110.0, 53.27272727272727)","(1.75, 1.8, 1.7834482758620689)","(6.0, 14.0, 10.1)","(6.5, 16.0, 8.32)","(71.0, 570.0, 514.4444444444445)"
16-12-2022 12:06:36.250020,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 13.16)","(21.0, 110.0, 53.27272727272727)","(1.75, 1.8, 1.7834482758620689)","(6.0, 14.0, 10.1)","(6.5, 16.0, 8.32)","(71.0, 570.0, 514.4444444444445)"
16-12-2022 12:06:37.233314,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 13.16)","(21.0, 110.0, 53.27272727272727)","(1.75, 1.8, 1.7834482758620689)","(6.0, 14.0, 10.1)","(6.5, 16.0, 8.32)","(71.0, 570.0, 514.4444444444445)"
16-12-2022 12:06:38.262315,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 13.16)","(21.0, 110.0, 53.27272727272727)","(1.75, 1.8, 1.7834482758620689)","(6.0, 14.0, 10.1)","(6.5, 16.0, 8.32)","(71.0, 570.0, 514.4444444444445)"
16-12-2022 12:06:39.286389,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 13.16)","(21.0, 110.0, 53.27272727272727)","(1.75, 1.8, 1.7834482758620689)","(6.0, 14.0, 10.1)","(6.5, 16.0, 8.32)","(71.0, 570.0, 514.4444444444445)"
16-12-2022 12:06:40.355545,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 13.16)","(21.0, 110.0, 53.27272727272727)","(1.75, 1.8, 1.7834482758620689)","(6.0, 14.0, 10.1)","(6.5, 16.0, 8.32)","(71.0, 570.0, 514.4444444444445)"
16-12-2022 12:06:41.393411,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 13.16)","(21.0, 110.0, 53.27272727272727)","(1.75, 1.8, 1.7834482758620689)","(6.0, 14.0, 10.1)","(6.5, 16.0, 8.32)","(71.0, 570.0, 514.4444444444445)"
16-12-2022 12:06:42.378260,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 13.16)","(21.0, 110.0, 53.27272727272727)","(1.75, 1.8, 1.7834482758620689)","(6.0, 14.0, 10.1)","(6.5, 16.0, 8.32)","(71.0, 570.0, 514.4444444444445)"
16-12-2022 12:06:43.348912,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 13.16)","(21.0, 110.0, 53.27272727272727)","(1.75, 1.8, 1.7834482758620689)","(6.0, 14.0, 10.1)","(6.5, 16.0, 8.32)","(71.0, 570.0, 514.4444444444445)"
16-12-2022 12:06:44.284405,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 13.16)","(21.0, 110.0, 53.27272727272727)","(1.75, 1.8, 1.7834482758620689)","(6.0, 14.0, 10.1)","(6.5, 16.0, 8.32)","(71.0, 570.0, 514.4444444444445)"
