,Little Hero,Mr Bigwig,Baptiste,Homebush Reign,Homebush Roman,Homebush Sassy,Tiger Jane
10-01-2023 08:01:33.400526,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:34.342828,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:35.260822,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:36.176519,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:37.143866,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:38.044146,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:39.016225,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:40.044755,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:41.065695,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:42.005233,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
