,Refulgent,Kaseys Money,Shy But Savage,Out Of Aussie,Laughing Les,Pocket Money,Zipping Victoria,Shes In Clover
07-01-2023 18:51:49.673690,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 23.666666666666664)","(91.0, 730.0, 665.0)","(31.0, 320.0, 119.52941176470588)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 43.36363636363636)","(2.5, 4.5, 4.075)"
07-01-2023 18:51:50.786683,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 23.666666666666664)","(91.0, 730.0, 665.0)","(31.0, 320.0, 119.52941176470588)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 43.36363636363636)","(2.5, 4.5, 4.075)"
07-01-2023 18:51:52.075708,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 23.666666666666664)","(91.0, 730.0, 665.0)","(31.0, 320.0, 119.52941176470588)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 43.36363636363636)","(2.5, 4.5, 4.075)"
07-01-2023 18:51:53.149725,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 23.666666666666664)","(91.0, 730.0, 665.0)","(31.0, 320.0, 119.52941176470588)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 43.36363636363636)","(2.5, 4.5, 4.075)"
07-01-2023 18:51:54.297606,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 23.666666666666664)","(91.0, 730.0, 665.0)","(31.0, 320.0, 119.52941176470588)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 43.36363636363636)","(2.5, 4.5, 4.075)"
07-01-2023 18:51:55.370373,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 23.666666666666664)","(91.0, 730.0, 665.0)","(31.0, 320.0, 119.52941176470588)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 43.36363636363636)","(2.5, 4.5, 4.075)"
07-01-2023 18:51:56.440597,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 23.666666666666664)","(91.0, 730.0, 665.0)","(31.0, 320.0, 119.52941176470588)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 43.36363636363636)","(2.5, 4.5, 4.075)"
07-01-2023 18:51:57.563152,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 23.666666666666664)","(91.0, 730.0, 665.0)","(31.0, 320.0, 119.52941176470588)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 43.36363636363636)","(2.5, 4.5, 4.075)"
07-01-2023 18:51:58.813349,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 23.666666666666664)","(91.0, 730.0, 665.0)","(31.0, 320.0, 119.52941176470588)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 43.36363636363636)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:00.186221,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 23.666666666666664)","(91.0, 730.0, 665.0)","(31.0, 320.0, 119.52941176470588)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 43.36363636363636)","(2.5, 4.5, 4.075)"
