,Nolde,Muay Thai,First Premio,Diamond Blitz,Sky Dinski,Mount Pelliar,Claim Of Passion,Bronze Warrior
07-01-2023 09:07:31.604440,"(10.0, 14.0, 12.8)","(13.0, 23.0, 20.333333333333332)","(2.05, 2.26, 2.2303125)","(7.5, 9.8, 9.433333333333334)","(16.0, 29.0, 24.2)","(17.0, 180.0, 75.33333333333333)","(6.5, 9.0, 8.571428571428571)","(6.0, 8.6, 7.885714285714285)"
07-01-2023 09:07:32.660224,"(10.0, 14.0, 12.8)","(13.0, 23.0, 20.333333333333332)","(2.05, 2.28, 2.2303125)","(7.5, 9.8, 9.433333333333334)","(16.0, 29.0, 24.2)","(17.0, 180.0, 75.33333333333333)","(6.5, 9.0, 8.826086956521738)","(6.0, 8.4, 8.08)"
07-01-2023 09:07:33.720425,"(10.0, 14.0, 13.142857142857142)","(13.0, 23.0, 20.333333333333332)","(2.05, 2.28, 2.2303125)","(7.5, 9.8, 9.433333333333334)","(16.0, 29.0, 24.2)","(17.0, 180.0, 75.33333333333333)","(6.5, 9.0, 8.5375)","(6.0, 8.8, 8.533333333333333)"
07-01-2023 09:07:34.709227,"(10.0, 14.0, 13.142857142857142)","(13.0, 22.0, 19.5)","(2.05, 2.3, 2.282857142857143)","(7.5, 9.8, 9.433333333333334)","(16.0, 29.0, 24.2)","(17.0, 180.0, 75.33333333333333)","(6.5, 8.8, 8.5375)","(6.0, 9.0, 8.533333333333333)"
07-01-2023 09:07:35.736162,"(10.0, 14.0, 13.142857142857142)","(13.0, 23.0, 20.333333333333332)","(2.05, 2.28, 2.2303125)","(7.5, 9.8, 9.433333333333334)","(16.0, 29.0, 27.0)","(17.0, 180.0, 87.6)","(6.5, 9.0, 8.65)","(6.0, 8.6, 8.533333333333333)"
07-01-2023 09:07:36.686705,"(10.0, 14.0, 13.142857142857142)","(13.0, 22.0, 19.5)","(2.05, 2.3, 2.2333333333333334)","(7.5, 9.8, 9.433333333333334)","(16.0, 29.0, 27.0)","(17.0, 180.0, 87.6)","(6.5, 8.8, 8.5375)","(6.0, 9.0, 8.533333333333333)"
07-01-2023 09:07:37.695249,"(10.0, 14.0, 13.1)","(13.0, 22.0, 19.5)","(2.05, 2.3, 2.2333333333333334)","(7.5, 9.8, 9.433333333333334)","(16.0, 29.0, 27.0)","(17.0, 180.0, 87.6)","(6.5, 8.8, 8.5375)","(6.0, 9.0, 8.533333333333333)"
07-01-2023 09:07:38.634021,"(10.0, 14.0, 13.181818181818182)","(13.0, 23.0, 20.333333333333332)","(2.05, 2.3, 2.2333333333333334)","(7.5, 9.8, 9.433333333333334)","(16.0, 32.0, 29.0)","(17.0, 160.0, 133.2)","(6.5, 8.8, 8.5375)","(6.0, 8.6, 8.070588235294117)"
07-01-2023 09:07:39.682790,"(10.0, 14.0, 13.181818181818182)","(13.0, 23.0, 19.5)","(2.05, 2.3, 2.2333333333333334)","(7.5, 9.8, 9.433333333333334)","(16.0, 32.0, 29.0)","(17.0, 160.0, 133.2)","(6.5, 8.8, 8.5375)","(6.0, 9.0, 8.533333333333333)"
07-01-2023 09:07:40.741849,"(10.0, 14.0, 13.181818181818182)","(13.0, 23.0, 20.333333333333332)","(2.05, 2.3, 2.2333333333333334)","(7.5, 9.8, 9.433333333333334)","(16.0, 32.0, 29.0)","(17.0, 160.0, 133.2)","(6.5, 8.8, 8.508571428571429)","(6.0, 8.8, 8.688888888888888)"
07-01-2023 09:07:41.738415,"(10.0, 13.5, 12.631578947368421)","(13.0, 23.0, 19.5)","(2.05, 2.22, 2.206666666666667)","(7.5, 9.8, 9.344827586206897)","(16.0, 28.0, 26.714285714285715)","(17.0, 36.0, 32.666666666666664)","(6.5, 8.8, 8.508571428571429)","(6.0, 9.4, 8.688888888888888)"
07-01-2023 09:07:42.750838,"(10.0, 13.5, 12.631578947368421)","(13.0, 23.0, 20.333333333333332)","(2.05, 2.22, 2.206666666666667)","(7.5, 9.8, 9.344827586206897)","(16.0, 28.0, 26.714285714285715)","(17.0, 36.0, 32.666666666666664)","(6.5, 8.8, 8.690909090909091)","(6.0, 9.2, 8.945454545454545)"
07-01-2023 09:07:43.709134,"(10.0, 13.5, 12.631578947368421)","(13.0, 23.0, 19.5)","(2.05, 2.22, 2.206666666666667)","(7.5, 9.8, 9.344827586206897)","(16.0, 28.0, 26.714285714285715)","(18.0, 36.0, 32.666666666666664)","(6.5, 8.8, 8.690909090909091)","(6.0, 9.4, 8.907692307692308)"
