,Areyougonnakissme,Pinnacle Reef,Xcellent Start,Sparked A Notion,Colt Rock,No Love For Juba,Neverpopthecork,Jubas Notion,Lord Of Cork
08-01-2023 12:50:50.347484,"(31.0, 230.0, 177.5)","(26.0, 230.0, 69.125)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 110.0, 193.66666666666669)","(3.2, 6.4, 5.925000000000001)","(21.0, 210.0, 160.0)","(2.2, 2.6, 2.46)","(17.0, 150.0, 81.5)"
08-01-2023 12:50:51.789743,"(31.0, 230.0, 177.5)","(26.0, 230.0, 69.125)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 230.0, 193.66666666666669)","(3.2, 6.4, 5.925000000000001)","(21.0, 210.0, 160.0)","(2.2, 2.6, 2.46)","(17.0, 150.0, 81.5)"
08-01-2023 12:50:53.426112,"(31.0, 230.0, 177.5)","(26.0, 230.0, 69.125)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 230.0, 193.66666666666669)","(3.2, 6.4, 5.925000000000001)","(21.0, 210.0, 160.0)","(2.2, 2.6, 2.46)","(17.0, 150.0, 81.5)"
08-01-2023 12:50:54.968433,"(31.0, 230.0, 177.5)","(26.0, 230.0, 69.125)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 230.0, 193.66666666666669)","(3.2, 6.4, 5.925000000000001)","(21.0, 210.0, 160.0)","(2.2, 2.6, 2.46)","(17.0, 150.0, 81.5)"
08-01-2023 12:50:56.333720,"(31.0, 230.0, 177.5)","(26.0, 230.0, 69.125)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 230.0, 193.66666666666669)","(3.2, 6.4, 5.925000000000001)","(21.0, 210.0, 160.0)","(2.2, 2.6, 2.46)","(17.0, 150.0, 81.5)"
08-01-2023 12:50:57.667201,"(31.0, 230.0, 177.5)","(26.0, 230.0, 69.125)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 230.0, 193.66666666666669)","(3.2, 6.4, 5.925000000000001)","(21.0, 210.0, 160.0)","(2.2, 2.6, 2.46)","(17.0, 150.0, 81.5)"
08-01-2023 12:50:59.007200,"(31.0, 230.0, 177.5)","(26.0, 230.0, 69.125)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 230.0, 193.66666666666669)","(3.2, 6.4, 5.925000000000001)","(21.0, 210.0, 160.0)","(2.2, 2.6, 2.46)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:00.280812,"(31.0, 230.0, 177.5)","(26.0, 230.0, 69.125)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 230.0, 193.66666666666669)","(3.2, 6.4, 5.925000000000001)","(21.0, 210.0, 160.0)","(2.2, 2.6, 2.46)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:01.524515,"(31.0, 230.0, 177.5)","(26.0, 230.0, 69.125)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 230.0, 193.66666666666669)","(3.2, 6.4, 5.925000000000001)","(21.0, 210.0, 160.0)","(2.2, 2.6, 2.46)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:02.739287,"(31.0, 230.0, 177.5)","(26.0, 230.0, 69.125)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 230.0, 193.66666666666669)","(3.2, 6.4, 5.925000000000001)","(21.0, 210.0, 160.0)","(2.2, 2.6, 2.46)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:03.985451,"(31.0, 230.0, 177.5)","(26.0, 230.0, 69.125)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 230.0, 193.66666666666669)","(3.2, 6.4, 5.925000000000001)","(21.0, 210.0, 160.0)","(2.2, 2.6, 2.46)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:05.286086,"(31.0, 230.0, 177.5)","(26.0, 230.0, 69.125)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 230.0, 193.66666666666669)","(3.2, 6.4, 5.925000000000001)","(21.0, 210.0, 160.0)","(2.2, 2.6, 2.46)","(17.0, 150.0, 81.5)"
