,Hilltop Surfer,El Awoman,Aces Shadow,Celestial Topaz,Always Steamed Up,Soho Nadel
09-01-2023 12:25:50.894117,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:25:51.829554,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:25:52.834093,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:25:53.842156,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:25:54.715044,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:25:55.652515,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:25:56.610080,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:25:57.513825,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:25:58.465852,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:25:59.456950,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:00.336555,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:01.264121,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:02.238590,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:03.077575,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:04.020754,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:04.973750,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:05.884231,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:06.835257,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:07.745183,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:08.647636,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:09.605182,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:10.548735,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:11.530948,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:12.493887,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:13.366454,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:14.274822,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:15.259447,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:16.200234,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:17.186935,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:18.121984,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:19.015160,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:19.940183,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:20.895732,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:21.881751,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:22.869628,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:23.874824,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:24.873632,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:25.794739,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
