,Sir Simon,Swoop Dog,White Hawk,Alpine Wolf,Shbourne Renegade,Reward Achiever,Rising Light,Shbourne Rebel,Vallabar,Dramazing,Ethical Dilemma,Skyway Star,Maincourt,Argyle Beach
11-01-2023 15:12:25.921053,"(5.5, 8.0, 7.454545454545454)","(4.4, 5.1, 4.875)","(41.0, 100.0, 40.81818181818182)","(5.0, 7.6, 6.533333333333333)","(31.0, 95.0, 69.0)","(4.8, 10.0, 8.577777777777778)","(9.0, 10.0, 9.333333333333334)","(19.0, 30.0, 21.0)","(31.0, 80.0, 57.0)","(7.0, 8.6, 7.492307692307692)","(81.0, 190.0, 132.5)","(101.0, 210.0, 164.0)","(101.0, 220.0, 175.0)","(41.0, 100.0, 77.6)"
11-01-2023 15:12:27.682010,"(5.5, 8.0, 7.454545454545454)","(4.4, 5.1, 4.875)","(41.0, 100.0, 40.81818181818182)","(5.0, 7.6, 6.50909090909091)","(31.0, 95.0, 69.0)","(4.8, 10.0, 8.4875)","(9.0, 10.0, 9.333333333333334)","(19.0, 30.0, 21.0)","(31.0, 80.0, 57.0)","(7.0, 8.6, 7.492307692307692)","(81.0, 190.0, 132.5)","(101.0, 210.0, 164.0)","(101.0, 220.0, 175.0)","(41.0, 100.0, 77.6)"
11-01-2023 15:12:29.353200,"(5.5, 8.0, 7.454545454545454)","(4.4, 5.1, 4.875)","(41.0, 100.0, 40.81818181818182)","(5.0, 7.4, 6.7)","(31.0, 95.0, 69.0)","(4.8, 9.8, 8.4875)","(9.0, 10.0, 9.333333333333334)","(19.0, 30.0, 21.0)","(31.0, 80.0, 57.0)","(7.0, 8.6, 7.492307692307692)","(81.0, 190.0, 132.5)","(101.0, 210.0, 164.0)","(101.0, 220.0, 175.0)","(41.0, 100.0, 77.6)"
11-01-2023 15:12:31.173200,"(5.5, 8.0, 7.454545454545454)","(4.4, 5.1, 4.875)","(41.0, 100.0, 51.53846153846153)","(5.0, 7.4, 6.7)","(31.0, 95.0, 69.0)","(4.8, 9.8, 8.7)","(9.0, 10.0, 9.647058823529411)","(19.0, 30.0, 21.0)","(31.0, 80.0, 57.0)","(7.0, 8.6, 7.492307692307692)","(81.0, 190.0, 144.0)","(101.0, 210.0, 136.66666666666666)","(101.0, 220.0, 175.0)","(41.0, 100.0, 84.57142857142857)"
11-01-2023 15:12:32.748039,"(5.5, 8.0, 7.454545454545454)","(4.4, 5.1, 4.875)","(41.0, 100.0, 51.53846153846153)","(5.0, 7.4, 6.4)","(31.0, 95.0, 69.0)","(4.8, 9.6, 8.55)","(9.0, 10.0, 9.647058823529411)","(19.0, 30.0, 23.0)","(31.0, 80.0, 57.0)","(7.0, 8.6, 7.0)","(81.0, 190.0, 144.0)","(101.0, 210.0, 136.66666666666666)","(101.0, 220.0, 175.0)","(41.0, 100.0, 84.57142857142857)"
11-01-2023 15:12:34.421078,"(5.5, 8.0, 7.454545454545454)","(4.4, 5.1, 4.875)","(41.0, 100.0, 51.53846153846153)","(5.0, 7.4, 6.4)","(31.0, 95.0, 69.0)","(4.8, 9.6, 8.55)","(9.0, 10.0, 9.647058823529411)","(19.0, 30.0, 23.0)","(31.0, 80.0, 57.0)","(7.0, 8.6, 7.0)","(81.0, 190.0, 103.75)","(101.0, 210.0, 136.66666666666666)","(101.0, 220.0, 175.0)","(41.0, 100.0, 84.57142857142857)"
11-01-2023 15:12:35.978164,"(5.5, 8.0, 7.454545454545454)","(4.4, 5.1, 4.875)","(41.0, 100.0, 51.53846153846153)","(5.0, 7.4, 6.4)","(31.0, 95.0, 69.0)","(4.8, 9.6, 8.55)","(9.0, 10.0, 9.647058823529411)","(19.0, 30.0, 23.0)","(31.0, 80.0, 57.0)","(7.0, 8.6, 7.0)","(81.0, 190.0, 103.75)","(101.0, 210.0, 136.66666666666666)","(101.0, 220.0, 175.0)","(41.0, 100.0, 84.57142857142857)"
11-01-2023 15:12:37.563571,"(5.5, 8.0, 7.454545454545454)","(4.4, 5.1, 4.875)","(41.0, 100.0, 51.53846153846153)","(5.0, 7.4, 6.4)","(31.0, 95.0, 69.0)","(4.8, 9.6, 8.55)","(9.0, 10.0, 9.647058823529411)","(19.0, 30.0, 23.0)","(31.0, 80.0, 57.0)","(7.0, 8.6, 7.0)","(81.0, 190.0, 103.75)","(101.0, 210.0, 136.66666666666666)","(101.0, 220.0, 175.0)","(41.0, 100.0, 84.57142857142857)"
11-01-2023 15:12:39.161316,"(5.5, 8.0, 7.454545454545454)","(4.4, 5.1, 4.875)","(41.0, 100.0, 51.53846153846153)","(5.0, 7.4, 6.4)","(31.0, 95.0, 69.0)","(4.8, 9.6, 8.55)","(9.0, 10.0, 9.647058823529411)","(19.0, 30.0, 23.0)","(31.0, 80.0, 57.0)","(7.0, 8.6, 7.0)","(81.0, 190.0, 103.75)","(101.0, 210.0, 136.66666666666666)","(101.0, 220.0, 175.0)","(41.0, 100.0, 84.57142857142857)"
11-01-2023 15:12:40.847931,"(5.5, 8.0, 7.454545454545454)","(4.4, 5.1, 4.875)","(41.0, 100.0, 51.53846153846153)","(5.0, 7.4, 6.4)","(31.0, 95.0, 69.0)","(4.8, 9.6, 8.55)","(9.0, 10.0, 9.647058823529411)","(19.0, 30.0, 23.0)","(31.0, 80.0, 57.0)","(7.0, 8.6, 7.0)","(81.0, 190.0, 103.75)","(101.0, 210.0, 136.66666666666666)","(101.0, 220.0, 175.0)","(41.0, 100.0, 84.57142857142857)"
