,Rosdue Tyson,Second Stringer,Majestic Shot,Paparazzi Prang,Kingsbrae Cheryl,Miss Defy Me,Whether To Fly,Lizard
0,"[datetime.datetime(2022, 11, 28, 12, 58, 43, 664462), 3.5, 4.1]","[datetime.datetime(2022, 11, 28, 12, 58, 43, 664462), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 12, 58, 43, 664462), 4.4, 10.5]","[datetime.datetime(2022, 11, 28, 12, 58, 43, 664462), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 12, 58, 43, 664462), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 12, 58, 43, 664462), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 12, 58, 43, 664462), 6.0, 14.5]","[datetime.datetime(2022, 11, 28, 12, 58, 43, 664462), 3.9, 8.6]"
1,"[datetime.datetime(2022, 11, 28, 12, 58, 44, 811423), 3.5, 4.1]","[datetime.datetime(2022, 11, 28, 12, 58, 44, 811423), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 12, 58, 44, 811423), 4.4, 10.5]","[datetime.datetime(2022, 11, 28, 12, 58, 44, 811423), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 12, 58, 44, 811423), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 12, 58, 44, 811423), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 12, 58, 44, 811423), 6.0, 14.5]","[datetime.datetime(2022, 11, 28, 12, 58, 44, 811423), 3.9, 8.6]"
2,"[datetime.datetime(2022, 11, 28, 12, 58, 45, 948517), 3.5, 4.1]","[datetime.datetime(2022, 11, 28, 12, 58, 45, 948517), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 12, 58, 45, 948517), 4.4, 10.5]","[datetime.datetime(2022, 11, 28, 12, 58, 45, 948517), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 12, 58, 45, 948517), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 12, 58, 45, 948517), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 12, 58, 45, 948517), 6.0, 14.5]","[datetime.datetime(2022, 11, 28, 12, 58, 45, 948517), 3.9, 8.6]"
3,"[datetime.datetime(2022, 11, 28, 12, 58, 47, 87979), 3.5, 4.1]","[datetime.datetime(2022, 11, 28, 12, 58, 47, 87979), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 12, 58, 47, 87979), 4.4, 10.5]","[datetime.datetime(2022, 11, 28, 12, 58, 47, 87979), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 12, 58, 47, 87979), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 12, 58, 47, 87979), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 12, 58, 47, 87979), 6.0, 14.5]","[datetime.datetime(2022, 11, 28, 12, 58, 47, 87979), 3.9, 8.6]"
4,"[datetime.datetime(2022, 11, 28, 12, 58, 48, 213697), 3.5, 4.1]","[datetime.datetime(2022, 11, 28, 12, 58, 48, 213697), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 12, 58, 48, 213697), 4.4, 10.5]","[datetime.datetime(2022, 11, 28, 12, 58, 48, 213697), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 12, 58, 48, 213697), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 12, 58, 48, 213697), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 12, 58, 48, 213697), 6.0, 14.5]","[datetime.datetime(2022, 11, 28, 12, 58, 48, 213697), 3.9, 8.6]"
5,"[datetime.datetime(2022, 11, 28, 12, 58, 49, 343391), 3.5, 4.1]","[datetime.datetime(2022, 11, 28, 12, 58, 49, 343391), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 12, 58, 49, 343391), 4.4, 10.5]","[datetime.datetime(2022, 11, 28, 12, 58, 49, 343391), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 12, 58, 49, 343391), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 12, 58, 49, 343391), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 12, 58, 49, 343391), 6.0, 14.5]","[datetime.datetime(2022, 11, 28, 12, 58, 49, 343391), 3.9, 8.6]"
6,"[datetime.datetime(2022, 11, 28, 12, 58, 50, 477997), 3.5, 4.1]","[datetime.datetime(2022, 11, 28, 12, 58, 50, 477997), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 12, 58, 50, 477997), 4.4, 10.5]","[datetime.datetime(2022, 11, 28, 12, 58, 50, 477997), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 12, 58, 50, 477997), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 12, 58, 50, 477997), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 12, 58, 50, 477997), 6.0, 14.5]","[datetime.datetime(2022, 11, 28, 12, 58, 50, 477997), 3.9, 8.6]"
7,"[datetime.datetime(2022, 11, 28, 12, 58, 51, 605325), 3.5, 4.1]","[datetime.datetime(2022, 11, 28, 12, 58, 51, 605325), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 12, 58, 51, 605325), 4.4, 10.5]","[datetime.datetime(2022, 11, 28, 12, 58, 51, 605325), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 12, 58, 51, 605325), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 12, 58, 51, 605325), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 12, 58, 51, 605325), 6.0, 14.5]","[datetime.datetime(2022, 11, 28, 12, 58, 51, 605325), 3.9, 8.6]"
8,"[datetime.datetime(2022, 11, 28, 12, 58, 52, 728688), 3.5, 4.1]","[datetime.datetime(2022, 11, 28, 12, 58, 52, 728688), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 12, 58, 52, 728688), 4.4, 10.5]","[datetime.datetime(2022, 11, 28, 12, 58, 52, 728688), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 12, 58, 52, 728688), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 12, 58, 52, 728688), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 12, 58, 52, 728688), 6.0, 14.5]","[datetime.datetime(2022, 11, 28, 12, 58, 52, 728688), 3.9, 8.6]"
9,"[datetime.datetime(2022, 11, 28, 12, 58, 53, 865012), 3.5, 4.1]","[datetime.datetime(2022, 11, 28, 12, 58, 53, 865012), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 12, 58, 53, 865012), 4.4, 10.5]","[datetime.datetime(2022, 11, 28, 12, 58, 53, 865012), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 12, 58, 53, 865012), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 12, 58, 53, 865012), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 12, 58, 53, 865012), 6.0, 14.5]","[datetime.datetime(2022, 11, 28, 12, 58, 53, 865012), 3.9, 8.6]"
10,"[datetime.datetime(2022, 11, 28, 12, 58, 55, 9971), 3.5, 4.1]","[datetime.datetime(2022, 11, 28, 12, 58, 55, 9971), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 12, 58, 55, 9971), 4.4, 10.5]","[datetime.datetime(2022, 11, 28, 12, 58, 55, 9971), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 12, 58, 55, 9971), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 12, 58, 55, 9971), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 12, 58, 55, 9971), 6.0, 14.5]","[datetime.datetime(2022, 11, 28, 12, 58, 55, 9971), 3.9, 8.6]"
11,"[datetime.datetime(2022, 11, 28, 12, 58, 56, 137391), 3.5, 4.1]","[datetime.datetime(2022, 11, 28, 12, 58, 56, 137391), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 12, 58, 56, 137391), 4.4, 10.5]","[datetime.datetime(2022, 11, 28, 12, 58, 56, 137391), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 12, 58, 56, 137391), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 12, 58, 56, 137391), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 12, 58, 56, 137391), 6.0, 14.5]","[datetime.datetime(2022, 11, 28, 12, 58, 56, 137391), 3.9, 8.6]"
12,"[datetime.datetime(2022, 11, 28, 12, 58, 57, 272429), 3.5, 4.1]","[datetime.datetime(2022, 11, 28, 12, 58, 57, 272429), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 12, 58, 57, 272429), 4.4, 10.5]","[datetime.datetime(2022, 11, 28, 12, 58, 57, 272429), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 12, 58, 57, 272429), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 12, 58, 57, 272429), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 12, 58, 57, 272429), 6.0, 14.5]","[datetime.datetime(2022, 11, 28, 12, 58, 57, 272429), 3.9, 8.6]"
13,"[datetime.datetime(2022, 11, 28, 12, 58, 58, 398331), 3.5, 4.1]","[datetime.datetime(2022, 11, 28, 12, 58, 58, 398331), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 12, 58, 58, 398331), 4.4, 10.5]","[datetime.datetime(2022, 11, 28, 12, 58, 58, 398331), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 12, 58, 58, 398331), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 12, 58, 58, 398331), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 12, 58, 58, 398331), 6.0, 14.5]","[datetime.datetime(2022, 11, 28, 12, 58, 58, 398331), 3.9, 8.6]"
14,"[datetime.datetime(2022, 11, 28, 12, 58, 59, 530585), 3.5, 4.1]","[datetime.datetime(2022, 11, 28, 12, 58, 59, 530585), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 12, 58, 59, 530585), 4.4, 10.5]","[datetime.datetime(2022, 11, 28, 12, 58, 59, 530585), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 12, 58, 59, 530585), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 12, 58, 59, 530585), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 12, 58, 59, 530585), 6.0, 14.5]","[datetime.datetime(2022, 11, 28, 12, 58, 59, 530585), 3.9, 8.6]"
15,"[datetime.datetime(2022, 11, 28, 12, 59, 0, 653351), 3.5, 4.1]","[datetime.datetime(2022, 11, 28, 12, 59, 0, 653351), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 12, 59, 0, 653351), 4.4, 10.5]","[datetime.datetime(2022, 11, 28, 12, 59, 0, 653351), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 12, 59, 0, 653351), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 12, 59, 0, 653351), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 12, 59, 0, 653351), 6.0, 14.5]","[datetime.datetime(2022, 11, 28, 12, 59, 0, 653351), 3.9, 8.6]"
16,"[datetime.datetime(2022, 11, 28, 12, 59, 1, 783894), 3.5, 4.1]","[datetime.datetime(2022, 11, 28, 12, 59, 1, 783894), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 12, 59, 1, 783894), 4.4, 10.5]","[datetime.datetime(2022, 11, 28, 12, 59, 1, 783894), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 12, 59, 1, 783894), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 12, 59, 1, 783894), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 12, 59, 1, 783894), 6.0, 14.5]","[datetime.datetime(2022, 11, 28, 12, 59, 1, 783894), 3.9, 8.6]"
